domain,case_id,delay_chips,rank,condition_number,residual_norm,coefficients_json,status
OAK,OAK.positive.d050.p+00.four,-0.31,5,1.0319591487846291,79014.88298682516,"{""10"": [130.7608877254513, -65.88521803946126], ""11"": [-10.616337454516607, 148.47735817466835], ""21"": [-37.69104649333655, 147.88952550665417], ""24"": [-155.8971725475796, -21.78307640369795], ""27"": [-1.3104140606930863, -0.7645964692496809]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.3,5,1.0331627564405568,78170.15443145287,"{""10"": [133.01993519879318, -67.12944363404934], ""11"": [-10.833333710775003, 150.6969038074358], ""21"": [-38.20933554329388, 149.7982756669182], ""24"": [-158.1065652695051, -22.18523487820085], ""27"": [-0.8575514934494791, -1.115281022983519]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.29,5,1.0329369425805524,77295.30794912972,"{""10"": [135.24811817727684, -68.27856725865524], ""11"": [-11.234009321887626, 152.92561747904566], ""21"": [-38.72222920444682, 151.7511936874012], ""24"": [-160.23791437925127, -22.468327251576078], ""27"": [-1.0942563736890119, -1.0881704061676118]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.28,5,1.0334193541650245,76429.27740395525,"{""10"": [137.4649995579688, -69.42463226515156], ""11"": [-11.842337972101019, 155.21342437344012], ""21"": [-39.224690484949726, 153.6324803928776], ""24"": [-162.35528476386278, -22.738043681299903], ""27"": [-1.1490821855933602, -0.6081920545627282]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.27,5,1.034028463808257,75498.46283377842,"{""10"": [139.7648937301168, -70.47194510431775], ""11"": [-12.03583661236306, 157.43285567027309], ""21"": [-39.80945340051637, 155.78774285139363], ""24"": [-164.4872239707519, -23.057088119196777], ""27"": [-1.1114941581756355, -0.3757710714335015]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.26,5,1.0348003238286976,74522.05717450602,"{""10"": [141.67959122602264, -71.65835093073211], ""11"": [-12.22628653858458, 159.81871975579372], ""21"": [-40.49591656844005, 157.51115841490338], ""24"": [-166.63896707659586, -23.787452628346863], ""27"": [-1.2627961347453232, -0.4472365718501123]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.25,5,1.0343511930425706,73535.70025979476,"{""10"": [143.81982554900569, -72.76423258379207], ""11"": [-12.46276394688576, 162.24453974584708], ""21"": [-41.03389904339142, 159.5504151981873], ""24"": [-168.5968376917534, -23.905940660298967], ""27"": [-1.5272609196765587, -0.5039458735106436]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.24,5,1.0333233839572074,72518.3461516305,"{""10"": [145.88846899667635, -73.69583636217696], ""11"": [-12.975933999792396, 164.34666809605355], ""21"": [-41.59508511977722, 161.7367996991285], ""24"": [-170.98406125049448, -24.0641343572372], ""27"": [-1.353920478393126, -0.4459493932102744]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.23,5,1.0328091128469268,71441.97887311682,"{""10"": [148.12026544417492, -74.36118461273614], ""11"": [-13.14993333777776, 166.82206490275584], ""21"": [-42.17683598388664, 163.81292761322948], ""24"": [-173.22336621995964, -24.369611807334472], ""27"": [-1.524175710380697, -0.49460521000861796]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.22,5,1.034188242525157,70336.50369906599,"{""10"": [150.54614273156204, -74.94880882326423], ""11"": [-13.655400558596025, 169.21260618167568], ""21"": [-42.98843607149293, 165.87055759041277], ""24"": [-175.47848426598776, -24.657324482481705], ""27"": [-1.728722708987684, -0.3476009459752425]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.21,5,1.0336026755049796,69210.59988095147,"{""10"": [152.39891421576763, -75.96439254103073], ""11"": [-13.729976026793981, 171.3999022968623], ""21"": [-43.77212592371218, 168.25285776164526], ""24"": [-177.65156840773986, -24.92146400373405], ""27"": [-1.6060086330945493, -0.2923755642090985]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.2,5,1.0351907398203513,68044.81052954908,"{""10"": [154.48131426407582, -76.9823463021892], ""11"": [-14.021496880014226, 173.75628700203393], ""21"": [-44.55690045941463, 170.1543279547917], ""24"": [-179.9734339005926, -25.208494264648902], ""27"": [-1.5367769801637443, -0.01939062813929359]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.19,5,1.0349991218465902,66873.89814860065,"{""10"": [156.24579624344616, -78.04286835358856], ""11"": [-14.27268719552175, 176.16398453460425], ""21"": [-44.97966215083137, 172.7142078409257], ""24"": [-181.86771226086248, -25.57148197722103], ""27"": [-1.5626875290639497, -0.3415733480046465]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.18,5,1.0334882621019954,65638.33248951272,"{""10"": [158.0633842905921, -79.07098724820929], ""11"": [-14.22612058208388, 178.81075619357532], ""21"": [-45.62068120902305, 174.7224982211553], ""24"": [-184.45849464271856, -25.89895337593766], ""27"": [-1.4186042792467959, -0.26185667412079944]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.17,5,1.03167397623431,64354.87987214855,"{""10"": [160.25097014049652, -80.24607444660037], ""11"": [-14.404120144379096, 180.70508988690867], ""21"": [-46.23152229375462, 176.63569565405894], ""24"": [-186.64369432360496, -26.248756070149927], ""27"": [-1.6418978656655283, -0.4390208981777633]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.16,5,1.0310099931880738,62971.27912627983,"{""10"": [162.48455264739619, -81.4607922297623], ""11"": [-14.763346147485947, 183.07614802265994], ""21"": [-46.970769595240085, 178.76882943126577], ""24"": [-189.2448691563018, -26.619497969836193], ""27"": [-1.4245226640743152, -0.6378817310490021]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.15,5,1.0323343872096442,61590.23461531728,"{""10"": [164.8160860288739, -82.34841687848845], ""11"": [-15.093313280929403, 185.69798988504334], ""21"": [-47.53535869968249, 180.97253415319207], ""24"": [-191.54094952457427, -26.664152226634158], ""27"": [-1.203115716337296, -0.4330080037258554]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.14,5,1.032800797296412,60133.17976480794,"{""10"": [166.74354229768315, -83.69651365686677], ""11"": [-15.319123364749762, 188.24306889391545], ""21"": [-47.96884485124916, 183.26294102977667], ""24"": [-193.38587667434902, -27.121957202883102], ""27"": [-1.1405495979761182, -0.03339347960168339]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.13,5,1.0331104587896833,58702.256227216654,"{""10"": [168.90275875944178, -84.66333064741428], ""11"": [-15.538479093671858, 190.7288084148085], ""21"": [-48.41261642583377, 185.20489168182968], ""24"": [-195.49529797091603, -27.268620062027857], ""27"": [-0.7679332812934678, -0.20901857627042802]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.12,5,1.0338090160577402,57192.748691959125,"{""10"": [171.14653779619758, -86.04741237593645], ""11"": [-15.605213147134466, 193.19487307909438], ""21"": [-48.643674027009126, 187.1177600422544], ""24"": [-197.53538639188346, -27.821448015700287], ""27"": [-0.6841642410020601, -0.2944679803961486]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.11,5,1.0327121869120062,55693.24137364158,"{""10"": [172.98395828162327, -87.0879839023514], ""11"": [-15.751815528972637, 195.6134509179108], ""21"": [-49.174998399210914, 188.6724535271022], ""24"": [-199.35807949989558, -28.038645219637164], ""27"": [-0.5979848477145658, -0.2933472481669143]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.1,5,1.0327586267311364,54078.03425636351,"{""10"": [175.23021043408477, -88.12024051871326], ""11"": [-15.928280296336338, 197.92781644624773], ""21"": [-49.787456218839054, 190.42505261166383], ""24"": [-201.8532937472562, -28.265059133398513], ""27"": [-0.40749965307048763, -0.29400331116315165]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.09,5,1.0320793446642325,52383.53688921676,"{""10"": [177.5172659735088, -89.26301382053676], ""11"": [-16.219046907749007, 200.22275573873296], ""21"": [-50.120417874767426, 192.45176556537595], ""24"": [-204.2286754665154, -28.747105506384184], ""27"": [-0.31642105574527246, -0.4979818350764105]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.08,5,1.032458495667617,50623.50527605301,"{""10"": [179.67774983434745, -90.16851949033179], ""11"": [-16.586489690597087, 202.72323088021], ""21"": [-50.752408198882286, 194.66137293798815], ""24"": [-206.06960429072606, -29.21864251113073], ""27"": [-0.5576125416832133, -0.2698650519775689]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.07,5,1.0335047184978337,48723.325349461535,"{""10"": [182.09940636065664, -91.3170439036711], ""11"": [-16.81339472098263, 204.9853435088071], ""21"": [-51.35519155897745, 197.00667419753174], ""24"": [-208.52634166087114, -29.769005429276373], ""27"": [-0.6287498122806091, -0.10392697950246661]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.06,5,1.033009664213072,46780.950012820016,"{""10"": [184.18410396793013, -92.44543024378022], ""11"": [-16.925656500018217, 207.2670086929793], ""21"": [-51.93794390402026, 199.00565841293187], ""24"": [-210.68045123706835, -30.098234890325493], ""27"": [-0.5358782140623252, 0.15352448560592113]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.05,5,1.0351932828679298,44766.9570475806,"{""10"": [186.19265556545358, -93.4419832963821], ""11"": [-16.971086498868647, 209.63588700922023], ""21"": [-52.43733242035753, 200.60902315339402], ""24"": [-212.7216601474494, -30.71582907903076], ""27"": [-0.43724514959064126, -0.12296893951881337]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.04,5,1.0334563326250905,42625.50908073615,"{""10"": [188.38002787783336, -94.46356031841378], ""11"": [-17.49525041632991, 211.90466705956655], ""21"": [-53.09641860560132, 202.63908677826188], ""24"": [-214.89202565050843, -30.656072429640073], ""27"": [-0.5231153569591368, -0.06961280181018782]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.03,5,1.0326929172891612,40316.3551339367,"{""10"": [190.64528640637454, -95.28146188970412], ""11"": [-18.036464033226732, 214.29059979982017], ""21"": [-53.53578350631658, 204.60166615536215], ""24"": [-217.1028863213218, -31.000995660508025], ""27"": [-0.6472541939218535, 0.13694091282266632]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.02,5,1.0335380172377389,37735.93388616016,"{""10"": [192.83582057630264, -95.92474915919453], ""11"": [-18.19975510472987, 216.89582709094594], ""21"": [-54.508400511097065, 206.4895582289122], ""24"": [-219.28319754730146, -31.249753929561994], ""27"": [-0.6828936157009661, 0.026750375576893297]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.01,5,1.0338879156842196,34971.809800760035,"{""10"": [195.00588666517262, -97.06099033177985], ""11"": [-18.384155602834443, 219.07828670423945], ""21"": [-55.286994196493055, 208.50369934240823], ""24"": [-221.73309901627, -31.716946093559176], ""27"": [-0.7519915369504772, -0.0062637039516576535]}",PASS
OAK,OAK.positive.d050.p+00.four,0.0,5,1.0351098831060266,32075.576061004762,"{""10"": [196.97944689905185, -97.86135294301243], ""11"": [-18.958945377591302, 221.31703669033416], ""21"": [-55.963471300130124, 210.6104534009753], ""24"": [-223.6892431024078, -31.92503432341637], ""27"": [-0.7232848188973694, -0.05404119650730409]}",PASS
OAK,OAK.positive.d050.p+00.four,0.01,5,1.0353746192453321,28691.007464549206,"{""10"": [199.05065967907433, -98.8916542472726], ""11"": [-19.079004899618724, 223.7820599933762], ""21"": [-56.477094058872524, 212.9213021196961], ""24"": [-226.05837404606683, -32.50220171808281], ""27"": [-0.7947442325615596, 0.10317950090797469]}",PASS
OAK,OAK.positive.d050.p+00.four,0.02,5,1.0348442294705387,24989.936991914823,"{""10"": [200.97857375663057, -99.99360421824025], ""11"": [-19.171869515658436, 226.31795104541683], ""21"": [-57.247200405283685, 215.09437587465067], ""24"": [-227.9523014465125, -32.61309144991389], ""27"": [-0.5171317756854032, 0.37151394480307093]}",PASS
OAK,OAK.positive.d050.p+00.four,0.03,5,1.0325235784902664,20543.07770213439,"{""10"": [203.10703795876077, -101.00130374005762], ""11"": [-19.250208510131294, 228.15798629284245], ""21"": [-57.81180635911238, 216.88557014982274], ""24"": [-230.68581802253908, -32.796362085826274], ""27"": [-0.5898521844309607, 0.077586845272824]}",PASS
OAK,OAK.positive.d050.p+00.four,0.04,5,1.0324305032875165,14601.208811575161,"{""10"": [205.15502469611698, -101.93817107673624], ""11"": [-19.657282441147384, 230.5152459208797], ""21"": [-58.22405428611787, 218.83162046872593], ""24"": [-232.89740228207216, -33.0924442857686], ""27"": [-0.35274620323756334, -0.1543758443050004]}",PASS
OAK,OAK.positive.d050.p+00.four,0.05,5,1.0320149844416562,91.24808569167367,"{""10"": [207.44817049518537, -103.07898094086701], ""11"": [-19.973865495741244, 233.0120343166578], ""21"": [-58.83859867861677, 220.5654850160288], ""24"": [-235.4851550529937, -33.35808337629863], ""27"": [0.00036506044205315613, 0.00022809392694475534]}",PASS
OAK,OAK.positive.d050.p+00.four,0.06,5,1.0320158370531338,14504.1238332937,"{""10"": [205.30877706218413, -102.26073841778954], ""11"": [-19.791402038025925, 230.86701459244273], ""21"": [-58.54649045959346, 218.71790391672764], ""24"": [-232.82570522439357, -32.85663199327742], ""27"": [-0.13648453386560908, 0.5006300342040928]}",PASS
OAK,OAK.positive.d050.p+00.four,0.07,5,1.0340922997740232,20467.692345811378,"{""10"": [203.13094516625537, -101.14709254599964], ""11"": [-19.391533847219804, 228.55819973711317], ""21"": [-57.846612705395295, 216.44076826810073], ""24"": [-230.55206559612688, -32.56038458374887], ""27"": [0.09561945576907045, 0.22236642380502278]}",PASS
OAK,OAK.positive.d050.p+00.four,0.08,5,1.0334928784014656,24931.33773562253,"{""10"": [200.9556260786033, -100.44848712211927], ""11"": [-19.257051139679284, 226.3548643160809], ""21"": [-56.95912066749685, 214.45320801636737], ""24"": [-228.5052825268897, -32.336566338192114], ""27"": [-0.012977757500839047, 0.06621828867925356]}",PASS
OAK,OAK.positive.d050.p+00.four,0.09,5,1.0332394711625361,28623.323341976913,"{""10"": [199.12251872282476, -99.07835620412821], ""11"": [-19.091928529943292, 224.1947996404398], ""21"": [-56.35551566805227, 212.2929279131836], ""24"": [-225.95045309526526, -32.17694289860023], ""27"": [0.323989951338483, 0.20152586667548406]}",PASS
OAK,OAK.positive.d050.p+00.four,0.1,5,1.0316075130911906,31972.50653728866,"{""10"": [197.19635840636536, -98.05566597223988], ""11"": [-18.734580543148546, 221.6763676122832], ""21"": [-55.81415979081902, 209.8264686731695], ""24"": [-223.57448513029544, -31.82678355258196], ""27"": [0.27292284488771373, 0.2649480213169698]}",PASS
OAK,OAK.positive.d050.p+00.four,0.11,5,1.03300372574217,34942.70822115621,"{""10"": [195.293714699702, -97.01903035606084], ""11"": [-18.80791238556963, 219.4536570582617], ""21"": [-55.207803912107416, 207.6671958682097], ""24"": [-221.58493400574483, -31.612840606572266], ""27"": [0.674959643362382, 0.05436409456953059]}",PASS
OAK,OAK.positive.d050.p+00.four,0.12,5,1.0329126829861242,37628.080900622146,"{""10"": [193.58723322327162, -95.93955313941494], ""11"": [-18.539829928690992, 217.1597294201618], ""21"": [-54.64954922221268, 205.8704549023799], ""24"": [-219.12751622362293, -31.40788934617158], ""27"": [0.18238517489102998, 0.15025035055206054]}",PASS
OAK,OAK.positive.d050.p+00.four,0.13,5,1.03373032523292,40130.40162408263,"{""10"": [191.80169011782928, -94.75237313262349], ""11"": [-18.50282298183753, 215.03945496046367], ""21"": [-54.14276017859227, 203.95527420154673], ""24"": [-216.7516275807539, -31.215840877213623], ""27"": [0.1429774617467042, 0.4333682731953456]}",PASS
OAK,OAK.positive.d050.p+00.four,0.14,5,1.0340616652945216,42536.81292305925,"{""10"": [189.87886469432857, -93.83877805714998], ""11"": [-18.20726062555762, 212.29154346511467], ""21"": [-53.662754178059906, 201.92999731396915], ""24"": [-214.60986801086298, -31.09098491204425], ""27"": [0.15304994528597263, 0.4339580433468407]}",PASS
OAK,OAK.positive.d050.p+00.four,0.15,5,1.0342881340079209,44736.78482162365,"{""10"": [187.70201591356633, -92.79031569383778], ""11"": [-17.664363021457326, 209.8941520534932], ""21"": [-53.15051024219956, 199.56536072864213], ""24"": [-212.29213141015128, -30.936229840650977], ""27"": [0.11885067160432583, 0.12127274240653504]}",PASS
OAK,OAK.positive.d050.p+00.four,0.16,5,1.034259351570071,46800.000072251205,"{""10"": [185.61030864538412, -91.71128081214411], ""11"": [-17.596717721759052, 207.69127888133204], ""21"": [-52.63912584726506, 197.5020136376258], ""24"": [-209.86400503610588, -30.43681755655506], ""27"": [0.001445386468757962, 0.13209125243893013]}",PASS
OAK,OAK.positive.d050.p+00.four,0.17,5,1.0332289594733333,48726.82604269154,"{""10"": [183.80350550746508, -90.52188771378526], ""11"": [-17.711617485929754, 205.31719235323882], ""21"": [-52.02316261468655, 195.440251683125], ""24"": [-207.78765992114185, -30.016528218487036], ""27"": [-0.007942589746186286, 0.3862533616994716]}",PASS
OAK,OAK.positive.d050.p+00.four,0.18,5,1.0321996956348638,50666.09582865806,"{""10"": [181.76870143642574, -89.0096750581343], ""11"": [-17.555020806620607, 202.92428202653733], ""21"": [-51.5728451820634, 193.18397626437803], ""24"": [-205.51424863104307, -29.74056428351979], ""27"": [-0.10807662299371376, 0.6582759202717067]}",PASS
OAK,OAK.positive.d050.p+00.four,0.19,5,1.0346859822396142,52389.780433267406,"{""10"": [179.85087153057933, -87.85347727108281], ""11"": [-17.604782923431337, 200.82408881450468], ""21"": [-51.26586983214722, 191.01551265115705], ""24"": [-203.31789128552882, -29.436682014693996], ""27"": [-0.30540334313381956, 0.62396785777184]}",PASS
OAK,OAK.positive.d050.p+00.four,0.2,5,1.0336235146937338,54084.273591298035,"{""10"": [177.90089127508077, -86.6606155083333], ""11"": [-17.457455715435163, 198.52456356675626], ""21"": [-50.84835618027187, 188.97255127697753], ""24"": [-200.83341844101213, -29.042787250574623], ""27"": [-0.31096679171534386, 0.6163083115776933]}",PASS
OAK,OAK.positive.d050.p+00.four,0.21,5,1.035248162330393,55753.69573796799,"{""10"": [175.87167349461785, -85.67852489381264], ""11"": [-17.36199315987192, 195.76827563023215], ""21"": [-50.05486939921742, 186.856553086165], ""24"": [-198.73072303182732, -28.78945897461572], ""27"": [-0.2971151568132635, 0.8193426643602456]}",PASS
OAK,OAK.positive.d050.p+00.four,0.22,5,1.0352374633033756,57250.319099409564,"{""10"": [173.64860635596153, -84.5813044804293], ""11"": [-17.074794425239517, 193.38788391063065], ""21"": [-49.657177145723324, 185.31250642660626], ""24"": [-196.6194677955431, -28.434504222986405], ""27"": [-0.37586007692464124, 0.78929202797644]}",PASS
OAK,OAK.positive.d050.p+00.four,0.23,5,1.0334937776175852,58739.64702379657,"{""10"": [171.66541788121808, -83.5960578050847], ""11"": [-16.558469979894433, 191.34319356523662], ""21"": [-49.15548294265302, 183.09788046319932], ""24"": [-194.67240138197945, -27.920443819392315], ""27"": [-0.30187272723693415, 1.1635588145720717]}",PASS
OAK,OAK.positive.d050.p+00.four,0.24,5,1.0308942057315322,60187.745662684385,"{""10"": [169.6939639196663, -82.30400600702143], ""11"": [-16.415796896655543, 188.60277389394497], ""21"": [-48.70549481784061, 180.80458971641002], ""24"": [-192.44237583890893, -27.465120356211823], ""27"": [-0.5103163403430888, 0.7936090458430144]}",PASS
OAK,OAK.positive.d050.p+00.four,0.25,5,1.0313489376187088,61572.70637460446,"{""10"": [167.7608068663101, -81.3579190053928], ""11"": [-16.422487142546665, 186.1133107459997], ""21"": [-48.22456069816016, 178.69566598817227], ""24"": [-190.5034109569527, -27.187567157866404], ""27"": [-0.18059873285314337, 0.7036236497497961]}",PASS
OAK,OAK.positive.d050.p+00.four,0.26,5,1.0318236923454787,62967.76365684714,"{""10"": [165.57765451615057, -80.47986041589057], ""11"": [-16.204863782272174, 184.12105088292412], ""21"": [-47.74008848260396, 176.6566092022413], ""24"": [-188.07852215272072, -26.491576160986973], ""27"": [0.06869547547790945, 1.1235832013319074]}",PASS
OAK,OAK.positive.d050.p+00.four,0.27,5,1.032349141059336,64233.48766389128,"{""10"": [163.4099047333757, -79.68810953332637], ""11"": [-15.90312496130478, 181.90844746012104], ""21"": [-47.34924332605553, 174.54979346067273], ""24"": [-185.77451030219257, -26.369147811962996], ""27"": [0.08748452671797621, 0.9444060865714538]}",PASS
OAK,OAK.positive.d050.p+00.four,0.28,5,1.032716456810862,65526.13145692753,"{""10"": [161.4030626076365, -78.62210947896364], ""11"": [-15.756150451370987, 179.47390446492253], ""21"": [-46.21426979345862, 172.48653169012496], ""24"": [-183.54034994486673, -26.1397010987834], ""27"": [0.3809878030326466, 0.8595298240289262]}",PASS
OAK,OAK.positive.d050.p+00.four,0.29,5,1.0337302543454323,66726.88403687398,"{""10"": [159.3999922874545, -77.72707825214967], ""11"": [-15.706928800959249, 177.38945677164426], ""21"": [-45.856749706063574, 170.4786537848888], ""24"": [-181.0502729925639, -25.80862926510109], ""27"": [0.4856449227283199, 0.7220130302215424]}",PASS
OAK,OAK.positive.d050.p+00.four,0.3,5,1.032246034950127,67852.65933858226,"{""10"": [157.34451600518622, -76.99779620136007], ""11"": [-15.593896115071136, 175.0883751145089], ""21"": [-45.267001624863035, 168.16447048137235], ""24"": [-178.7327530786244, -25.32313089635913], ""27"": [0.5885005504863247, 0.9894464984229795]}",PASS
OAK,OAK.positive.d050.p+00.four,0.31,5,1.0328516452025505,68992.7232338129,"{""10"": [155.36611266695724, -75.82709733215064], ""11"": [-15.336615635450464, 172.95599366700313], ""21"": [-44.771671552752096, 165.9332690599657], ""24"": [-176.67801235190035, -25.33005099991483], ""27"": [0.9223030744977395, 0.8418069201443528]}",PASS
OAK,OAK.positive.d050.p+00.four,0.32,5,1.0323508568993438,70140.51337369063,"{""10"": [153.56114316341527, -74.7934171057108], ""11"": [-15.174063737967282, 170.39910380830779], ""21"": [-44.30654621646724, 164.00108153937933], ""24"": [-174.47226319048906, -24.96682041190212], ""27"": [0.8489867725917294, 0.7991586817851244]}",PASS
OAK,OAK.positive.d050.p+00.four,0.33,5,1.0324946011449427,71227.22268343774,"{""10"": [151.64718637743405, -73.48545226097413], ""11"": [-15.026041284946503, 168.03134987451338], ""21"": [-43.78896518280283, 162.11184902504004], ""24"": [-172.0572927779991, -24.872034042462786], ""27"": [0.5431623072200936, 1.0537092253211195]}",PASS
OAK,OAK.positive.d050.p+00.four,0.34,5,1.033357778166184,72295.84053857297,"{""10"": [149.75620758011777, -72.38568933473519], ""11"": [-14.764156013337963, 165.47668740969257], ""21"": [-43.370398568773176, 160.21790175762126], ""24"": [-170.10815184793125, -24.851643211189185], ""27"": [0.5464971665785099, 1.1113993923366694]}",PASS
OAK,OAK.positive.d050.p+00.four,0.35,5,1.033288159173659,73302.10476786377,"{""10"": [147.76556470447997, -71.51530545509193], ""11"": [-14.505539887020747, 163.08267490937328], ""21"": [-42.715665749143305, 158.26083938371292], ""24"": [-167.76253757796894, -24.628672523340473], ""27"": [0.5924514242002753, 0.9871234231489422]}",PASS
OAK,OAK.positive.d050.p+00.four,0.36,5,1.0344359714165274,74351.06558072608,"{""10"": [145.5644268237217, -70.2294334235226], ""11"": [-14.081917053537323, 160.4588534859514], ""21"": [-42.18168186377961, 155.76339710030064], ""24"": [-165.70588223439157, -24.53202605455156], ""27"": [0.5658021451261083, 0.77175751819454]}",PASS
OAK,OAK.positive.d050.p+00.four,0.37,5,1.0328661676504756,75316.11793287557,"{""10"": [143.64010033133184, -69.11158351799483], ""11"": [-13.890539703976257, 158.36355407518806], ""21"": [-41.74272698491965, 153.99731415827944], ""24"": [-163.06283087842132, -23.899947663884845], ""27"": [0.5268339922045542, 0.7769602122714079]}",PASS
OAK,OAK.positive.d050.p+00.four,0.38,5,1.0329229881469009,76307.37291207262,"{""10"": [141.85622167085674, -67.87601765860329], ""11"": [-14.135403185365357, 155.83580922985132], ""21"": [-41.00816691420066, 151.77089926809813], ""24"": [-160.78039505139512, -23.667169059825287], ""27"": [0.4868981424293902, 0.9492850646221881]}",PASS
OAK,OAK.positive.d050.p+00.four,0.39,5,1.0328402417073035,77229.9891059974,"{""10"": [139.75032717629585, -66.78471189934393], ""11"": [-13.685510946483644, 153.4934996028146], ""21"": [-40.600427909422855, 149.56915593053293], ""24"": [-158.53758758889774, -23.316809237599468], ""27"": [0.27678995137201107, 1.1356233129414752]}",PASS
