scenario,phase,second,time_s,channel,prn,raw_start_sample,raw_end_sample,cn0_db_hz,carrier_lock,raw_power,prompt_magnitude,method,budget,score
cleanStatic,train,10,10.02656428,2,3,,,,,,,learned_fixed,9,-1.1734184594985915
cleanStatic,train,10,10.02656428,2,3,,,,,,,learned_fixed,16,-2.6157123221122793
cleanStatic,train,10,10.02656428,2,3,,,,,,,uniform_fixed,3,3.482044004375845
cleanStatic,train,10,10.02656428,2,3,,,,,,,uniform_fixed,5,2.7592848342159297
cleanStatic,train,10,10.02656428,2,3,,,,,,,uniform_fixed,9,0.5490684123543762
cleanStatic,train,10,10.02656428,2,3,,,,,,,uniform_fixed,16,-2.550835763839368
cleanStatic,train,10,10.02656428,2,3,,,,,,,random_fixed,3,-2.093377535956112
cleanStatic,train,10,10.02656428,2,3,,,,,,,random_fixed,5,-3.810721421006516
cleanStatic,train,10,10.02656428,2,3,,,,,,,random_fixed,9,-3.8674522426087856
cleanStatic,train,10,10.02656428,2,3,,,,,,,random_fixed,16,-4.740482514695845
cleanStatic,train,10,10.02656428,2,3,,,,,,,epl_3,3,-4.74515527760736
cleanStatic,train,10,10.02656428,2,3,,,,,,,fixed_delay_9,9,-5.058513513910787
cleanStatic,train,10,10.02656428,2,3,,,,,,,dense_nf,187,-4.19154691696167
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,42.78404521942139,0.9553330808877945,5603739.870012,2348878.239503568,active_adaptive,3,0.9856816525406028
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,42.78404521942139,0.9553330808877945,5603739.870012,2348878.239503568,active_adaptive,5,-0.6905732087802449
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,42.78404521942139,0.9553330808877945,5603739.870012,2348878.239503568,active_adaptive,9,-2.372983756649921
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,42.78404521942139,0.9553330808877945,5603739.870012,2348878.239503568,active_adaptive,16,-3.373009432586629
cleanStatic,train,10,10.01426452,3,20,,,,,,,active_magnitude,3,2.1758457403920857
cleanStatic,train,10,10.01426452,3,20,,,,,,,active_magnitude,5,1.9157470367479827
cleanStatic,train,10,10.01426452,3,20,,,,,,,active_magnitude,9,1.5379321152526781
cleanStatic,train,10,10.01426452,3,20,,,,,,,active_no_context,9,-2.372983756649921
cleanStatic,train,10,10.01426452,3,20,,,,,,,active_context,9,-2.8781521349746937
cleanStatic,train,10,10.01426452,3,20,,,,,,,learned_fixed,3,0.9856816525406028
cleanStatic,train,10,10.01426452,3,20,,,,,,,learned_fixed,5,-0.6905732087802449
cleanStatic,train,10,10.01426452,3,20,,,,,,,learned_fixed,9,-2.372983756649921
cleanStatic,train,10,10.01426452,3,20,,,,,,,learned_fixed,16,-3.373009432586629
cleanStatic,train,10,10.01426452,3,20,,,,,,,uniform_fixed,3,1.0869750969756924
cleanStatic,train,10,10.01426452,3,20,,,,,,,uniform_fixed,5,0.22760809161373388
cleanStatic,train,10,10.01426452,3,20,,,,,,,uniform_fixed,9,-0.8728072058948917
cleanStatic,train,10,10.01426452,3,20,,,,,,,uniform_fixed,16,-3.230342882007696
cleanStatic,train,10,10.01426452,3,20,,,,,,,random_fixed,3,-2.134199782595794
cleanStatic,train,10,10.01426452,3,20,,,,,,,random_fixed,5,-3.8571537173282997
cleanStatic,train,10,10.01426452,3,20,,,,,,,random_fixed,9,-3.3352739305706596
cleanStatic,train,10,10.01426452,3,20,,,,,,,random_fixed,16,-4.409606756193712
cleanStatic,train,10,10.01426452,3,20,,,,,,,epl_3,3,-4.294993175506338
cleanStatic,train,10,10.01426452,3,20,,,,,,,fixed_delay_9,9,-4.611019092492765
cleanStatic,train,10,10.01426452,3,20,,,,,,,dense_nf,187,-4.585610866546631
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,41.8488468170166,0.8983095735311508,5606705.776121999,1863033.1078038332,active_adaptive,3,2.543223038782867
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,41.8488468170166,0.8983095735311508,5606705.776121999,1863033.1078038332,active_adaptive,5,1.2305382531611022
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,41.8488468170166,0.8983095735311508,5606705.776121999,1863033.1078038332,active_adaptive,9,-0.4908459647234008
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,41.8488468170166,0.8983095735311508,5606705.776121999,1863033.1078038332,active_adaptive,16,-1.9842696479278792
cleanStatic,train,10,10.03956432,4,30,,,,,,,active_magnitude,3,2.640220128649574
cleanStatic,train,10,10.03956432,4,30,,,,,,,active_magnitude,5,2.4871250893491847
cleanStatic,train,10,10.03956432,4,30,,,,,,,active_magnitude,9,2.0075568815046902
cleanStatic,train,10,10.03956432,4,30,,,,,,,active_no_context,9,-0.4908459647234008
cleanStatic,train,10,10.03956432,4,30,,,,,,,active_context,9,-1.096424170975118
cleanStatic,train,10,10.03956432,4,30,,,,,,,learned_fixed,3,2.543223038782867
cleanStatic,train,10,10.03956432,4,30,,,,,,,learned_fixed,5,1.2305382531611022
cleanStatic,train,10,10.03956432,4,30,,,,,,,learned_fixed,9,-0.4908459647234008
cleanStatic,train,10,10.03956432,4,30,,,,,,,learned_fixed,16,-1.977205137073252
cleanStatic,train,10,10.03956432,4,30,,,,,,,uniform_fixed,3,3.623455011692814
cleanStatic,train,10,10.03956432,4,30,,,,,,,uniform_fixed,5,4.288057231519332
cleanStatic,train,10,10.03956432,4,30,,,,,,,uniform_fixed,9,1.4844345852013896
cleanStatic,train,10,10.03956432,4,30,,,,,,,uniform_fixed,16,-1.9891366940620872
cleanStatic,train,10,10.03956432,4,30,,,,,,,random_fixed,3,-1.8300365600693451
cleanStatic,train,10,10.03956432,4,30,,,,,,,random_fixed,5,-3.1604070097628565
cleanStatic,train,10,10.03956432,4,30,,,,,,,random_fixed,9,-3.7353620040338904
cleanStatic,train,10,10.03956432,4,30,,,,,,,random_fixed,16,-4.393613439656156
cleanStatic,train,10,10.03956432,4,30,,,,,,,epl_3,3,-4.743841167966449
cleanStatic,train,10,10.03956432,4,30,,,,,,,fixed_delay_9,9,-5.045071458463941
cleanStatic,train,10,10.03956432,4,30,,,,,,,dense_nf,187,-3.6795313358306885
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,46.530785942077635,0.9704897195100785,5602766.648758,4447460.160645285,active_adaptive,3,3.5130559975491544
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,46.530785942077635,0.9704897195100785,5602766.648758,4447460.160645285,active_adaptive,5,1.6480298649720637
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,46.530785942077635,0.9704897195100785,5602766.648758,4447460.160645285,active_adaptive,9,-0.4821405604667959
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,46.530785942077635,0.9704897195100785,5602766.648758,4447460.160645285,active_adaptive,16,-2.013119098397094
cleanStatic,train,10,10.01064496,5,6,,,,,,,active_magnitude,3,2.376119228310668
cleanStatic,train,10,10.01064496,5,6,,,,,,,active_magnitude,5,2.265979495935455
cleanStatic,train,10,10.01064496,5,6,,,,,,,active_magnitude,9,1.9067131932095664
cleanStatic,train,10,10.01064496,5,6,,,,,,,active_no_context,9,-0.4821405604667959
cleanStatic,train,10,10.01064496,5,6,,,,,,,active_context,9,-2.292258549337177
cleanStatic,train,10,10.01064496,5,6,,,,,,,learned_fixed,3,3.5130559975491544
cleanStatic,train,10,10.01064496,5,6,,,,,,,learned_fixed,5,1.6480298649720637
cleanStatic,train,10,10.01064496,5,6,,,,,,,learned_fixed,9,-0.47506070350557217
cleanStatic,train,10,10.01064496,5,6,,,,,,,learned_fixed,16,-2.147568482814197
cleanStatic,train,10,10.01064496,5,6,,,,,,,uniform_fixed,3,4.57518417487733
cleanStatic,train,10,10.01064496,5,6,,,,,,,uniform_fixed,5,3.292962024519899
cleanStatic,train,10,10.01064496,5,6,,,,,,,uniform_fixed,9,0.8834968471660942
cleanStatic,train,10,10.01064496,5,6,,,,,,,uniform_fixed,16,-2.3276056600087704
cleanStatic,train,10,10.01064496,5,6,,,,,,,random_fixed,3,-2.0647980542170417
cleanStatic,train,10,10.01064496,5,6,,,,,,,random_fixed,5,-3.6976506919153906
cleanStatic,train,10,10.01064496,5,6,,,,,,,random_fixed,9,-3.815619801362647
cleanStatic,train,10,10.01064496,5,6,,,,,,,random_fixed,16,-4.672595423105241
cleanStatic,train,10,10.01064496,5,6,,,,,,,epl_3,3,-4.677532901971094
cleanStatic,train,10,10.01064496,5,6,,,,,,,fixed_delay_9,9,-4.974664025685927
cleanStatic,train,10,10.01064496,5,6,,,,,,,dense_nf,187,-4.003318786621094
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,48.25211639404297,0.9781377941370011,5603761.2253560005,4661053.675841856,active_adaptive,3,3.7866819122153004
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,48.25211639404297,0.9781377941370011,5603761.2253560005,4661053.675841856,active_adaptive,5,2.2500447098945386
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,48.25211639404297,0.9781377941370011,5603761.2253560005,4661053.675841856,active_adaptive,9,0.0906434831386652
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,48.25211639404297,0.9781377941370011,5603761.2253560005,4661053.675841856,active_adaptive,16,-1.709217413830203
cleanStatic,train,10,10.01024576,6,7,,,,,,,active_magnitude,3,2.421690126582175
cleanStatic,train,10,10.01024576,6,7,,,,,,,active_magnitude,5,2.2627219631828037
cleanStatic,train,10,10.01024576,6,7,,,,,,,active_magnitude,9,1.897720603822091
cleanStatic,train,10,10.01024576,6,7,,,,,,,active_no_context,9,0.0906434831386652
cleanStatic,train,10,10.01024576,6,7,,,,,,,active_context,9,-2.1201979672971514
cleanStatic,train,10,10.01024576,6,7,,,,,,,learned_fixed,3,3.7866819122153004
cleanStatic,train,10,10.01024576,6,7,,,,,,,learned_fixed,5,2.2500447098945386
cleanStatic,train,10,10.01024576,6,7,,,,,,,learned_fixed,9,0.0906434831386652
cleanStatic,train,10,10.01024576,6,7,,,,,,,learned_fixed,16,-1.707777670461568
cleanStatic,train,10,10.01024576,6,7,,,,,,,uniform_fixed,3,2.3405503464579813
cleanStatic,train,10,10.01024576,6,7,,,,,,,uniform_fixed,5,1.2675817799220837
cleanStatic,train,10,10.01024576,6,7,,,,,,,uniform_fixed,9,-0.2920623704362234
cleanStatic,train,10,10.01024576,6,7,,,,,,,uniform_fixed,16,-3.0116945914719637
cleanStatic,train,10,10.01024576,6,7,,,,,,,random_fixed,3,-2.0198109280232797
cleanStatic,train,10,10.01024576,6,7,,,,,,,random_fixed,5,-3.915052072074272
cleanStatic,train,10,10.01024576,6,7,,,,,,,random_fixed,9,-3.7255998537617336
cleanStatic,train,10,10.01024576,6,7,,,,,,,random_fixed,16,-4.706763872200488
cleanStatic,train,10,10.01024576,6,7,,,,,,,epl_3,3,-4.627315536685733
cleanStatic,train,10,10.01024576,6,7,,,,,,,fixed_delay_9,9,-4.875550491618944
cleanStatic,train,10,10.01024576,6,7,,,,,,,dense_nf,187,-4.335378170013428
cleanStatic,train,10,10.01039164,7,10,250009791,250509791,40.83834991455078,0.9122036099433899,5604565.068465999,2798777.8183896462,active_adaptive,3,3.898204252909722
cleanStatic,train,10,10.01039164,7,10,250009791,250509791,40.83834991455078,0.9122036099433899,5604565.068465999,2798777.8183896462,active_adaptive,5,2.0657971417844925
cleanStatic,train,10,10.01039164,7,10,250009791,250509791,40.83834991455078,0.9122036099433899,5604565.068465999,2798777.8183896462,active_adaptive,9,-0.3172854930112665
cleanStatic,train,10,10.01039164,7,10,250009791,250509791,40.83834991455078,0.9122036099433899,5604565.068465999,2798777.8183896462,active_adaptive,16,-2.169375652556584
cleanStatic,train,10,10.01039164,7,10,,,,,,,active_magnitude,3,1.8889675883675119
cleanStatic,train,10,10.01039164,7,10,,,,,,,active_magnitude,5,1.7475224467097612
cleanStatic,train,10,10.01039164,7,10,,,,,,,active_magnitude,9,1.3967690038171545
cleanStatic,train,10,10.01039164,7,10,,,,,,,active_no_context,9,-0.3172854930112665
cleanStatic,train,10,10.01039164,7,10,,,,,,,active_context,9,-3.299154457180293
cleanStatic,train,10,10.01039164,7,10,,,,,,,learned_fixed,3,3.898204252909722
cleanStatic,train,10,10.01039164,7,10,,,,,,,learned_fixed,5,2.0657971417844925
cleanStatic,train,10,10.01039164,7,10,,,,,,,learned_fixed,9,-0.3048177712771795
cleanStatic,train,10,10.01039164,7,10,,,,,,,learned_fixed,16,-2.13277897829537
cleanStatic,train,10,10.01039164,7,10,,,,,,,uniform_fixed,3,3.5674153929174097
cleanStatic,train,10,10.01039164,7,10,,,,,,,uniform_fixed,5,1.638239740392958
cleanStatic,train,10,10.01039164,7,10,,,,,,,uniform_fixed,9,-0.20563143282950097
cleanStatic,train,10,10.01039164,7,10,,,,,,,uniform_fixed,16,-2.973345390887867
cleanStatic,train,10,10.01039164,7,10,,,,,,,random_fixed,3,-2.480010955448806
cleanStatic,train,10,10.01039164,7,10,,,,,,,random_fixed,5,-4.119659215810661
cleanStatic,train,10,10.01039164,7,10,,,,,,,random_fixed,9,-4.027687376795438
cleanStatic,train,10,10.01039164,7,10,,,,,,,random_fixed,16,-4.924643477473486
cleanStatic,train,10,10.01039164,7,10,,,,,,,epl_3,3,-4.522054018670551
cleanStatic,train,10,10.01039164,7,10,,,,,,,fixed_delay_9,9,-4.791489929758587
cleanStatic,train,10,10.01039164,7,10,,,,,,,dense_nf,187,-4.5106706619262695
cleanStatic,train,10,10.01072192,8,13,250018048,250518048,52.33951835632324,0.9933453768491745,5602347.145774,6455522.405680059,active_adaptive,3,2.7069659764764062
cleanStatic,train,10,10.01072192,8,13,250018048,250518048,52.33951835632324,0.9933453768491745,5602347.145774,6455522.405680059,active_adaptive,5,1.0639987092491796
cleanStatic,train,10,10.01072192,8,13,250018048,250518048,52.33951835632324,0.9933453768491745,5602347.145774,6455522.405680059,active_adaptive,9,-0.8816093173717131
cleanStatic,train,10,10.01072192,8,13,250018048,250518048,52.33951835632324,0.9933453768491745,5602347.145774,6455522.405680059,active_adaptive,16,-2.409318626546364
cleanStatic,train,10,10.01072192,8,13,,,,,,,active_magnitude,3,2.693869048043305
cleanStatic,train,10,10.01072192,8,13,,,,,,,active_magnitude,5,2.45771940213645
cleanStatic,train,10,10.01072192,8,13,,,,,,,active_magnitude,9,2.055338219631879
cleanStatic,train,10,10.01072192,8,13,,,,,,,active_no_context,9,-0.8816093173717131
cleanStatic,train,10,10.01072192,8,13,,,,,,,active_context,9,-1.4098586465714467
cleanStatic,train,10,10.01072192,8,13,,,,,,,learned_fixed,3,2.7069659764764062
cleanStatic,train,10,10.01072192,8,13,,,,,,,learned_fixed,5,1.0639987092491796
cleanStatic,train,10,10.01072192,8,13,,,,,,,learned_fixed,9,-0.8816093173717131
cleanStatic,train,10,10.01072192,8,13,,,,,,,learned_fixed,16,-2.4081385591579467
cleanStatic,train,10,10.01072192,8,13,,,,,,,uniform_fixed,3,3.614237609934939
cleanStatic,train,10,10.01072192,8,13,,,,,,,uniform_fixed,5,2.9071391167135503
cleanStatic,train,10,10.01072192,8,13,,,,,,,uniform_fixed,9,0.6532768844186756
cleanStatic,train,10,10.01072192,8,13,,,,,,,uniform_fixed,16,-2.5005424010629835
cleanStatic,train,10,10.01072192,8,13,,,,,,,random_fixed,3,-2.1199738580351295
cleanStatic,train,10,10.01072192,8,13,,,,,,,random_fixed,5,-3.7648451924486714
cleanStatic,train,10,10.01072192,8,13,,,,,,,random_fixed,9,-3.782022971142296
cleanStatic,train,10,10.01072192,8,13,,,,,,,random_fixed,16,-4.67394255794772
cleanStatic,train,10,10.01072192,8,13,,,,,,,epl_3,3,-4.713161492365633
cleanStatic,train,10,10.01072192,8,13,,,,,,,fixed_delay_9,9,-5.008438462122446
cleanStatic,train,10,10.01072192,8,13,,,,,,,dense_nf,187,-4.1706109046936035
cleanStatic,train,10,10.01957848,9,19,250239462,250739462,48.10719814300537,0.9838933318853378,5593175.119050001,4446042.413731444,active_adaptive,3,2.793598223817101
cleanStatic,train,10,10.01957848,9,19,250239462,250739462,48.10719814300537,0.9838933318853378,5593175.119050001,4446042.413731444,active_adaptive,5,1.00438764915978
cleanStatic,train,10,10.01957848,9,19,250239462,250739462,48.10719814300537,0.9838933318853378,5593175.119050001,4446042.413731444,active_adaptive,9,-0.9869690627348595
cleanStatic,train,10,10.01957848,9,19,250239462,250739462,48.10719814300537,0.9838933318853378,5593175.119050001,4446042.413731444,active_adaptive,16,-2.5629987785418047
cleanStatic,train,10,10.01957848,9,19,,,,,,,active_magnitude,3,2.6801802279637332
cleanStatic,train,10,10.01957848,9,19,,,,,,,active_magnitude,5,2.3849610064537434
cleanStatic,train,10,10.01957848,9,19,,,,,,,active_magnitude,9,1.9300914150588935
cleanStatic,train,10,10.01957848,9,19,,,,,,,active_no_context,9,-0.9869690627348595
cleanStatic,train,10,10.01957848,9,19,,,,,,,active_context,9,-2.3580045885837526
cleanStatic,train,10,10.01957848,9,19,,,,,,,learned_fixed,3,2.793598223817101
cleanStatic,train,10,10.01957848,9,19,,,,,,,learned_fixed,5,1.00438764915978
cleanStatic,train,10,10.01957848,9,19,,,,,,,learned_fixed,9,-0.9869690627348595
cleanStatic,train,10,10.01957848,9,19,,,,,,,learned_fixed,16,-2.5629987785418047
cleanStatic,train,10,10.01957848,9,19,,,,,,,uniform_fixed,3,4.146542973035736
cleanStatic,train,10,10.01957848,9,19,,,,,,,uniform_fixed,5,3.115809556029955
cleanStatic,train,10,10.01957848,9,19,,,,,,,uniform_fixed,9,0.8775432804841135
cleanStatic,train,10,10.01957848,9,19,,,,,,,uniform_fixed,16,-2.3488158023284083
cleanStatic,train,10,10.01957848,9,19,,,,,,,random_fixed,3,-2.16554410406046
cleanStatic,train,10,10.01957848,9,19,,,,,,,random_fixed,5,-3.744051052434192
cleanStatic,train,10,10.01957848,9,19,,,,,,,random_fixed,9,-3.8384348009728537
cleanStatic,train,10,10.01957848,9,19,,,,,,,random_fixed,16,-4.774995787793408
cleanStatic,train,10,10.01957848,9,19,,,,,,,epl_3,3,-4.667506824764315
cleanStatic,train,10,10.01957848,9,19,,,,,,,fixed_delay_9,9,-5.027611356640332
cleanStatic,train,10,10.01957848,9,19,,,,,,,dense_nf,187,-4.103261470794678
cleanStatic,train,10,10.01060404,10,23,250015101,250515101,51.86409301757813,0.9920906960964203,5603309.022619999,6738927.0043111,active_adaptive,3,3.5311341812993398
cleanStatic,train,10,10.01060404,10,23,250015101,250515101,51.86409301757813,0.9920906960964203,5603309.022619999,6738927.0043111,active_adaptive,5,1.732985887727326
cleanStatic,train,10,10.01060404,10,23,250015101,250515101,51.86409301757813,0.9920906960964203,5603309.022619999,6738927.0043111,active_adaptive,9,-0.46830918151536
cleanStatic,train,10,10.01060404,10,23,250015101,250515101,51.86409301757813,0.9920906960964203,5603309.022619999,6738927.0043111,active_adaptive,16,-2.184821652552344
cleanStatic,train,10,10.01060404,10,23,,,,,,,active_magnitude,3,2.5976485747120814
cleanStatic,train,10,10.01060404,10,23,,,,,,,active_magnitude,5,2.404665910158307
cleanStatic,train,10,10.01060404,10,23,,,,,,,active_magnitude,9,1.9906497534258456
cleanStatic,train,10,10.01060404,10,23,,,,,,,active_no_context,9,-0.46830918151536
cleanStatic,train,10,10.01060404,10,23,,,,,,,active_context,9,-1.2567723951982406
cleanStatic,train,10,10.01060404,10,23,,,,,,,learned_fixed,3,3.5311341812993398
cleanStatic,train,10,10.01060404,10,23,,,,,,,learned_fixed,5,1.732985887727326
cleanStatic,train,10,10.01060404,10,23,,,,,,,learned_fixed,9,-0.46830918151536
cleanStatic,train,10,10.01060404,10,23,,,,,,,learned_fixed,16,-2.184821652552344
cleanStatic,train,10,10.01060404,10,23,,,,,,,uniform_fixed,3,4.574634177925898
cleanStatic,train,10,10.01060404,10,23,,,,,,,uniform_fixed,5,3.2974225661846055
cleanStatic,train,10,10.01060404,10,23,,,,,,,uniform_fixed,9,0.8634378318877798
cleanStatic,train,10,10.01060404,10,23,,,,,,,uniform_fixed,16,-2.3700119707743648
cleanStatic,train,10,10.01060404,10,23,,,,,,,random_fixed,3,-2.1687943690826694
cleanStatic,train,10,10.01060404,10,23,,,,,,,random_fixed,5,-3.8607603389525726
cleanStatic,train,10,10.01060404,10,23,,,,,,,random_fixed,9,-3.8769342363596
cleanStatic,train,10,10.01060404,10,23,,,,,,,random_fixed,16,-4.728802919116492
cleanStatic,train,10,10.01060404,10,23,,,,,,,epl_3,3,-4.6747129301477655
cleanStatic,train,10,10.01060404,10,23,,,,,,,fixed_delay_9,9,-4.955160936853192
cleanStatic,train,10,10.01060404,10,23,,,,,,,dense_nf,187,-4.146485805511475
cleanStatic,train,12,12.00122452,0,16,299780613,300280613,49.36224517822266,0.9866902351379394,5537477.150716,4995161.025022223,active_adaptive,3,3.4377980565479223
cleanStatic,train,12,12.00122452,0,16,299780613,300280613,49.36224517822266,0.9866902351379394,5537477.150716,4995161.025022223,active_adaptive,5,1.6277741930420973
cleanStatic,train,12,12.00122452,0,16,299780613,300280613,49.36224517822266,0.9866902351379394,5537477.150716,4995161.025022223,active_adaptive,9,-0.5687785529947232
cleanStatic,train,12,12.00122452,0,16,299780613,300280613,49.36224517822266,0.9866902351379394,5537477.150716,4995161.025022223,active_adaptive,16,-2.3043110156820283
cleanStatic,train,12,12.00122452,0,16,,,,,,,active_magnitude,3,2.5902847841571126
cleanStatic,train,12,12.00122452,0,16,,,,,,,active_magnitude,5,2.3556868151779295
cleanStatic,train,12,12.00122452,0,16,,,,,,,active_magnitude,9,1.949510170639539
cleanStatic,train,12,12.00122452,0,16,,,,,,,active_no_context,9,-0.5687785529947232
cleanStatic,train,12,12.00122452,0,16,,,,,,,active_context,9,-1.8782079149528836
cleanStatic,train,12,12.00122452,0,16,,,,,,,learned_fixed,3,3.4377980565479223
cleanStatic,train,12,12.00122452,0,16,,,,,,,learned_fixed,5,1.6277741930420973
cleanStatic,train,12,12.00122452,0,16,,,,,,,learned_fixed,9,-0.5687785529947232
cleanStatic,train,12,12.00122452,0,16,,,,,,,learned_fixed,16,-2.3043110156820283
cleanStatic,train,12,12.00122452,0,16,,,,,,,uniform_fixed,3,3.6108808470691067
cleanStatic,train,12,12.00122452,0,16,,,,,,,uniform_fixed,5,2.1403633148230776
cleanStatic,train,12,12.00122452,0,16,,,,,,,uniform_fixed,9,0.18713296601756882
cleanStatic,train,12,12.00122452,0,16,,,,,,,uniform_fixed,16,-2.7393261639155906
cleanStatic,train,12,12.00122452,0,16,,,,,,,random_fixed,3,-2.0145056699238064
cleanStatic,train,12,12.00122452,0,16,,,,,,,random_fixed,5,-3.7144887087296454
cleanStatic,train,12,12.00122452,0,16,,,,,,,random_fixed,9,-3.7576922796642225
cleanStatic,train,12,12.00122452,0,16,,,,,,,random_fixed,16,-4.622892619236632
cleanStatic,train,12,12.00122452,0,16,,,,,,,epl_3,3,-4.577627875767451
cleanStatic,train,12,12.00122452,0,16,,,,,,,fixed_delay_9,9,-4.844431468054103
cleanStatic,train,12,12.00122452,0,16,,,,,,,dense_nf,187,-4.169038772583008
cleanStatic,train,12,11.99056332,2,3,299514083,300014083,50.28621959686279,0.9892873883247375,5551245.31817,6136676.291994545,active_adaptive,3,2.320102624769672
cleanStatic,train,12,11.99056332,2,3,299514083,300014083,50.28621959686279,0.9892873883247375,5551245.31817,6136676.291994545,active_adaptive,5,0.6959403930812307
cleanStatic,train,12,11.99056332,2,3,299514083,300014083,50.28621959686279,0.9892873883247375,5551245.31817,6136676.291994545,active_adaptive,9,-1.1515015144000778
cleanStatic,train,12,11.99056332,2,3,299514083,300014083,50.28621959686279,0.9892873883247375,5551245.31817,6136676.291994545,active_adaptive,16,-2.6313465762518935
cleanStatic,train,12,11.99056332,2,3,,,,,,,active_magnitude,3,2.5401164630729465
cleanStatic,train,12,11.99056332,2,3,,,,,,,active_magnitude,5,2.331293047636771
cleanStatic,train,12,11.99056332,2,3,,,,,,,active_magnitude,9,1.9631196705766456
