domain,case_id,family,target_count,truth_records,truth_sha256,truth_status
OAK,OAK.positive.d050.p+00.single,positive,1,11986,ada12fc5f3b85d0464aa2cfc44ebe9c13755119d72a951db6e100691323ae9d5,PASS
OAK,OAK.positive.d050.p-03.four,positive,4,47944,14ab275528ba3330a5fbe77d147bae2d07986586f0f70227952d39f40b1890a6,PASS
OAK,OAK.positive.d050.p-03.single,positive,1,11986,b59666c523ea66a43967f9a282f197d94df0d7ffc11ed1481c5a8e176158f5cb,PASS
OAK,OAK.positive.d050.p-06.four,positive,4,47944,ec4931c438f5716cdf197441626bacc2938fd3981d91e69a6a44580012a41d22,PASS
OAK,OAK.positive.d050.p-06.single,positive,1,11986,89ba8e5b5a12d2e41c0c18a97af8c7ad875d402689723df6951ab0a9bb9d11fd,PASS
OAK,OAK.positive.d150.p+00.four,positive,4,47944,e76f8d89f9ad0900774d26d00dc83ea3b8353100b1be0c1665e5f9d4a056daa9,PASS
OAK,OAK.positive.d150.p+00.single,positive,1,11986,e80be33db669435da4c57c68617b15325a8a5be40f4428266d8f0599fd338d4a,PASS
OAK,OAK.positive.d150.p-03.four,positive,4,47944,d5628f9dae0e731ed6a23719801e9eb968d7c6a0e8a556cf856784dc2154bf21,PASS
OAK,OAK.positive.d150.p-03.single,positive,1,11986,223a83d3c1ade1d31fec7f61c414b32a787908c73128b080ee87eda534cf1156,PASS
OAK,OAK.positive.d150.p-06.four,positive,4,47944,c6f901ae81baa22075a943d8cd40da0f34235fa244c8e380d89c98303d911153,PASS
OAK,OAK.positive.d150.p-06.single,positive,1,11986,25cb36d39bc49ddbe54d0128d03f499273451a3a7a5b56c83d905321b152acff,PASS
OAK,OAK.positive.d300.p+00.four,positive,4,47944,79de0c663236174aca81cccfee1a7f59463946b2269a533f8ed3bfdb793cecac,PASS
OAK,OAK.positive.d300.p+00.single,positive,1,11986,b65579b384e1cedde9f043b217d68cca965c24fda7bef1df9eb0c14e1174a879,PASS
OAK,OAK.positive.d300.p-03.four,positive,4,47944,bb7ff64e9f5d47d267d1b585987a3cef441422107d517c03cb151b61dae66417,PASS
OAK,OAK.positive.d300.p-03.single,positive,1,11986,99bfb671fa6a9d310b28e4d66986271529e7a251b9a3bfb9e11911c812db4bd2,PASS
OAK,OAK.positive.d300.p-06.four,positive,4,47944,89511e429dcef0dc9a2a6caea9bd66f2203d2b66cdf841c2cd579f49b55455a1,PASS
OAK,OAK.positive.d300.p-06.single,positive,1,11986,35c86d9b9c48789d5875e61c1853e0c4fdc1067f48e3a29727463213357ad4c4,PASS
TEX,TEX.negative.bitwise_nav_sign,negative,1,11989,830f32a2cd72b00bc40fed0d4637bf33dbbd90e407cf0363ae1facfac3dcf79d,PASS
TEX,TEX.negative.byte_identical,negative,2,23978,36217c3ceb5276296eb24a6d248b944b715ca03c7c62fc04ae18de2f60839f64,PASS
TEX,TEX.negative.cn0_reduction,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.common_receiver_clock_drift,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.empirical_awgn_0p5sigma,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.empirical_awgn_1sigma,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.empirical_awgn_2sigma,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.gain,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.global_phase,negative,0,11989,61747096ee42b3570c85cac5724d292d534cf4b091b9658a1719ef62755911e2,PASS
TEX,TEX.negative.independent_multipath,negative,4,47956,4b7b4e1ac228940b88d48fca7fde7ad5dad59085ea1062a02ccc5528d25f4cb1,PASS
TEX,TEX.negative.prn_drop_add,negative,2,23978,36217c3ceb5276296eb24a6d248b944b715ca03c7c62fc04ae18de2f60839f64,PASS
TEX,TEX.negative.single_prn_disturbance,negative,1,11989,830f32a2cd72b00bc40fed0d4637bf33dbbd90e407cf0363ae1facfac3dcf79d,PASS
TEX,TEX.negative.single_source_code_ramp,negative,1,11989,2bda4f719bdf1f12f61c8720a7589d9a236a7a0df8e267b61f1a2d3e18094af3,PASS
TEX,TEX.negative.single_source_doppler_ramp,negative,1,11989,e9554bc460df267a7013688c9e2b3f5dacb9954657336c32c0b2763bfb71b835,PASS
TEX,TEX.negative.zero_delay_collapsed_duplicate,negative,1,11989,78d07e0a2c5e8c64b745d7e452716c3effc7c8437a75bccacde3506f1c0100b4,PASS
TEX,TEX.positive.d050.p+00.four,positive,4,47956,a4a9b507d083ff1348cc05b7f1dfb8169ea4d564676b29bade584c1df53c7fd5,PASS
TEX,TEX.positive.d050.p+00.single,positive,1,11989,806c379f1f52601e673e1f5ad85c5c89329fcc29ab9eda3a5a151c8455c7deda,PASS
TEX,TEX.positive.d050.p-03.four,positive,4,47956,3282294fd40f67acca6aed3ed4874e8c7fbbb33cb5dab137007705980352861b,PASS
TEX,TEX.positive.d050.p-03.single,positive,1,11989,b5f5686799ec380a54a561e1f213b167aa72520379daf9a38cf5a70bd59a13e7,PASS
TEX,TEX.positive.d050.p-06.four,positive,4,47956,28f6259437fb164d81758d5a63b17ba8bfd87eaf2590e2ff4c42169c9d7fa821,PASS
TEX,TEX.positive.d050.p-06.single,positive,1,11989,c1d2b7fe087ead233265cacc569719f3b4fb50139624acf62ab576acc9d632b1,PASS
TEX,TEX.positive.d150.p+00.four,positive,4,47956,3aa1ca8eb999b7aff5e833fcce80d3ed7c268c40acc471c10be27c1a46b63940,PASS
TEX,TEX.positive.d150.p+00.single,positive,1,11989,edee0f8e9409dd550ec9e0bdbe85bb9726c55a3fea3e09250b5e56fdb6e89ead,PASS
TEX,TEX.positive.d150.p-03.four,positive,4,47956,4897eb8d8f3dded2388f8a135b6c712c54c6476551c0944e17acaa29d25c034c,PASS
TEX,TEX.positive.d150.p-03.single,positive,1,11989,85cb93bdf50266093b0e78675453deafad7ab733a1bc4f36050d88b66f1d38bd,PASS
TEX,TEX.positive.d150.p-06.four,positive,4,47956,51b565b8cb73b7300cba9ccf8b222ccaa67f1d74a49f8033b6efb449addb4b37,PASS
TEX,TEX.positive.d150.p-06.single,positive,1,11989,83cc071e84624bc178dda7ec3812d0e31a99cb77b29c641b4a61fca7656a6156,PASS
TEX,TEX.positive.d300.p+00.four,positive,4,47956,62a6f3a70256654cc5c932061c0e577b3968108fbb8c86d26895a59bc7e1bfad,PASS
TEX,TEX.positive.d300.p+00.single,positive,1,11989,846ff6d3917a448fe3a453402f40c3984bf29a5d77275009469284367d1a5cc7,PASS
TEX,TEX.positive.d300.p-03.four,positive,4,47956,d9dbcac913d3ef2bf67ed4dacfc53c18470fd1bce4706e65df5e0bfb821639d5,PASS
TEX,TEX.positive.d300.p-03.single,positive,1,11989,a55467210077190481c823b06d7256c1a6135caff1bab24fd5fa1b0ac6bf048c,PASS
TEX,TEX.positive.d300.p-06.four,positive,4,47956,970f8e16c33903a9c1b41b4d5f1af81bebf530c7fa535f73521ccb65f7ae3867,PASS
TEX,TEX.positive.d300.p-06.single,positive,1,11989,3bf9dadab9a94f5ea8ed5430857c9bcda4d5b1906454366abf031f529d668f77,PASS
