bic_improvement,grid_boundary,prn,requested_time_s,scenario,second_amplitude_ratio,second_delay_chip,second_doppler_hz,single_residual,status,tracker_time_s,two_residual
,,3,133.0,ds1,,,,,OK,132.99904824,
,,3,135.0,ds1,,,,,OK,134.99904736,
,,3,137.0,ds1,,,,,OK,136.99904652,
,,3,139.0,ds1,,,,,OK,138.99904564,
,,3,141.0,ds1,,,,,OK,140.99904476,
,,3,143.0,ds1,,,,,OK,142.99904388,
,,3,145.0,ds1,,,,,OK,144.999043,
,,3,155.0,ds1,,,,,OK,154.99903868,
,,3,158.0,ds1,,,,,OK,157.9990374,
,,3,161.0,ds1,,,,,OK,160.99903612,
,,3,164.0,ds1,,,,,OK,163.99903484,
,,3,167.0,ds1,,,,,OK,166.99903356,
,,3,170.0,ds1,,,,,OK,169.99903232,
,,3,173.0,ds1,,,,,OK,172.99903104,
,,3,176.0,ds1,,,,,OK,175.99902976,
,,3,179.0,ds1,,,,,OK,178.99902852,
,,3,182.0,ds1,,,,,OK,181.99902724,
,,23,80.1,ds2,,,,,OK,80.10170728,
,,23,85.1,ds2,,,,,OK,85.1017088,
,,23,90.1,ds2,,,,,OK,90.10171032,
,,23,95.1,ds2,,,,,OK,95.10171184,
,,23,100.1,ds2,,,,,OK,100.10171332,
,,23,105.1,ds2,,,,,OK,105.10171488,
,,8,110.1,ds2,,,,,OK,110.10022188,
,,8,112.1,ds2,,,,,OK,112.1002192,
,,23,114.1,ds2,,,,,OK,114.10171772,
,,23,116.1,ds2,,,,,OK,116.10171832,
,,23,118.1,ds2,,,,,OK,118.10171896,
,,23,120.1,ds2,,,,,OK,120.1017196,
,,23,122.1,ds2,,,,,OK,122.1017202,
,,8,124.1,ds2,,,,,OK,124.10020284,
,,8,126.1,ds2,,,,,OK,126.10020012,
,,23,128.1,ds2,,,,,OK,128.10172212,
,,23,130.1,ds2,,,,,OK,130.10172276,
,,23,145.0,ds2,,,,,OK,145.00172756,
,,23,148.0,ds2,,,,,OK,148.00172856,
,,23,151.0,ds2,,,,,OK,151.00172956,
,,23,154.0,ds2,,,,,OK,154.00173056,
,,23,157.0,ds2,,,,,OK,157.00173156,
,,23,160.0,ds2,,,,,OK,160.00173256,
,,23,163.0,ds2,,,,,OK,163.0017336,
,,23,166.0,ds2,,,,,OK,166.0017346,
,,23,169.0,ds2,,,,,OK,169.00173564,
,,23,172.0,ds2,,,,,OK,172.00173668,
,,6,88.9,ds3,,,,,OK,88.9013518,
,,6,93.9,ds3,,,,,OK,93.9013536,
,,6,98.9,ds3,,,,,OK,98.9013554,
,,6,103.9,ds3,,,,,OK,103.9013572,
,,6,108.9,ds3,,,,,OK,108.90135904,
,,6,113.9,ds3,,,,,OK,113.90136088,
,,6,118.9,ds3,,,,,OK,118.90136272,
,,6,120.9,ds3,,,,,OK,120.90136344,
,,6,122.9,ds3,,,,,OK,122.9013642,
,,6,124.9,ds3,,,,,OK,124.90136492,
,,6,126.9,ds3,,,,,OK,126.90136568,
,,6,128.9,ds3,,,,,OK,128.9013664,
,,6,130.9,ds3,,,,,OK,130.90136716,
,,6,132.9,ds3,,,,,OK,132.90136792,
,,6,134.9,ds3,,,,,OK,134.90136864,
,,6,136.9,ds3,,,,,OK,136.9013694,
,,6,138.9,ds3,,,,,OK,138.90137016,
,,10,195.0,ds3,,,,,OK,195.0000012,
,,10,198.0,ds3,,,,,OK,198.0000002,
,,6,201.0,ds3,,,,,OK,201.00139516,
,,6,204.0,ds3,,,,,OK,204.00139652,
,,6,207.0,ds3,,,,,OK,207.00139776,
,,6,210.0,ds3,,,,,OK,210.00139896,
,,6,213.0,ds3,,,,,OK,213.0014002,
,,6,216.0,ds3,,,,,OK,216.0014014,
,,6,219.0,ds3,,,,,OK,219.00140264,
,,6,222.0,ds3,,,,,OK,222.00140392,
,,,83.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,88.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,93.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,98.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,103.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,108.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,113.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,115.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,117.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,119.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,121.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,123.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,125.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,127.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,129.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,131.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,133.8,ds4,,,,,NO_TRACKER_CENTER,,
,,,225.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,228.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,231.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,234.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,237.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,240.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,243.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,246.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,249.0,ds4,,,,,NO_TRACKER_CENTER,,
,,,252.0,ds4,,,,,NO_TRACKER_CENTER,,
,,13,80.0,ds7,,,,,OK,80.00064072,
,,13,85.0,ds7,,,,,OK,85.000635,
,,13,90.0,ds7,,,,,OK,90.00062924,
,,13,95.0,ds7,,,,,OK,95.00062352,
,,8,100.0,ds7,,,,,OK,100.00015724,
,,13,105.0,ds7,,,,,OK,105.00061208,
,,13,110.0,ds7,,,,,OK,110.00060636,
,,13,112.0,ds7,,,,,OK,112.00060408,
,,13,114.0,ds7,,,,,OK,114.0006018,
,,13,116.0,ds7,,,,,OK,116.00059952,
,,13,118.0,ds7,,,,,OK,118.00059724,
,,13,120.0,ds7,,,,,OK,120.00059496,
,,13,122.0,ds7,,,,,OK,122.00059268,
,,13,124.0,ds7,,,,,OK,124.00059036,
,,13,126.0,ds7,,,,,OK,126.00058808,
,,13,128.0,ds7,,,,,OK,128.00058584,
,,13,130.0,ds7,,,,,OK,130.00058356,
,,13,150.0,ds7,,,,,OK,150.00056092,
,,13,153.0,ds7,,,,,OK,153.00055752,
,,13,156.0,ds7,,,,,OK,156.00055412,
,,13,159.0,ds7,,,,,OK,159.00055076,
,,13,162.0,ds7,,,,,OK,162.0005474,
,,13,165.0,ds7,,,,,OK,165.000544,
,,13,168.0,ds7,,,,,OK,168.00054064,
,,13,171.0,ds7,,,,,OK,171.00053728,
,,13,174.0,ds7,,,,,OK,174.00053396,
,,13,177.0,ds7,,,,,OK,177.0005306,
,,13,80.0,ds8,,,,,OK,80.00064072,
,,13,85.0,ds8,,,,,OK,85.000635,
,,13,90.0,ds8,,,,,OK,90.00062924,
,,13,95.0,ds8,,,,,OK,95.00062352,
,,13,100.0,ds8,,,,,OK,100.0006178,
,,13,105.0,ds8,,,,,OK,105.00061208,
,,13,110.0,ds8,,,,,OK,110.00060636,
,,13,112.0,ds8,,,,,OK,112.00060408,
,,13,114.0,ds8,,,,,OK,114.0006018,
,,13,116.0,ds8,,,,,OK,116.00059952,
,,13,118.0,ds8,,,,,OK,118.00059724,
,,13,120.0,ds8,,,,,OK,120.00059496,
,,13,122.0,ds8,,,,,OK,122.00059268,
,,13,124.0,ds8,,,,,OK,124.0005904,
,,13,126.0,ds8,,,,,OK,126.00058808,
,,13,128.0,ds8,,,,,OK,128.00058584,
,,13,130.0,ds8,,,,,OK,130.00058356,
,,13,150.0,ds8,,,,,OK,150.00056092,
,,13,153.0,ds8,,,,,OK,153.00055752,
,,13,156.0,ds8,,,,,OK,156.00055412,
,,13,159.0,ds8,,,,,OK,159.00055076,
,,13,162.0,ds8,,,,,OK,162.0005474,
,,13,165.0,ds8,,,,,OK,165.000544,
,,13,168.0,ds8,,,,,OK,168.00054064,
,,13,171.0,ds8,,,,,OK,171.00053728,
,,13,174.0,ds8,,,,,OK,174.00053396,
,,13,177.0,ds8,,,,,OK,177.0005306,
