case_id,dataset,mode,status,targets,rho_db,delay_chips,doppler_hz,phase_rad,iq_sha256,iq_size_bytes,clipping_ratio
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,single_prn,PASS,21,-3.0,0.05,25.0,3.141592653589793,ac9f2f66ec86f3218bd85b54852d926f58a7b1677e9b8d41d97dd94a7f40df85,1800000000,0.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,single_prn,PASS,24,-6.0,-0.1,50.0,4.71238898038469,65722d7bf8fa8cf5a812649d99612c1735008295390d8f567534fe82d68ce988,1800000000,0.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,single_prn,PASS,27,-10.0,0.1,-5.0,0.0,d9f748049a4b6c4db47bcd4f20dd702573c35c2e6abf307b548f5f7b6bdd4b8c,1800000000,0.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,single_prn,PASS,10,0.0,-0.25,-25.0,1.5707963267948966,f105c5f03409b2eb863d65e10ba38d53dba582831fccbaef71668cd95c9b73db,1800000000,0.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,single_prn,PASS,11,-3.0,0.25,-50.0,3.141592653589793,c4f6211f788b841207fbffbc091d3a5e0369261ffe69076ae4a9ae948085db5c,1800000000,0.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,single_prn,PASS,21,-6.0,0.0,0.0,4.71238898038469,e36074608460ef47353c9b139924cddced4f6a50690c85c70e1c26fe24466805,1800000000,0.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,single_prn,PASS,24,-10.0,-0.05,5.0,0.0,4210f27dce08e3b1b365bd6a795c9bca2e3db25dd39a760b2f6a0c8e583b5714,1800000000,0.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,single_prn,PASS,27,0.0,0.05,25.0,1.5707963267948966,be47a34cb1e84601ce79b32d73fefc8224a5d6e60f80ab0a8f54bfe969ca3e21,1800000000,0.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,single_prn,PASS,10,-3.0,-0.1,50.0,3.141592653589793,3463814be009c5ac00592c12383f0edf7396cf4a88685f709cd565283ade9b43,1800000000,0.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,single_prn,PASS,11,-6.0,0.1,-5.0,4.71238898038469,91b63be36f006604e188de3d14f901f8e0ca24ee5bc9b85b33b4489a7fb48cba,1800000000,0.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,single_prn,PASS,21,-10.0,-0.25,-25.0,0.0,261d7c732430b97cc01398a2fb6d1d9c596ded1d12cee32dcfb9fce01ba5f5fa,1800000000,0.0
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,single_prn,PASS,24,0.0,0.25,-50.0,1.5707963267948966,13e676273a977f6385602bfd476b9e78efdffc75522d558011862c4be4d0b5ad,1800000000,0.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,single_prn,PASS,27,-3.0,0.0,0.0,3.141592653589793,8a6dae28ca856d07c5ac03e3fdf232a9dad819310beefce9701f848b5f8ddc1d,1800000000,0.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,single_prn,PASS,10,-6.0,-0.05,5.0,4.71238898038469,9def26635b525a69d9aad73aeaf45ec0d2e51ebdc1b8cc3f80148ad38876eefe,1800000000,0.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,single_prn,PASS,11,-10.0,0.05,25.0,0.0,3558ca93abc1650afb1db13d53f6912f32eeb5f3ecb94de02c6eb364275217cf,1800000000,0.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,single_prn,PASS,21,0.0,-0.1,50.0,1.5707963267948966,b9926cc571cef77a2d3d3d22357056f7c0cd3a65c2f324cce2ba8776c218c741,1800000000,0.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,single_prn,PASS,24,-3.0,0.1,-5.0,3.141592653589793,b25a1b6b77f45f6d4de02e740d58533c8f2dcab4b18ebfe0026f71ac6507f2a8,1800000000,0.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,single_prn,PASS,27,-6.0,-0.25,-25.0,4.71238898038469,0ffbbb2ac3ce492f95ed82d46ab256585139c7e55835139c89d357c71ac02643,1800000000,0.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,single_prn,PASS,10,-10.0,0.25,-50.0,0.0,f9ae57edadbfe40a8a117f40fca4c6a765f08b9676609bcf905660e91e52d3e3,1800000000,0.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,single_prn,PASS,11,0.0,0.0,0.0,1.5707963267948966,9ece7bce0695c1f2e96d4ed4118999ef880fa7586831eea8aaca54e314c40e21,1800000000,0.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,single_prn,PASS,21,-3.0,-0.05,5.0,3.141592653589793,96491933c89bc90e3c4640b7738ad375202626d7b4fc3ae6ea5d4877b778bc8c,1800000000,0.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,single_prn,PASS,24,-6.0,0.05,25.0,4.71238898038469,bc8352998734f0c97bd8c085ada9fc264a9c45327d64039c74c7e0d3ee6bcfac,1800000000,0.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,single_prn,PASS,27,-10.0,-0.1,50.0,0.0,482a1e06303b19789ec5b85f4244da101b974060304fdc2cc6444a7dbf539a8c,1800000000,0.0
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,single_prn,PASS,10,0.0,0.1,-5.0,1.5707963267948966,586fb4f13cb952e4438747843888f0891140b09998db1d047bedbeb6333fc5f9,1800000000,0.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,single_prn,PASS,11,-3.0,-0.25,-25.0,3.141592653589793,bc45686908f5630aee1ffc0d94d232555111cb0e4d5b20ea274834c410ed6520,1800000000,0.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,single_prn,PASS,21,-6.0,0.25,-50.0,4.71238898038469,a61e5396f6c8e23fb052d3fe87f5ba82180da1d2587c4e077d28e19c060653d7,1800000000,0.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,13;16;19;30,-10.0,-0.05,-25.0,0.0,aa7235a78c2b728f276bd68234efc87df7eb2f83452b03e58fe641ecfe34dcb5,9000000000,0.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,3;16;19;30,-6.0,0.05,25.0,1.5707963267948966,3d11966264b32b46827a9296122e7eb7b691fc69207a29413c61a467701b088b,9000000000,0.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,3;13;19;30,-3.0,-0.1,-50.0,3.141592653589793,dda5d846d7f1bdf3e6e1d4fce6f9f7e8c64d365414ee0e3f74c3c0b3eb506c58,9000000000,0.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,3;13;16;30,0.0,0.1,50.0,4.71238898038469,42d7352325ed119245b0365ef9d4dab089687374cbfb4297c73f05bec888aa36,9000000000,0.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,3;13;16;19,-10.0,-0.25,0.0,0.0,e80e8fa85f82d740b8556ab2502cb2623defd3201ff68b17a635fa746bfdb2f5,9000000000,0.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,13;16;19;30,-6.0,0.25,-5.0,1.5707963267948966,3403edb27bd78c707e50005194337c601c638b7e9ca24c873b0a85ab44ad9e2d,9000000000,0.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,3;16;19;30,-3.0,0.0,5.0,3.141592653589793,3c7e5cf49e555af405b6692ac42d96146a788fea28574ae4695c1b05800bdf15,9000000000,0.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,3;13;19;30,0.0,-0.05,-25.0,4.71238898038469,ad24c71295ca0ee01cb0a63cd8a9436c840c140ef5f63c6f83a9db15df7df030,9000000000,0.0
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,single_prn,PASS,3,-10.0,0.0,0.0,0.0,f440c92be21eda3bac6d6e2f14520af972fa304451c36f822525815a75e892cd,9000000000,0.0
TEXBAT.cleanStatic.single.01,TEXBAT.cleanStatic,single_prn,PASS,13,0.0,-0.05,5.0,1.5707963267948966,00e9e3ec9bee4c1d7c7060b6b2e1956998110fe083c989c8e7c572622a9f2baa,9000000000,0.0
TEXBAT.cleanStatic.single.02,TEXBAT.cleanStatic,single_prn,PASS,16,-3.0,0.05,25.0,3.141592653589793,e129a7e2773f03a6f48707a49893875b92779ee011d9f0cd275908a433114331,9000000000,0.0
TEXBAT.cleanStatic.single.03,TEXBAT.cleanStatic,single_prn,PASS,19,-6.0,-0.1,50.0,4.71238898038469,3b581ed812deee1e14464f75470294d43ef1ec9d29b219d493cce2ece9c182c3,9000000000,0.0
TEXBAT.cleanStatic.single.04,TEXBAT.cleanStatic,single_prn,PASS,30,-10.0,0.1,-5.0,0.0,1063c5f7152e7a636e4e9dd3c06e96edd6ee4bacc22c53f99f5ad85560c2b0de,9000000000,0.0
TEXBAT.cleanStatic.single.05,TEXBAT.cleanStatic,single_prn,PASS,3,0.0,-0.25,-25.0,1.5707963267948966,84ab7b0a8665c3cf1d6a0dd81dcadbf4561f8d2d0e0df89367591e661f9a114e,9000000000,0.0
TEXBAT.cleanStatic.single.06,TEXBAT.cleanStatic,single_prn,PASS,13,-3.0,0.25,-50.0,3.141592653589793,7cefbc32e88aabf777bdcecfef3e8c2e45d6921df9ebaf42d60f0061b5d0d6a2,9000000000,0.0
TEXBAT.cleanStatic.single.07,TEXBAT.cleanStatic,single_prn,PASS,16,-6.0,0.0,0.0,4.71238898038469,6e60aeea19d12e8bb5d4bf685cfad2288a58aa3d0c55082d2c5483130430f672,9000000000,0.0
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,single_prn,PASS,19,-10.0,-0.05,5.0,0.0,d7f3d3ebdb2fe739307b8181018e2edcf3c1c246e75e92d9d096bc012809c4a6,9000000000,0.0
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,single_prn,PASS,30,0.0,0.05,25.0,1.5707963267948966,a413bf510297381058305a71a050fb5f6ab1115127ad707938bdff1daf3e4dde,9000000000,0.0
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,single_prn,PASS,3,-3.0,-0.1,50.0,3.141592653589793,c7b22ed32dd2c7c0d3f92d6bfedb79036e8d0b24d6062ae18f2912bf8e28776f,9000000000,0.0
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,single_prn,PASS,13,-6.0,0.1,-5.0,4.71238898038469,434e489952205dcd9da7b9434379d569b2ecec9bbcdeeb05563d13e2505fdf6e,9000000000,0.0
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,single_prn,PASS,16,-10.0,-0.25,-25.0,0.0,fa82d0a37925ef2166f1cdb39298ad88d98b0073a0c5fb20c5ecc09e4d15bac3,9000000000,0.0
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,single_prn,PASS,19,0.0,0.25,-50.0,1.5707963267948966,961adfd56caf156f7f443e8234bc4f14bc213890cad27349db3156c27acbc5e4,9000000000,0.0
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,single_prn,PASS,30,-3.0,0.0,0.0,3.141592653589793,ae7e47831855e1f84929cc095875267f8fcbe1fc8d5ed9507823b4a4bb2aa4ba,9000000000,0.0
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,single_prn,PASS,3,-6.0,-0.05,5.0,4.71238898038469,c6ef4652e9315f14e073652e4c798c84cf65f43f35dc998c256c40e142dda917,9000000000,0.0
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,single_prn,PASS,13,-10.0,0.05,25.0,0.0,0f645335d00fabbefe8864c9196ccdf506204b8eeef604a729cf4c55e3406866,9000000000,0.0
TEXBAT.cleanStatic.single.17,TEXBAT.cleanStatic,single_prn,PASS,16,0.0,-0.1,50.0,1.5707963267948966,4bcb0e872c1598e7f86d28a043fd24c14854160edeb237cc5c2657a4d9bdfc32,9000000000,0.0
TEXBAT.cleanStatic.single.18,TEXBAT.cleanStatic,single_prn,PASS,19,-3.0,0.1,-5.0,3.141592653589793,2a5eeb99061c80503a099520a64c6748d8078466631ee9f4cad32067df53d941,9000000000,0.0
TEXBAT.cleanStatic.single.19,TEXBAT.cleanStatic,single_prn,PASS,30,-6.0,-0.25,-25.0,4.71238898038469,1a24631ba81cfe0e9aa481a86f60bfa008d90cf94bd97f161e751a6a9be49fdc,9000000000,0.0
TEXBAT.cleanStatic.single.20,TEXBAT.cleanStatic,single_prn,PASS,3,-10.0,0.25,-50.0,0.0,8e50ed47b3116474afcf70b82d66629d1ba7814bbc522230fcf4aa420f94cb9f,9000000000,0.0
TEXBAT.cleanStatic.single.21,TEXBAT.cleanStatic,single_prn,PASS,13,0.0,0.0,0.0,1.5707963267948966,d153a1acde5d238439dfb25aa36fbd68f90ec14af048bf9b9e73a632029e2b47,9000000000,0.0
TEXBAT.cleanStatic.single.22,TEXBAT.cleanStatic,single_prn,PASS,16,-3.0,-0.05,5.0,3.141592653589793,008f550b786b46b03e56688c436ef616512fc7aa9ca7ab1bf9dcf52cae0eb7e9,9000000000,0.0
TEXBAT.cleanStatic.single.23,TEXBAT.cleanStatic,single_prn,PASS,19,-6.0,0.05,25.0,4.71238898038469,0b6eb124bee586690924f3a53fe04be1429e614b0112cf30b3aea4efc96ef834,9000000000,0.0
TEXBAT.cleanStatic.single.24,TEXBAT.cleanStatic,single_prn,PASS,30,-10.0,-0.1,50.0,0.0,55bcc2ea853d99ae490093d2ef681016da088d9d30a09ac857a3a4a1fe2bcf20,9000000000,0.0
TEXBAT.cleanStatic.single.25,TEXBAT.cleanStatic,single_prn,PASS,3,0.0,0.1,-5.0,1.5707963267948966,e586fb57b1d1df52373955899a2b17476dc0ce0b3f6e00e60b71dea5169d12c9,9000000000,0.0
TEXBAT.cleanStatic.single.26,TEXBAT.cleanStatic,single_prn,PASS,13,-3.0,-0.25,-25.0,3.141592653589793,8d1749c4ed2022904e81b944e7744ca6a8b10b438718409189dbe476f5870992,9000000000,0.0
TEXBAT.cleanStatic.single.27,TEXBAT.cleanStatic,single_prn,PASS,16,-6.0,0.25,-50.0,4.71238898038469,8fad06d03121486e5344835b5259227125023ee6ca66cd758901973b88d40f63,9000000000,0.0
