dataset,prn,channel,loop_sequence,raw_sample_start,raw_sample_end,sample_count,selection_origin,delay_center_error_chips,doppler_center_error_hz,complex_tap_cosine,magnitude_spearman,prompt_magnitude_ratio,prompt_phase_error_rad,fitted_amplitude_real,fitted_amplitude_imag,native_taps_iq,reconstructed_taps_iq,gate_pass
OAKBAT.cleanStatic,10,10,30,150152318,150157318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998015,1.0,1.0000005435548414,5.291609167923808e-07,0.9999966483061687,1.2589681642621012e-07,"[[-804568.5625,184016.859375],[-845624.6875,266307.75],[-1000264.4375,307877.90625],[-1153017.75,297493.09375],[-1247812.0,345791.71875],[-1184069.625,399829.78125],[-1006373.4375,353804.15625],[-896531.6875,291444.09375],[-750011.4375,144444.640625]]","[[-804571.0,184017.90625],[-845627.125,266308.875],[-1000268.3125,307878.5625],[-1153022.0,297494.125],[-1247817.0,345792.5625],[-1184072.5,399831.3125],[-1006377.0,353805.4375],[-896534.25,291445.75],[-750013.625,144445.59375]]",True
OAKBAT.cleanStatic,10,10,31,150157318,150162318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998681,1.0,0.9999993672315235,-5.0007292414589944e-08,0.9999972996206502,-1.6529307673398937e-07,"[[-468337.53125,-69645.3671875],[-650526.375,-45849.1640625],[-916945.875,-93063.359375],[-1111933.5,40191.765625],[-1200753.625,150078.921875],[-1072930.75,267680.90625],[-920440.625,219867.015625],[-864668.375,287093.40625],[-678994.875,282104.34375]]","[[-468339.125,-69646.03125],[-650528.0,-45849.578125],[-916947.6875,-93063.59375],[-1111937.0,40191.96875],[-1200756.125,150079.09375],[-1072934.125,267681.46875],[-920443.25,219867.625],[-864671.0,287093.84375],[-678996.875,282105.09375]]",True
OAKBAT.cleanStatic,10,10,32,150162318,150167318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997329,1.0,1.0000005273782573,6.235731732379549e-07,0.999997998820349,-1.6838078402884813e-07,"[[-692274.6875,185082.859375],[-833011.4375,180825.578125],[-964934.6875,275570.03125],[-1218511.5,265096.84375],[-1292256.75,293510.96875],[-1221641.25,172855.203125],[-968505.1875,235546.578125],[-736299.3125,273405.46875],[-552666.8125,222081.421875]]","[[-692276.1875,185083.484375],[-833012.8125,180826.21875],[-964936.0,275570.625],[-1218513.0,265096.84375],[-1292260.25,293510.6875],[-1221644.5,172855.3125],[-968507.3125,235547.0],[-736301.25,273406.0],[-552667.0625,222082.015625]]",True
OAKBAT.cleanStatic,10,10,33,150167318,150172318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997566,1.0,0.9999999814964408,1.0486621728169154e-07,0.9999970416760989,-5.276444865873061e-08,"[[-695412.625,205779.25],[-819973.25,200136.5625],[-861781.5,262892.625],[-1034972.75,331099.96875],[-1042321.375,385414.40625],[-971946.125,395149.34375],[-726132.875,445958.90625],[-617348.5,319176.03125],[-460486.5,208755.8125]]","[[-695414.3125,205779.234375],[-819975.875,200136.75],[-861784.0,262893.25],[-1034976.125,331101.0625],[-1042324.5,385415.375],[-971950.0,395150.4375],[-726134.3125,445960.34375],[-617349.625,319177.25],[-460487.4375,208756.953125]]",True
OAKBAT.cleanStatic,10,10,34,150172318,150177318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997452,1.0,0.9999992236486015,5.6912746864183975e-08,0.9999975715564483,-4.241490773448643e-07,"[[-526973.8125,130076.7109375],[-564467.6875,113057.7109375],[-650486.25,98474.1484375],[-853235.375,35355.484375],[-1001252.75,69293.0703125],[-947187.25,97628.8203125],[-757674.5,81071.4140625],[-724939.0,39225.3828125],[-574139.5625,32812.6640625]]","[[-526975.25,130076.671875],[-564469.0,113057.8515625],[-650488.5625,98474.125],[-853237.5625,35355.1953125],[-1001254.4375,69292.703125],[-947188.875,97628.5625],[-757676.5,81071.34375],[-724941.3125,39225.33984375],[-574141.75,32812.59375]]",True
OAKBAT.cleanStatic,10,10,35,150177318,150182318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999996179,1.0,0.9999997590443511,-4.335219874862839e-07,0.9999966758582417,-6.137283310132326e-07,"[[-563542.5,200962.84375],[-644275.125,242324.1875],[-668720.25,233379.59375],[-866871.375,266276.40625],[-954943.625,309204.90625],[-898181.0,304548.78125],[-720589.5,187808.875],[-567089.625,239383.578125],[-396872.5,176259.59375]]","[[-563544.75,200962.75],[-644278.3125,242324.15625],[-668723.5,233379.78125],[-866874.75,266276.625],[-954946.625,309205.6875],[-898183.125,304549.46875],[-720591.5,187809.3125],[-567091.625,239384.1875],[-396874.125,176259.96875]]",True
OAKBAT.cleanStatic,10,10,36,150182318,150187318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998461,1.0,1.0000007297964357,-1.9484582682058826e-08,0.9999974827061177,6.78052300696465e-08,"[[-542269.875,318503.21875],[-647059.3125,313156.96875],[-852976.3125,285789.28125],[-1070976.5,311638.46875],[-1165160.0,382508.53125],[-1046510.6875,376264.21875],[-865207.6875,235424.171875],[-689489.6875,239340.546875],[-498714.28125,211652.703125]]","[[-542270.9375,318503.875],[-647060.8125,313157.5],[-852978.0625,285789.875],[-1070979.0,311639.3125],[-1165163.75,382509.875],[-1046513.0,376265.4375],[-865210.5,235424.640625],[-689491.25,239341.125],[-498714.875,211653.296875]]",True
OAKBAT.cleanStatic,10,10,37,150187318,150192318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997627,1.0,0.9999996700925968,-1.0467252661304439e-07,0.9999981764949728,5.000495038964292e-07,"[[-559866.1875,132426.125],[-660284.8125,271320.6875],[-838412.3125,365205.0625],[-992549.0625,319797.625],[-1045670.4375,308923.5],[-831939.6875,274881.125],[-756360.4375,211203.484375],[-585538.6875,294748.21875],[-458328.9375,127994.0859375]]","[[-559867.375,132427.0],[-660285.875,271321.53125],[-838413.0625,365206.25],[-992550.0,319798.75],[-1045671.8125,308924.59375],[-831941.625,274882.0625],[-756362.25,211204.28125],[-585540.25,294748.71875],[-458330.28125,127994.109375]]",True
OAKBAT.cleanStatic,10,10,38,150192318,150197318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998788,1.0,0.9999998468280002,-1.3799439089331517e-07,0.9999973938346579,-5.592486866756098e-07,"[[-555064.375,62782.60546875],[-559684.9375,266354.5625],[-744768.3125,260284.828125],[-976905.3125,302950.125],[-1065585.125,323128.875],[-950946.4375,340681.8125],[-806832.1875,255904.4375],[-659499.9375,205880.296875],[-514390.40625,114484.8046875]]","[[-555065.6875,62782.5],[-559686.75,266354.3125],[-744770.25,260284.765625],[-976908.1875,302950.25],[-1065587.875,323129.21875],[-950949.625,340682.625],[-806833.9375,255904.8125],[-659501.875,205880.46875],[-514391.875,114484.9765625]]",True
OAKBAT.cleanStatic,10,10,39,150197318,150202318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998515,1.0,0.9999993150784116,6.356265940218313e-08,0.9999989362200908,-4.0878689998307086e-07,"[[-606696.0625,175113.140625],[-770438.0625,240511.109375],[-941032.8125,244767.859375],[-1064543.875,379847.5625],[-1169182.125,385403.4375],[-1182237.875,364307.3125],[-942794.1875,441926.0625],[-843092.8125,365974.875],[-728499.9375,381642.5625]]","[[-606697.0625,175112.78125],[-770439.75,240510.75],[-941034.125,244768.0],[-1064545.25,379847.0],[-1169182.75,385403.03125],[-1182239.0,364307.53125],[-942795.3125,441926.28125],[-843094.1875,365975.5],[-728500.75,381642.8125]]",True
OAKBAT.cleanStatic,10,10,40,150202318,150207318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.999999999999815,1.0,0.9999994956781681,-2.958562822842464e-07,0.9999988754607111,2.6777184672434075e-07,"[[774772.75,-124356.3125],[903127.5,-176018.0],[1026520.25,-140848.65625],[973853.625,-278022.78125],[1068479.25,-288647.46875],[1016842.375,-185728.09375],[927399.375,-123373.4453125],[735459.5,-56463.43359375],[626369.375,-7762.55712890625]]","[[774773.75,-124356.4453125],[903128.8125,-176018.25],[1026521.75,-140848.9375],[973854.1875,-278023.4375],[1068479.75,-288648.25],[1016842.8125,-185728.5],[927400.25,-123373.90625],[735461.125,-56463.53515625],[626370.875,-7762.88671875]]",True
OAKBAT.cleanStatic,10,10,41,150207318,150212318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.999999999999446,1.0,1.0000010050287644,6.621793767116946e-07,0.9999972482209751,-1.0387880662518236e-06,"[[259873.578125,-125135.3359375],[333514.125,-135743.671875],[459701.5625,-178618.453125],[569474.0625,-234287.953125],[684056.375,-326357.1875],[641441.5,-323456.1875],[549342.625,-337890.8125],[502343.3125,-368040.3125],[514401.875,-391599.75]]","[[259874.75,-125135.515625],[333514.625,-135743.6875],[459702.625,-178618.59375],[569475.9375,-234288.03125],[684059.5,-326357.25],[641444.375,-323456.8125],[549344.5,-337891.0],[502344.5,-368040.59375],[514402.8125,-391599.96875]]",True
OAKBAT.cleanStatic,10,10,42,150212318,150217318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997307,1.0,1.000000045716618,-1.1870065551789216e-07,0.9999983065340525,-5.365075745152476e-07,"[[749100.25,42377.00390625],[936106.5,1401.168701171875],[1056157.875,-57472.70703125],[1226111.375,-195320.859375],[1291072.125,-310157.28125],[1155023.875,-273450.59375],[861427.625,-247193.765625],[559974.0,-195540.484375],[378207.125,-281615.5625]]","[[749102.25,42377.73046875],[936108.25,1401.8515625],[1056159.375,-57472.265625],[1226114.625,-195320.3125],[1291074.5,-310157.28125],[1155024.625,-273450.5625],[861428.625,-247194.0],[559975.25,-195540.3125],[378208.4375,-281615.6875]]",True
OAKBAT.cleanStatic,10,10,43,150217318,150222318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998969,1.0,1.000000241683657,2.0568140412638212e-08,0.999997549955861,6.98202049858962e-07,"[[539075.0625,14571.1416015625],[674886.375,-16816.62890625],[740969.25,10050.5908203125],[875629.5,-46546.6015625],[1009008.0,-42029.93359375],[978526.75,-11627.9912109375],[875582.875,-25047.44140625],[691142.5,47041.546875],[650718.0,149370.671875]]","[[539075.6875,14570.9296875],[674887.5625,-16817.248046875],[740971.0,10050.005859375],[875631.6875,-46547.31640625],[1009010.6875,-42030.73046875],[978529.5,-11628.708984375],[875585.25,-25048.048828125],[691143.875,47041.26171875],[650719.875,149370.46875]]",True
OAKBAT.cleanStatic,10,10,44,150222318,150227318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.999999999999739,1.0,1.0000005404145813,1.0590546114115973e-07,0.9999983960049958,1.838680945888665e-07,"[[657681.0,-215719.296875],[744848.75,-373578.28125],[897776.75,-387958.03125],[1029018.6875,-373732.90625],[948885.75,-446402.78125],[874672.625,-418866.03125],[712115.125,-394410.90625],[621949.75,-291024.03125],[533637.1875,-284054.15625]]","[[657682.375,-215719.3125],[744849.375,-373578.65625],[897777.4375,-387958.6875],[1029020.0625,-373733.5],[948887.75,-446403.8125],[874674.875,-418867.1875],[712116.5,-394411.78125],[621950.0,-291025.09375],[533637.5625,-284054.84375]]",True
OAKBAT.cleanStatic,10,10,671,153357316,153362316,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999998747,1.0,0.9999996388225388,1.7297174802475942e-08,0.9999979835071366,-1.2755584282249926e-06,"[[-633849.8125,-149800.765625],[-832003.3125,-229300.828125],[-1042244.6875,-317991.53125],[-1105952.875,-433106.71875],[-1350437.125,-568817.5625],[-1392010.625,-621849.1875],[-1218223.625,-584285.3125],[-1010199.5625,-583315.8125],[-939824.0625,-595903.0625]]","[[-633851.4375,-149802.078125],[-832006.0,-229302.125],[-1042246.25,-317993.40625],[-1105954.875,-433108.84375],[-1350438.625,-568820.25],[-1392012.5,-621852.375],[-1218224.625,-584287.9375],[-1010200.875,-583318.5625],[-939825.3125,-595905.4375]]",True
OAKBAT.cleanStatic,10,10,1322,156612313,156617313,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999994424,1.0,1.000001652978211,2.140952331995478e-07,0.999998663561236,5.987173004528072e-07,"[[390836.875,-230486.84375],[552459.375,-248058.3125],[824798.625,-192313.09375],[1018780.625,-76875.7734375],[1142350.25,-103907.9765625],[1137654.25,-120112.2890625],[993343.25,-46828.8828125],[833843.875,-37640.9296875],[695904.5,9428.6826171875]]","[[390837.4375,-230487.59375],[552459.25,-248059.25],[824798.375,-192314.0],[1018781.5,-76876.3984375],[1142353.625,-103908.7265625],[1137656.5,-120112.890625],[993344.25,-46829.40625],[833844.0625,-37641.53125],[695904.9375,9428.25390625]]",True
OAKBAT.cleanStatic,10,10,1973,159867311,159872311,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999988501,1.0,0.9999988558388689,-2.1117332027164606e-07,0.9999972111683811,2.5222233192465776e-10,"[[-451068.28125,178798.5],[-788480.8125,170202.78125],[-930454.6875,283821.28125],[-1241454.5,218482.5625],[-1397472.75,228867.75],[-1270377.75,140112.046875],[-1120101.0,76895.671875],[-910568.8125,149230.8125],[-793557.3125,87261.6953125]]","[[-451069.4375,178799.0625],[-788483.0625,170203.125],[-930458.125,283822.5625],[-1241457.25,218483.125],[-1397475.0,228868.421875],[-1270378.75,140112.234375],[-1120106.0,76895.859375],[-910573.75,149231.21875],[-793561.125,87261.828125]]",True
OAKBAT.cleanStatic,10,10,2624,163122308,163127308,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999997499,1.0,1.0000008655604657,6.002726982039141e-08,0.9999986453290203,1.0304676939855458e-07,"[[589141.625,136191.375],[690337.5,119407.421875],[789875.625,77580.0703125],[985042.625,31453.0078125],[1068692.0,52376.15625],[1010293.75,-29493.76171875],[839315.875,-54713.1171875],[651355.75,21475.3515625],[473781.125,36952.96875]]","[[589142.375,136191.546875],[690338.9375,119407.515625],[789876.875,77580.25],[985044.125,31453.001953125],[1068694.375,52376.2265625],[1010294.25,-29493.91796875],[839316.125,-54713.5234375],[651356.375,21475.30859375],[473782.09375,36953.171875]]",True
OAKBAT.cleanStatic,10,10,3275,166377306,166382306,5000,temporal_extension,0.0,-2.5011104298755527e-12,0.9999999999996418,1.0,1.0000005035038801,-1.2318959710254345e-07,0.9999974885949962,-7.09243858837782e-07,"[[-623255.0,-169003.53125],[-786476.5,-132260.40625],[-956005.75,-96166.5390625],[-1157172.625,-8449.6533203125],[-1238692.5,26355.970703125],[-1141574.5,42930.34375],[-937531.875,90740.7265625],[-789763.375,92372.2890625],[-701520.125,-5034.703125]]","[[-623256.125,-169004.21875],[-786477.625,-132261.09375],[-956008.625,-96167.203125],[-1157176.0,-8450.34375],[-1238696.25,26355.32421875],[-1141578.375,42929.50390625],[-937534.0,90739.78125],[-789764.25,92371.640625],[-701520.75,-5035.1875]]",True
OAKBAT.cleanStatic,10,10,3927,169637303,169642303,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999997686,1.0,1.0000000096649726,6.75072759362313e-08,0.9999968847441573,5.222959497535642e-07,"[[425994.53125,50195.125],[578012.0,65338.6484375],[743770.75,93275.2578125],[818616.375,100934.1953125],[876909.5,21370.0546875],[875668.875,85318.078125],[679042.5,168853.421875],[508487.46875,256353.109375],[428386.96875,138863.734375]]","[[425995.21875,50195.05859375],[578013.875,65338.5],[743773.125,93275.0234375],[818619.5,100934.046875],[876912.25,21369.72265625],[875671.0,85317.8125],[679044.4375,168853.84375],[508489.9375,256353.9375],[428388.59375,138863.9375]]",True
OAKBAT.cleanStatic,10,10,4578,172892301,172897301,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999997179,1.0,0.9999989476769734,2.023872624309805e-07,0.9999977437795375,1.510107624298162e-07,"[[-659514.5,-20403.6328125],[-834930.25,-63396.54296875],[-949132.375,-77044.5234375],[-1107267.375,-189865.40625],[-1256401.25,-244892.28125],[-1114238.875,-261518.953125],[-928107.75,-292875.375],[-744273.5,-267295.96875],[-619163.125,-207285.96875]]","[[-659515.875,-20403.5],[-834931.875,-63396.30078125],[-949134.0,-77044.515625],[-1107269.875,-189865.71875],[-1256402.75,-244892.640625],[-1114242.0,-261519.5625],[-928110.625,-292876.125],[-744275.875,-267296.5],[-619165.5,-207286.5625]]",True
OAKBAT.cleanStatic,10,10,5229,176147298,176152298,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999998548,1.0,0.9999997170874443,-1.7600221926366155e-07,0.9999965007361701,-5.924460272638786e-07,"[[927082.625,-93341.1015625],[1031716.125,-151233.8125],[1021840.125,-247232.125],[1149417.875,-342283.5],[1218805.375,-191813.9375],[1156629.75,-151742.0625],[921518.0,-233647.5],[760800.625,-203249.28125],[626629.0,-222759.96875]]","[[927085.5,-93340.6796875],[1031720.0,-151233.46875],[1021844.125,-247232.0625],[1149422.75,-342283.9375],[1218809.375,-191814.046875],[1156634.5,-151742.03125],[921520.625,-233648.15625],[760802.75,-203249.5625],[626631.4375,-222760.671875]]",True
OAKBAT.cleanStatic,10,10,5880,179402296,179407296,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999997892,1.0,0.9999999418339235,2.7661834264083826e-08,0.9999974131365542,2.9223031589922034e-07,"[[349195.71875,111488.1875],[437276.84375,106397.71875],[690169.375,84805.65625],[985903.125,67650.71875],[1114403.125,215461.1875],[1018207.875,73806.828125],[852644.625,-8657.779296875],[750706.875,13907.3701171875],[743079.125,-35105.43359375]]","[[349196.34375,111488.3515625],[437278.1875,106398.09375],[690171.25,84805.71875],[985906.0,67650.78125],[1114406.0,215461.4375],[1018211.1875,73806.8125],[852647.0625,-8658.25],[750708.5,13906.9375],[743079.8125,-35105.703125]]",True
OAKBAT.cleanStatic,10,10,6531,182657293,182662293,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.999999999999875,1.0,1.0000003513704852,-2.7194818825097547e-11,0.9999973447618311,-6.467706036182682e-07,"[[-644089.1875,-114466.0625],[-736035.8125,-87870.8125],[-1041739.8125,-79227.796875],[-1190184.25,76162.7421875],[-1241104.75,28564.998046875],[-1180149.0,74852.5703125],[-910806.6875,78573.65625],[-676476.625,45954.84765625],[-579965.5625,9590.306640625]]","[[-644091.25,-114466.6640625],[-736037.9375,-87871.171875],[-1041741.75,-79228.375],[-1190187.375,76162.203125],[-1241108.5,28564.28125],[-1180152.5,74851.90625],[-910808.6875,78572.9375],[-676478.25,45954.3359375],[-579967.5,9589.6796875]]",True
OAKBAT.cleanStatic,10,10,7182,185912291,185917291,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999998177,1.0,0.9999997652999937,2.6263575239289626e-07,0.9999982371456486,-1.8840283096424888e-07,"[[414049.0,144053.953125],[600562.9375,196206.109375],[764253.6875,128662.7578125],[907200.8125,130721.3515625],[850777.8125,-27443.263671875],[759600.25,-34335.72265625],[610353.0625,-86826.4296875],[469864.9375,-37354.40625],[449172.125,-25337.427734375]]","[[414049.71875,144054.5625],[600564.5,196206.609375],[764255.125,128663.125],[907202.3125,130721.71875],[850779.125,-27442.921875],[759601.0,-34335.75],[610353.875,-86826.4609375],[469866.5,-37354.375],[449173.03125,-25337.59375]]",True
OAKBAT.cleanStatic,10,10,7834,189172289,189177289,5000,temporal_extension,0.0,-2.7284841053187847e-12,0.9999999999998674,1.0,1.0000005652002828,6.633452976465251e-08,0.9999984959803777,8.709246591016087e-07,"[[-678080.375,-54876.12109375],[-729580.125,122680.4375],[-1011481.5,106620.109375],[-1165178.875,213809.625],[-1181753.75,242745.34375],[-1096327.125,232003.09375],[-902861.0,204787.625],[-739309.5,275761.21875],[-660490.875,375290.15625]]","[[-678082.125,-54875.70703125],[-729580.75,122681.453125],[-1011483.125,106621.1953125],[-1165180.375,213811.03125],[-1181756.0,242746.796875],[-1096328.25,232004.5],[-902861.875,204788.515625],[-739309.625,275762.0625],[-660491.8125,375291.0]]",True
