evaluation,fold,block_size,sample_index,group_key,area,transmit_power_dbm,class_id,class_name,binary_class,raw_role,selected,final_role,selection_rank,selection_sha256
primary,0,32,2728,85,1,40,3,Meac,positive,train,false,balance_excluded,1051,93871a40c3f4812b66af5c1508e5b26cf2e463cb3024d7a6292a303046c75d14
primary,0,32,2729,85,1,40,3,Meac,positive,train,false,balance_excluded,1003,8da34cc587c6fb59e93dcede3c21d80756a002cdc90fa51b7c4b86aa433f2494
primary,0,32,2730,85,1,40,3,Meac,positive,train,false,balance_excluded,1079,97d9ea3a0416d9d2b1aab26a10f2aa3b3c2c851b65b8811d92c41d77d14c39a6
primary,0,32,2731,85,1,40,3,Meac,positive,train,false,balance_excluded,316,2e80c52f03a9f91cf4ad7f336e748f2908ac61360ad0a627c94c27d4f8b5674c
primary,0,32,2732,85,1,40,3,Meac,positive,train,false,balance_excluded,160,1548aa7f968d8a158e2eebfb11db9a493db887266af44018e2b7ea17474cca07
primary,0,32,2733,85,1,40,3,Meac,positive,train,false,balance_excluded,1698,e8cefae451a5af95e29ea6a97b7a558a079acbbd65c8c1c50487759e3285248c
primary,0,32,2734,85,1,40,3,Meac,positive,train,false,balance_excluded,1535,d47eb5d2104863427fd2bc391e252cc6cae3307181f620d23084e700255ca841
primary,0,32,2735,85,1,40,3,Meac,positive,train,false,balance_excluded,1588,da92ec41593667fbdf382d18b5df9be2d2d140b9c6509825e424535f8209d405
primary,0,32,2736,85,1,40,3,Meac,positive,train,false,balance_excluded,348,3257af310d61bb9237503650b359720b3609e0172e2871c03e9f6781552eb3ae
primary,0,32,2737,85,1,40,3,Meac,positive,train,false,balance_excluded,568,53d619370c27203dee1069ab6bec944b8165141b6471561941e6a1375f45aa99
primary,0,32,2738,85,1,40,3,Meac,positive,train,false,balance_excluded,1447,c9f91959f0f54b83c61beb62cc0338a67d863fcfd47b3dcfcf59b6a0a8506715
primary,0,32,2739,85,1,40,3,Meac,positive,train,false,balance_excluded,1561,d7d1a85ee2b24b8306e1016994c9a544495297c54080b48a1dc40374abbf8a5b
primary,0,32,2740,85,1,40,3,Meac,positive,train,false,balance_excluded,1237,abd01af4ff59b09b9c179f88c298d6ab9495a8ae1f1199c2d956b04fa898d894
primary,0,32,2741,85,1,40,3,Meac,positive,train,false,balance_excluded,1091,996d561483def685365b3fda324fe98a08f0ee6f9e27d5ab58ccd8dc11edf333
primary,0,32,2742,85,1,40,3,Meac,positive,train,false,balance_excluded,625,5b5cf2bb632a7f842e48a93c34787fea48c5af4d4c5417c0ef97653545328443
primary,0,32,2743,85,1,40,3,Meac,positive,train,false,balance_excluded,191,1a587c5bac438d6e518089acec7ddd8ccecb1af266c5a59661acff80751f299b
primary,0,32,2744,85,1,40,3,Meac,positive,train,false,balance_excluded,1351,bb6de3b28f5c8590d14f8ebaa962a8ad25fe7513912a819273459cd964896535
primary,0,32,2745,85,1,40,3,Meac,positive,train,false,balance_excluded,483,45c79da9682507021ba5d2d5ce180e40ab1bc53f3b8662bd310462c7c798ef8f
primary,0,32,2746,85,1,40,3,Meac,positive,train,false,balance_excluded,1678,e65273a4ac0268df3f3077b937668b4f4c5a0098edb34ac283f33024a17cc598
primary,0,32,2747,85,1,40,3,Meac,positive,train,false,balance_excluded,1847,fd2f37ceab6687a81bdd141504d88147baa437de3c6e65832a4517a49a4295cc
primary,0,32,2748,85,1,40,3,Meac,positive,train,false,balance_excluded,166,16650d6ad48f6c044b23202b4a1cc77f72fa0f0e368f92ca5c8fa1fd575900a9
primary,0,32,2749,85,1,40,3,Meac,positive,train,false,balance_excluded,1801,f51bcaf307be96c72d323eabcc08b1f0ae84ebc2d1f9a5ba8b4fc99629d60c02
primary,0,32,2750,85,1,40,3,Meac,positive,train,false,balance_excluded,786,722f6fd09fdb0a321b79c40bd414816eaf8882c3870920e4238159275bd36285
primary,0,32,2751,85,1,40,3,Meac,positive,train,true,train,7,00fb600a10f9c5b934e12e33fed7a8a748a93725c430ead40bdea5ad6b20df40
primary,0,32,2752,86,1,40,3,Meac,positive,train,false,balance_excluded,1122,9cfbbeac607c06c23f7e7651583e33a913d0bcda4f6bd12972b24372e4909cb5
primary,0,32,2753,86,1,40,3,Meac,positive,train,false,balance_excluded,1076,97bfdc02221dee9c292e7a95da4a10938b0c4e65ead1267dd67a2a97c43ae8bd
primary,0,32,2754,86,1,40,3,Meac,positive,train,false,balance_excluded,1143,9f0a2d393e9849529d4c913ba3a2ddb865e80da5efdef927f8e7c8d014304a6d
primary,0,32,2755,86,1,40,3,Meac,positive,train,false,balance_excluded,168,168f06bbec0c28450e3e6156b5d4b1f85292744e6a0a56696b3a4acb9b4b224f
primary,0,32,2756,86,1,40,3,Meac,positive,train,true,train,100,0cc9548f92cc440a0b96e13bcd96e301f70b92809610a3d40c98078623a44d31
primary,0,32,2757,86,1,40,3,Meac,positive,train,false,balance_excluded,347,32555fc5841eeb6a427e2f3a24dd594ebb62ca6e61d45b2e516a85cdb34b1a25
primary,0,32,2758,86,1,40,3,Meac,positive,train,false,balance_excluded,1515,d17ad650fa86506246b6f582fec34f5dba808496eafa7e59aabbc2c5799dac16
primary,0,32,2759,86,1,40,3,Meac,positive,train,false,balance_excluded,1034,91249b4a87018184909d9353e34e586b1116ac354e282d6938f31cd032c9cdd6
primary,0,32,2760,86,1,40,3,Meac,positive,train,false,balance_excluded,1060,948a704b136d916d2c06bccf142759b867d5e93cf2a0f8739bdebc4d3db2891b
primary,0,32,2761,86,1,40,3,Meac,positive,train,false,balance_excluded,1578,d96c7d95b256386725a76092c6ca9b01645b228240fb1ace56a59eadf83ab651
primary,0,32,2762,86,1,40,3,Meac,positive,train,false,balance_excluded,827,7650b6a0252b926ed39cf3a40056a6993a5bad490bef53adc56b2e232fad22e0
primary,0,32,2763,86,1,40,3,Meac,positive,train,false,balance_excluded,824,76158f21cb2a639f86eca9bd380c2aeed12d92ef0fdc9a30391792bbe2f69b2a
primary,0,32,2764,86,1,40,3,Meac,positive,train,false,balance_excluded,599,57e38900c02ab93f46e5c3d456c516267591859857dec716b3113a1c42c99315
primary,0,32,2765,86,1,40,3,Meac,positive,train,false,balance_excluded,814,7521e57d447af5d5be28b658312d30c99cb66a28af3d4bfdef623e54783e61a1
primary,0,32,2766,86,1,40,3,Meac,positive,train,false,balance_excluded,476,44d8196dcbbd7f45334dabb2731837dad858ec32a09bb43f804c6f6e0dc4c48e
primary,0,32,2767,86,1,40,3,Meac,positive,train,false,balance_excluded,1199,a6c0b7a9b0b9368a0f2762650cb7614a44a662593145d93b151430c18dd57829
primary,0,32,2768,86,1,40,3,Meac,positive,train,false,balance_excluded,1120,9cc52917c93d688e916520b68356bce5c4a8b307940d4e820ee5d7b00fbc7fa6
primary,0,32,2769,86,1,40,3,Meac,positive,train,false,balance_excluded,1018,8ef86d807995f57dbdcd74761ab2b0c6c353e6b3b155f528108ebf4d1a9543b5
primary,0,32,2770,86,1,40,3,Meac,positive,train,false,balance_excluded,1856,fe6310a7be0fdc902c250c03bf6c3f45fac53dc727236427a668e6001430a067
primary,0,32,2771,86,1,40,3,Meac,positive,train,false,balance_excluded,743,6d54ddf58a2258832908784cc1d106e8320ab1903643734a3947050d75cee0a5
primary,0,32,2772,86,1,40,3,Meac,positive,train,false,balance_excluded,889,7ffe8d17aed45b665bf8f8100ec7f0c42d86823b8031069a4bc1f69091f19ed6
primary,0,32,2773,86,1,40,3,Meac,positive,train,false,balance_excluded,1342,ba5163e3d4ebbb171546ef7dfb3d80a9bb584a59a825ff014d34b94e7e29fe31
primary,0,32,2774,86,1,40,3,Meac,positive,train,false,balance_excluded,1334,b8e8cb0abfcede12ba8c2ea4565d1c7f252fa552e934dd50915934923dc6df56
primary,0,32,2775,86,1,40,3,Meac,positive,train,false,balance_excluded,277,28c00606b7f8afe8f9f0e794b29c3f5a9fa74ad39898d4e8c37cfbf8f06f41c8
primary,0,32,2776,86,1,40,3,Meac,positive,train,false,balance_excluded,1259,aec0ca7e87ee5ce3042e6c84080c02e8f7034d835fce0f8b38b69b5ebc7e01c8
primary,0,32,2777,86,1,40,3,Meac,positive,train,true,train,33,0444e70b26ecbf22a0d2d35af7ac1764b04fbaf9f18124e3900a20a1cbad7098
primary,0,32,2778,86,1,40,3,Meac,positive,train,true,train,38,04cff808019a02dccdf38d7cc3e4e5aa5be3567ea26ff24164d7178780cab5c8
primary,0,32,2779,86,1,40,3,Meac,positive,train,false,balance_excluded,805,74a6f55c0f785c102ca02c595eceb7b1ef8cc2a8a1a56cbf987d58dfb3a46896
primary,0,32,2780,86,1,40,3,Meac,positive,train,false,balance_excluded,565,533a50e76ae35bb59252b8a8de43774d42076031b2c0a86a796af77e561091a3
primary,0,32,2781,86,1,40,3,Meac,positive,train,false,balance_excluded,573,545c765239ecccd229429773fd1067cf5e16fa9665415817bcfd231be9bf3d0d
primary,0,32,2782,86,1,40,3,Meac,positive,train,false,balance_excluded,492,472f945a0fe9da87668e160268c35cc5127a98056b0d0546aeb3a2bdfbb2ce31
primary,0,32,2783,86,1,40,3,Meac,positive,train,false,balance_excluded,1029,905b3c975d4aae04b1fd73557d3079b203009954e7efbaa6c49212f63f8bc880
primary,0,32,2784,87,1,40,3,Meac,positive,train,false,balance_excluded,1766,f1a39078348941092bc8e61ff939df7c576f0bde8cb7cab1c43f0cd6122be327
primary,0,32,2785,87,1,40,3,Meac,positive,train,false,balance_excluded,1671,e58db212d47c35391bd1d711cfe330372413da698dcd8589503b998cb072782d
primary,0,32,2786,87,1,40,3,Meac,positive,train,false,balance_excluded,188,19df6268dd958670d598a465a391b8a791698920ae55f373d87fcfacae98d86f
primary,0,32,2787,87,1,40,3,Meac,positive,train,false,balance_excluded,831,76c9e90f95d79dfce537aafe4e4e2fb3da421a1d157318f2d120af390a657c2c
primary,0,32,2788,87,1,40,3,Meac,positive,train,false,balance_excluded,1774,f20b960bcf0364f17d72e86b087d548e9ce4d6982a9e1febf092f6d377d7e226
primary,0,32,2789,87,1,40,3,Meac,positive,train,false,balance_excluded,1558,d74658d6c39e412cd260a3c577146867ed5c641c09ed6e29a2fdd6eb33665dc8
primary,0,32,2790,87,1,40,3,Meac,positive,train,false,balance_excluded,1513,d0de575462ed2106f3df63991b8f721641b30ef069da8c7270725e1db42ea103
primary,0,32,2791,87,1,40,3,Meac,positive,train,false,balance_excluded,721,697569f7d9d501347e21fe0bc88c168169338c7069b04b04d6abd40fdf5fbe1a
primary,0,32,2792,87,1,40,3,Meac,positive,train,false,balance_excluded,1005,8dc0db6d362d6a7b4d909ba72648817612624a4e3f26fb90c188752be467d406
primary,0,32,2793,87,1,40,3,Meac,positive,train,true,train,60,07341414e3271e3c0590a71d73e9e58ec954d241ba8354a69bcac00d6c16dcd7
primary,0,32,2794,87,1,40,3,Meac,positive,train,false,balance_excluded,560,516bd5c2d8194a76fcf6d72fec7ab0ea0caa49eca9fedae3271a26e4ff66cc1b
primary,0,32,2795,87,1,40,3,Meac,positive,train,false,balance_excluded,884,7f5b8d9833e24d5c401df848e56d01863c4b4112aad0139c862f0cd61366e1ea
primary,0,32,2796,87,1,40,3,Meac,positive,train,false,balance_excluded,612,59c5a064e444e0ae39a67dca0c6053aa66483058ca8e6f1fddda0e14373a19ae
primary,0,32,2797,87,1,40,3,Meac,positive,train,false,balance_excluded,280,28f824ddb7b6408048435669bc65d01c5c482fe5387b6d754d361daa20e66e59
primary,0,32,2798,87,1,40,3,Meac,positive,train,false,balance_excluded,1813,f6eaf1abcc6c9301b24560369583a992ce2fb4052eed3d39ed2940a847d34d01
primary,0,32,2799,87,1,40,3,Meac,positive,train,false,balance_excluded,1329,b858588e9117d87cad802e4bd6973f10af5840260beedd9310526fd53ccdfb5a
primary,0,32,2800,87,1,40,3,Meac,positive,train,false,balance_excluded,1575,d958b8ce902a20517de47e9025232587eae5cc3845d47d3586087996bd97e90e
primary,0,32,2801,87,1,40,3,Meac,positive,train,false,balance_excluded,181,188febbaf967bfc967be44078e3d274e39bbc1fcd3155f25e4f5deda2467ec0d
primary,0,32,2802,87,1,40,3,Meac,positive,train,false,balance_excluded,1820,f8c103b10039c33f71a86f90b1f62e42368378f60e9fc013e25f64f54dbffc5c
primary,0,32,2803,87,1,40,3,Meac,positive,train,false,balance_excluded,1386,bf6ed0f32cb59874d1cf5e590e72907539bc7bb47b5255d9511a10a6ae87d6d4
primary,0,32,2804,87,1,40,3,Meac,positive,train,false,balance_excluded,1759,f0758fb975174616fbf6d6ee5c8e0ceebb2d7d64e65f11b14b576a42bb111e73
primary,0,32,2805,87,1,40,3,Meac,positive,train,false,balance_excluded,1473,cc4c962831b8a9b7ed024ec2e0a4abdbdab760058fcab5416fc75750a213b132
primary,0,32,2806,87,1,40,3,Meac,positive,train,false,balance_excluded,463,432ec654761b9bed29468680a3c875def1dd16c61c99abf8ca5d45bc7aae7da3
primary,0,32,2807,87,1,40,3,Meac,positive,train,false,balance_excluded,1062,95299e694f82a5765f411f22cf77aa1afe8b9a69b1a61fd9c4475a823d33a9ec
primary,0,32,2808,87,1,40,3,Meac,positive,train,false,balance_excluded,267,2735a7550fb8b66189091c28cf3b3ab84ee5d9e670201fda5cad61133231bc1f
primary,0,32,2809,87,1,40,3,Meac,positive,train,false,balance_excluded,1262,af0a5d80e17d5142c7f7474efd577eb3fa25f32c3ac635d86874aa89f14343b8
primary,0,32,2810,87,1,40,3,Meac,positive,train,false,balance_excluded,1080,981edd50635c950d7a2c29317f1d4182266b0b9475bd084d45d0c7587f6d1758
primary,0,32,2811,87,1,40,3,Meac,positive,train,false,balance_excluded,836,771bfc9c4180f8690fbc202971af294278352187873baaa36e30ca47b67b2983
primary,0,32,2812,87,1,40,3,Meac,positive,train,false,balance_excluded,888,7fe4f4835709489ba8017fe39925d4e4652476262c85993440948d3e84656ba6
primary,0,32,2813,87,1,40,3,Meac,positive,train,false,balance_excluded,1586,da3f797388c63338c8fe01c540f1fcd153c30ce80ba819a518af9054f8bc9c46
primary,0,32,2814,87,1,40,3,Meac,positive,train,false,balance_excluded,913,8323c64db92a6c7e712dfd743346c6265a5efa1967a0d9c57acbf8f3368f3d9e
primary,0,32,2815,87,1,40,3,Meac,positive,train,false,balance_excluded,356,362a08e18f2711f1b35e03e1e8bda1e4cea16082e30301f3a56b7a3f852969db
primary,0,32,2816,88,1,40,3,Meac,positive,train,false,balance_excluded,979,8ad097c7a64e589831312d47cdd535c94660b85324d763edbdbd3da320abda51
primary,0,32,2817,88,1,40,3,Meac,positive,train,true,train,30,03da0dd913ef3aa7b93f2f29fd1d31c2ea189e113a8aee1959f712736e8f332c
primary,0,32,2818,88,1,40,3,Meac,positive,train,false,balance_excluded,851,798468040d03f12b0baa469537a002e31e8242cc8c6572c5b3d8ff89482cb57c
primary,0,32,2819,88,1,40,3,Meac,positive,train,false,balance_excluded,970,89cf8f988a11ffe0c8f420c3d26cad83ff21a5ec611b51cdd3cea361c43fdd99
primary,0,32,2820,88,1,40,3,Meac,positive,train,false,balance_excluded,1724,eb537cd686c6f08151ee7031e4063508d00efdc71306bd73826c940754b4ce4b
primary,0,32,2821,88,1,40,3,Meac,positive,train,false,balance_excluded,177,1787f5e78bf6e14980559db241d66b5b90b60283187de7a0a3d7eb23f5a96ded
primary,0,32,2822,88,1,40,3,Meac,positive,train,false,balance_excluded,1695,e8ad0b82e462fa1c91c1aeec604efaad1a06e2c4446c576301fe526239462c78
primary,0,32,2823,88,1,40,3,Meac,positive,train,false,balance_excluded,1257,ae62936fcf601fdde976398688661c2d1b406c6a8d1dc1163f72a52654553b5e
primary,0,32,2824,88,1,40,3,Meac,positive,train,false,balance_excluded,541,4d37b2d0802f6470713a1b7089b9b5629e7a1cc8d3fc394265524628c5de6541
primary,0,32,2825,88,1,40,3,Meac,positive,train,false,balance_excluded,843,77ebb7f733bd173909199496d519b4634122c8d07d761feb50e8872b69f80c86
primary,0,32,2826,88,1,40,3,Meac,positive,train,false,balance_excluded,323,2ef8fbdf43e1d33c99b57299988d7d5750bd3553f93d254e7a7beb8d72b95998
primary,0,32,2827,88,1,40,3,Meac,positive,train,false,balance_excluded,218,1f1bc0a2ecb0e2dd09177f88e4dc0972f1e410abd47f033feb81d6edfc5ea82d
primary,0,32,2828,88,1,40,3,Meac,positive,train,false,balance_excluded,985,8b251391813e33aeef245b32c7c813f279c3da81b52de4c3084aa6f001cc6591
primary,0,32,2829,88,1,40,3,Meac,positive,train,false,balance_excluded,411,3d9d12a49ce03ca0ce41e7bde08b10d43309dde6fd8beedc2f39f801a5218610
primary,0,32,2830,88,1,40,3,Meac,positive,train,false,balance_excluded,1300,b430269c7d659036bd1f10321b4ea1c628083f0099e3ccedf097d326de96aab5
primary,0,32,2831,88,1,40,3,Meac,positive,train,false,balance_excluded,879,7e99e02350123bba99e718612644c56e93a723ec81fe08649f3a413000791c51
primary,0,32,2832,88,1,40,3,Meac,positive,train,false,balance_excluded,450,41ed07b48806ec3664a3f614d74e60dbf8eac349a767d62fe42b7576be9e345d
primary,0,32,2833,88,1,40,3,Meac,positive,train,false,balance_excluded,418,3ebd9c21c5c89e54e96fc5bd2ff2595d18a01e9f7100774ce80c2f417423b378
primary,0,32,2834,88,1,40,3,Meac,positive,train,false,balance_excluded,604,5886fe846f642d044e1c0cd2464964a9d08ea4bb420513e8ada65a1d7239df91
primary,0,32,2835,88,1,40,3,Meac,positive,train,false,balance_excluded,834,76ee480fa742ee093d67500f487cccfa5c91eab6f0efedd0ec92cc181f1454c9
primary,0,32,2836,88,1,40,3,Meac,positive,train,false,balance_excluded,766,701e52857350158f1f175b7f90fd46842346febaa17bde29f6afe89b11dedca5
primary,0,32,2837,88,1,40,3,Meac,positive,train,false,balance_excluded,938,867b4680f259c91756220f334a3f4396f343ab38f183b0546b608f2994ae84ca
primary,0,32,2838,88,1,40,3,Meac,positive,train,false,balance_excluded,428,3f9043d7f56fe4f6cf7791a9e8e6ad8a31ff53e16996a34fb124aebdf61efc32
primary,0,32,2839,88,1,40,3,Meac,positive,train,false,balance_excluded,349,3289850bb58c06f9847f9ab8e6d8cc23f061c7e19a0516a88868deb489efaf9b
primary,0,32,2840,88,1,40,3,Meac,positive,train,false,balance_excluded,757,6efa8d2b48ea1ea1104fd140b2fe772b10803450ca8bdd1421c9a241d6b7e368
primary,0,32,2841,88,1,40,3,Meac,positive,train,false,balance_excluded,1157,a045b7806de4ab2d6f4990c19a87c0d745ac1440e24b96b69c046c2d5d1a56b1
primary,0,32,2842,88,1,40,3,Meac,positive,train,false,balance_excluded,1377,be1961f3bef35932a6dd3a4caf1abca3b8fec8c47d43d0ea845096760d8796a5
primary,0,32,2843,88,1,40,3,Meac,positive,train,false,balance_excluded,881,7eaff70a693e3034bf69c097c9490a802b63da41c746eb03f5f12b5f16a61a2b
primary,0,32,2844,88,1,40,3,Meac,positive,train,false,balance_excluded,190,1a16c9c4c25a93331319ab737c61a5b583602703b4ad84aad27c0a6d43b37e27
primary,0,32,2845,88,1,40,3,Meac,positive,train,false,balance_excluded,219,1f22c4598fc72c50f9f689ece9f644af1896df69e1a382d269c95f4b025c6b23
primary,0,32,2846,88,1,40,3,Meac,positive,train,false,balance_excluded,1632,e04741ec980362dc39a4af490e9789b6fd03154c8f61e3310921095a2fc7fd0f
primary,0,32,2847,88,1,40,3,Meac,positive,train,false,balance_excluded,252,243329d8145c8f78525f3ce5cd9c0bcd9151684ce4cafa253759065fbcca0710
primary,0,32,2848,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2849,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2850,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2851,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2852,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2853,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2854,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2855,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2856,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2857,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2858,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2859,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2860,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2861,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2862,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2863,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2864,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2865,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2866,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2867,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2868,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2869,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2870,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2871,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2872,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2873,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2874,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2875,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2876,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2877,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2878,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2879,89,1,40,3,Meac,positive,guard,false,guard,,
primary,0,32,2880,90,1,40,3,Meac,positive,test,true,test,9,3166ff462b5edb95c1f9b1946da3a6a27c2f254ce6c7570f41406d1ecfe58317
primary,0,32,2881,90,1,40,3,Meac,positive,test,true,test,11,387b90adafe8b94d7178226d4e0c8b3f64b7ba73a143f145473c48f42d34c5c3
primary,0,32,2882,90,1,40,3,Meac,positive,test,true,test,23,a2afc3a67e92346a48d83a335b384de09b8bead9509d0a61b0ebe0037e236509
primary,0,32,2883,90,1,40,3,Meac,positive,test,true,test,1,03a1cfc9f16a33f5e15969bb4aec98cba62ea311b5cb36b438e2d18e2b643ad8
primary,0,32,2884,90,1,40,3,Meac,positive,test,true,test,27,c3c679218d723564c67ed1fc1f413b97d066ec2245de9acaced60a8dc7062cb7
primary,0,32,2885,90,1,40,3,Meac,positive,test,true,test,18,7fa5bc358308d90938ef2d32316f0de111f180a1d9813bc03c77a910a928a491
primary,0,32,2886,90,1,40,3,Meac,positive,test,true,test,25,b1a8c0d34fccc4dc434c8944c1f1a7ebb9ec90c926255265ac1e22c1d6ba41d3
primary,0,32,2887,90,1,40,3,Meac,positive,test,true,test,12,4319a579d87d6cfdc99ec5e3931500c6910e3280b60205e8ba2caa5a0020c599
primary,0,32,2888,90,1,40,3,Meac,positive,test,true,test,5,13beb7af72bc10b6f533045ac78afb9a3f04093242d284446cfeb6a52285a94e
primary,0,32,2889,90,1,40,3,Meac,positive,test,false,balance_excluded,30,e16e14a0c9e54ea64d9d7607996cd27d4edd78c03ded8cc3578f5b656a8cc01a
primary,0,32,2890,90,1,40,3,Meac,positive,test,true,test,19,865af6e12cae0e7ddae196fd67e853e4661e944b7a0148bf6054590d4d279e4d
primary,0,32,2891,90,1,40,3,Meac,positive,test,false,balance_excluded,33,f032ec0e3a19743c582e3dee3015c24cfb330f584c631f06451a282894c83877
primary,0,32,2892,90,1,40,3,Meac,positive,test,true,test,2,0aeff8b133389abd523176f2cfc3cce2d012e158da73e84bbf67ff958663c1dc
primary,0,32,2893,90,1,40,3,Meac,positive,test,true,test,13,52525051ca5419f9b405f0428ddf0c4fd6b0d5aa98a7e336f6c67cef625d459c
primary,0,32,2894,90,1,40,3,Meac,positive,test,true,test,22,905565d7f5e91d940a2344b7dbf5b64fe05a3920b6888914ba6b14c68d88ce27
primary,0,32,2895,90,1,40,3,Meac,positive,test,false,balance_excluded,32,e9e1661740c77bae9426356a6bd0834a13eb882127cd71476a4e96e829e06b24
primary,0,32,2896,90,1,40,3,Meac,positive,test,true,test,6,17d1843659651ccabc1263d6c5ca72ac1b08b73cca3433b8f0af079dd57cf907
primary,0,32,2897,90,1,40,3,Meac,positive,test,true,test,3,0fa63e0c780383d8aee4aad34f05ba9591c9ba421b10359038a0a39727c3173b
primary,0,32,2898,90,1,40,3,Meac,positive,test,true,test,4,1378ae4b6be2bbdd9d410335281091674db2056542bf82dc7c584d2cf08962bf
primary,0,32,2899,90,1,40,3,Meac,positive,test,true,test,21,900271678fa727a1a8af45a5ab9d374cd069fb9c0db785f4aea6ff74e676371f
primary,0,32,2900,90,1,40,3,Meac,positive,test,false,balance_excluded,34,fbfb7682cd529609afdac211ecefab9b670605ca3d701882749e9c31740e753e
primary,0,32,2901,90,1,40,3,Meac,positive,test,false,balance_excluded,35,fe9340c46c678663d2ae877bb9edab0e49b49194b661c6c01f3e8d11eff10b96
primary,0,32,2902,90,1,40,3,Meac,positive,test,true,test,8,20197ca018e694543e971eb8de73d225401838b7e0e52b84748cf54fb9c11604
primary,0,32,2903,90,1,40,3,Meac,positive,test,true,test,24,a50ea13034994eb7f94c4cf37722804a62b4aa950d7d5093c5a76a4e252910f3
primary,0,32,2904,90,1,40,3,Meac,positive,test,false,balance_excluded,28,d46aee98a039a4dc03f5d5ffefbe68c9ef16e8ca8874ad59b08569f2df7ebf5a
primary,0,32,2905,90,1,40,3,Meac,positive,test,true,test,14,53f134515067c94bac0a1d511445bb8c84aa9e0e40d4b6032fd289274eb077c3
primary,0,32,2906,90,1,40,3,Meac,positive,test,true,test,20,8b1845bff653992b8140250697f63637cc385673a0eb5ab90c5fcf45495f511a
