sample_index,area,transmit_power_dbm,class_id,class_name,binary_class,reason
29,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
30,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
31,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
32,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
33,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
34,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
35,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
36,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
37,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
38,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
39,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
40,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
41,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
42,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
43,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
44,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
45,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
46,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
47,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
48,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
49,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
50,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
51,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
52,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
53,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
54,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
55,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
56,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
57,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
58,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
59,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
60,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
61,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
62,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
63,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
64,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
65,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
66,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
67,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
68,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
69,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
70,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
71,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
72,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
73,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
74,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
75,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
76,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
77,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
78,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
79,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
80,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
81,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
82,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
83,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
84,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
85,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
86,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
87,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
88,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
89,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
90,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
91,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
92,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
93,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
94,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
95,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
96,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
97,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
98,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
99,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
100,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
101,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
102,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
103,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
104,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
105,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
106,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
107,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
108,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
109,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
110,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
111,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
112,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
113,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
114,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
115,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
116,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
117,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
118,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
119,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
120,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
121,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
122,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
123,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
124,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
125,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
126,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
127,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
128,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
129,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
130,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
131,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
132,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
133,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
134,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
135,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
136,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
137,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
138,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
139,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
140,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
141,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
142,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
143,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
144,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
145,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
146,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
147,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
148,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
149,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
150,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
151,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
152,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
153,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
154,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
155,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
156,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
157,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
158,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
159,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
160,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
161,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
162,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
163,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
164,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
165,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
166,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
167,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
168,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
169,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
170,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
171,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
172,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
173,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
174,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
175,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
176,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
177,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
178,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
179,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
180,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
181,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
182,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
183,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
184,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
185,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
186,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
187,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
188,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
189,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
190,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
191,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
192,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
193,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
194,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
195,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
196,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
197,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
198,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
199,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
200,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
201,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
202,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
203,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
204,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
205,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
206,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
207,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
208,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
209,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
210,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
211,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
212,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
213,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
214,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
215,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
216,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
217,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
218,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
219,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
220,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
221,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
222,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
223,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
224,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
225,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
226,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
227,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
228,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
229,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
230,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
231,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
232,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
233,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
234,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
235,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
236,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
237,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
238,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
239,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
240,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
241,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
242,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
243,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
244,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
245,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
246,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
247,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
248,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
249,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
250,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
251,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
252,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
253,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
254,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
255,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
256,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
257,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
258,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
259,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
260,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
261,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
262,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
263,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
264,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
265,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
266,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
267,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
268,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
269,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
270,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
271,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
272,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
273,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
274,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
275,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
276,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
277,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
278,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
279,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
280,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
281,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
282,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
283,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
284,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
285,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
286,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
287,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
288,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
289,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
290,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
291,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
292,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
293,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
294,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
295,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
296,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
297,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
298,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
299,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
300,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
301,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
302,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
303,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
304,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
305,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
306,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
307,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
308,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
309,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
310,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
311,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
312,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
313,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
314,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
315,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
