scenario,physical_recording_id,block_recording_id,event_id,window_bin_s,target_source_start_s,history_blocks,cadence_seconds,block_end_s,block_start_s,sample_offset,sample_count,block_features_json,context_features_json,linked_prns,linked_pair_count,history_reducer
cleanStatic,cleanStatic,cleanStatic,cleanStatic@15,15.0,14.28039548,4,0.5,12.51;13.01;13.51;14.01,12.5;13;13.5;14,312500000;325000000;337500000;350000000,250000;250000;250000;250000,"[[15.539918800202948,7.23521474115245,0.3888451104798461,0.22565323267249976],[15.525707699248883,7.228359095588732,0.385149851141644,0.22131176025368868],[15.530287262473525,7.23453902782427,0.38898300122747526,0.2237075671698018],[15.524921148458168,7.228871421231143,0.388597534954879,0.22642612637658902]]","[15.530208727595882,7.231746071449149,0.3878938744509611,0.2242746716181448]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@15.5,15.5,14.78039548,4,0.5,13.01;13.51;14.01;14.51,13;13.5;14;14.5,325000000;337500000;350000000;362500000,250000;250000;250000;250000,"[[15.525707699248883,7.228359095588732,0.385149851141644,0.22131176025368868],[15.530287262473525,7.23453902782427,0.38898300122747526,0.2237075671698018],[15.524921148458168,7.228871421231143,0.388597534954879,0.22642612637658902],[15.524744500380674,7.227794724019972,0.3857693640541341,0.2258527222941535]]","[15.526415152640311,7.2298910671660295,0.38712493784453306,0.22432454402355825]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@16,16.0,15.28039548,4,0.5,13.51;14.01;14.51;15.01,13.5;14;14.5;15,337500000;350000000;362500000;375000000,250000;250000;250000;250000,"[[15.530287262473525,7.23453902782427,0.38898300122747526,0.2237075671698018],[15.524921148458168,7.228871421231143,0.388597534954879,0.22642612637658902],[15.524744500380674,7.227794724019972,0.3857693640541341,0.2258527222941535],[15.522730215616486,7.225227212981283,0.38942181242174834,0.22491048966743402]]","[15.525670781732211,7.229108096514167,0.38819292816455914,0.22522422637699457]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@16.5,16.5,15.78039548,4,0.5,14.01;14.51;15.01;15.51,14;14.5;15;15.5,350000000;362500000;375000000;387500000,250000;250000;250000;250000,"[[15.524921148458168,7.228871421231143,0.388597534954879,0.22642612637658902],[15.524744500380674,7.227794724019972,0.3857693640541341,0.2258527222941535],[15.522730215616486,7.225227212981283,0.38942181242174834,0.22491048966743402],[15.523004116926261,7.227882017703584,0.38787447074088904,0.22081902322246788]]","[15.523849995345396,7.2274438439839965,0.3879157955429126,0.2245020903901611]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@17,17.0,16.28039548,4,0.5,14.51;15.01;15.51;16.010000000000002,14.5;15;15.5;16,362500000;375000000;387500000;400000000,250000;250000;250000;250000,"[[15.524744500380674,7.227794724019972,0.3857693640541341,0.2258527222941535],[15.522730215616486,7.225227212981283,0.38942181242174834,0.22491048966743402],[15.523004116926261,7.227882017703584,0.38787447074088904,0.22081902322246788],[15.528825531299082,7.229396610056248,0.3872493638415883,0.22529812956823458]]","[15.524826091055626,7.227575141190272,0.38757875276459,0.2242200911880725]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@17.5,17.5,16.78039548,4,0.5,15.01;15.51;16.010000000000002;16.510000000000002,15;15.5;16;16.5,375000000;387500000;400000000;412500000,250000;250000;250000;250000,"[[15.522730215616486,7.225227212981283,0.38942181242174834,0.22491048966743402],[15.523004116926261,7.227882017703584,0.38787447074088904,0.22081902322246788],[15.528825531299082,7.229396610056248,0.3872493638415883,0.22529812956823458],[15.537826908495028,7.237888701143962,0.3873335841794999,0.22237578748020775]]","[15.528096693084214,7.230098635471269,0.3879698077959314,0.22335085748458605]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@18,18.0,17.28039548,4,0.5,15.51;16.010000000000002;16.510000000000002;17.010000000000002,15.5;16;16.5;17,387500000;400000000;412500000;425000000,250000;250000;250000;250000,"[[15.523004116926261,7.227882017703584,0.38787447074088904,0.22081902322246788],[15.528825531299082,7.229396610056248,0.3872493638415883,0.22529812956823458],[15.537826908495028,7.237888701143962,0.3873335841794999,0.22237578748020775],[15.525408247973862,7.232844803789617,0.38931103049420035,0.22101172087653623]]","[15.528766201173559,7.232003033173353,0.3879421123140444,0.2223761652868616]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@18.5,18.5,17.78039548,4,0.5,16.010000000000002;16.510000000000002;17.010000000000002;17.510000000000002,16;16.5;17;17.5,400000000;412500000;425000000;437500000,250000;250000;250000;250000,"[[15.528825531299082,7.229396610056248,0.3872493638415883,0.22529812956823458],[15.537826908495028,7.237888701143962,0.3873335841794999,0.22237578748020775],[15.525408247973862,7.232844803789617,0.38931103049420035,0.22101172087653623],[15.532802823224124,7.23442869371702,0.3890176697845656,0.22380831314758687]]","[15.531215877748025,7.2336397021767125,0.38822791207496354,0.22312348776814137]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@19,19.0,18.28039548,4,0.5,16.510000000000002;17.010000000000002;17.510000000000002;18.010000000000002,16.5;17;17.5;18,412500000;425000000;437500000;450000000,250000;250000;250000;250000,"[[15.537826908495028,7.237888701143962,0.3873335841794999,0.22237578748020775],[15.525408247973862,7.232844803789617,0.38931103049420035,0.22101172087653623],[15.532802823224124,7.23442869371702,0.3890176697845656,0.22380831314758687],[15.541047881795565,7.234951355574033,0.38724667620666575,0.22858592036605394]]","[15.534271465372145,7.235028388556159,0.3882272401662329,0.2239454354675962]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@19.5,19.5,18.78039548,4,0.5,17.010000000000002;17.510000000000002;18.010000000000002;18.510000000000002,17;17.5;18;18.5,425000000;437500000;450000000;462500000,250000;250000;250000;250000,"[[15.525408247973862,7.232844803789617,0.38931103049420035,0.22101172087653623],[15.532802823224124,7.23442869371702,0.3890176697845656,0.22380831314758687],[15.541047881795565,7.234951355574033,0.38724667620666575,0.22858592036605394],[15.538786076872315,7.236597211685448,0.3861128144254156,0.22661063989477567]]","[15.534511257466466,7.23470551619153,0.3879220477277118,0.22500414857123818]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@20,20.0,19.28039548,4,0.5,17.510000000000002;18.010000000000002;18.510000000000002;19.010000000000002,17.5;18;18.5;19,437500000;450000000;462500000;475000000,250000;250000;250000;250000,"[[15.532802823224124,7.23442869371702,0.3890176697845656,0.22380831314758687],[15.541047881795565,7.234951355574033,0.38724667620666575,0.22858592036605394],[15.538786076872315,7.236597211685448,0.3861128144254156,0.22661063989477567],[15.531598276962253,7.231020938073993,0.3866999619821311,0.2266636581382987]]","[15.536058764713562,7.234249549762624,0.38726928059969445,0.2264171328866788]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@20.5,20.5,19.78039548,4,0.5,18.010000000000002;18.510000000000002;19.010000000000002;19.510000000000002,18;18.5;19;19.5,450000000;462500000;475000000;487500000,250000;250000;250000;250000,"[[15.541047881795565,7.234951355574033,0.38724667620666575,0.22858592036605394],[15.538786076872315,7.236597211685448,0.3861128144254156,0.22661063989477567],[15.531598276962253,7.231020938073993,0.3866999619821311,0.2266636581382987],[15.522254965213069,7.23009118167535,0.38683845468286393,0.22199439941811205]]","[15.5334218002108,7.233165171752205,0.386724476824269,0.22596365445431008]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@21,21.0,20.28039548,4,0.5,18.510000000000002;19.010000000000002;19.510000000000002;20.010000000000002,18.5;19;19.5;20,462500000;475000000;487500000;500000000,250000;250000;250000;250000,"[[15.538786076872315,7.236597211685448,0.3861128144254156,0.22661063989477567],[15.531598276962253,7.231020938073993,0.3866999619821311,0.2266636581382987],[15.522254965213069,7.23009118167535,0.38683845468286393,0.22199439941811205],[15.52191733233842,7.228077987580168,0.3892644539072263,0.22444324748940794]]","[15.528639162846513,7.2314468297537395,0.3872289212494092,0.2249279862351486]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@21.5,21.5,20.78039548,4,0.5,19.010000000000002;19.510000000000002;20.010000000000002;20.510000000000002,19;19.5;20;20.5,475000000;487500000;500000000;512500000,250000;250000;250000;250000,"[[15.531598276962253,7.231020938073993,0.3866999619821311,0.2266636581382987],[15.522254965213069,7.23009118167535,0.38683845468286393,0.22199439941811205],[15.52191733233842,7.228077987580168,0.3892644539072263,0.22444324748940794],[15.521341987046107,7.225912946408697,0.38708354346961893,0.22491947929528822]]","[15.524278140389962,7.228775763434552,0.38747160351046006,0.22450519608527672]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@22,22.0,21.28039548,4,0.5,19.510000000000002;20.010000000000002;20.510000000000002;21.010000000000002,19.5;20;20.5;21,487500000;500000000;512500000;525000000,250000;250000;250000;250000,"[[15.522254965213069,7.23009118167535,0.38683845468286393,0.22199439941811205],[15.52191733233842,7.228077987580168,0.3892644539072263,0.22444324748940794],[15.521341987046107,7.225912946408697,0.38708354346961893,0.22491947929528822],[15.52433423570104,7.22936395175765,0.3853073402889179,0.223108106971855]]","[15.52246213007466,7.2283615168554665,0.3871234480871568,0.2236163082936658]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@22.5,22.5,21.78039548,4,0.5,20.010000000000002;20.510000000000002;21.010000000000002;21.510000000000002,20;20.5;21;21.5,500000000;512500000;525000000;537500000,250000;250000;250000;250000,"[[15.52191733233842,7.228077987580168,0.3892644539072263,0.22444324748940794],[15.521341987046107,7.225912946408697,0.38708354346961893,0.22491947929528822],[15.52433423570104,7.22936395175765,0.3853073402889179,0.223108106971855],[15.521054906453442,7.226062277863172,0.3865122269559962,0.22547822161394968]]","[15.522162115384752,7.227354290902422,0.3870418911554398,0.2244872638426252]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@23,23.0,22.28039548,4,0.5,20.510000000000002;21.010000000000002;21.510000000000002;22.010000000000002,20.5;21;21.5;22,512500000;525000000;537500000;550000000,250000;250000;250000;250000,"[[15.521341987046107,7.225912946408697,0.38708354346961893,0.22491947929528822],[15.52433423570104,7.22936395175765,0.3853073402889179,0.223108106971855],[15.521054906453442,7.226062277863172,0.3865122269559962,0.22547822161394968],[15.523520447544417,7.2245438118246215,0.38641649833739095,0.22786939228323494]]","[15.522562894186251,7.2264707469635345,0.38632990226298103,0.22534380004108195]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@23.5,23.5,22.78039548,4,0.5,21.010000000000002;21.510000000000002;22.010000000000002;22.510000000000002,21;21.5;22;22.5,525000000;537500000;550000000;562500000,250000;250000;250000;250000,"[[15.52433423570104,7.22936395175765,0.3853073402889179,0.223108106971855],[15.521054906453442,7.226062277863172,0.3865122269559962,0.22547822161394968],[15.523520447544417,7.2245438118246215,0.38641649833739095,0.22786939228323494],[15.524671738950687,7.232803945863848,0.38686957916710335,0.22297992386117252]]","[15.523395332162398,7.228193496827323,0.38627641118735206,0.22485891118255302]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@24,24.0,23.28039548,4,0.5,21.510000000000002;22.010000000000002;22.510000000000002;23.010000000000002,21.5;22;22.5;23,537500000;550000000;562500000;575000000,250000;250000;250000;250000,"[[15.521054906453442,7.226062277863172,0.3865122269559962,0.22547822161394968],[15.523520447544417,7.2245438118246215,0.38641649833739095,0.22786939228323494],[15.524671738950687,7.232803945863848,0.38686957916710335,0.22297992386117252],[15.523947379545461,7.231122409381778,0.38738637468410436,0.22408486547689727]]","[15.523298618123501,7.228633111233355,0.3867961697861487,0.22510310080881357]",G03;G06;G07;G10;G11;G13;G16;G19;G20;G23;G30,11,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@24.5,24.5,23.78039548,4,0.5,22.010000000000002;22.510000000000002;23.010000000000002;23.510000000000002,22;22.5;23;23.5,550000000;562500000;575000000;587500000,250000;250000;250000;250000,"[[15.523520447544417,7.2245438118246215,0.38641649833739095,0.22786939228323494],[15.524671738950687,7.232803945863848,0.38686957916710335,0.22297992386117252],[15.523947379545461,7.231122409381778,0.38738637468410436,0.22408486547689727],[15.526325555549798,7.233803762757626,0.3864147493619487,0.22324566495375936]]","[15.52461628039759,7.2305684824569685,0.38677180038763687,0.22454496164376603]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@25,25.0,24.28039548,4,0.5,22.510000000000002;23.010000000000002;23.510000000000002;24.010000000000002,22.5;23;23.5;24,562500000;575000000;587500000;600000000,250000;250000;250000;250000,"[[15.524671738950687,7.232803945863848,0.38686957916710335,0.22297992386117252],[15.523947379545461,7.231122409381778,0.38738637468410436,0.22408486547689727],[15.526325555549798,7.233803762757626,0.3864147493619487,0.22324566495375936],[15.539531218534066,7.236706712157451,0.3857943187046304,0.2239510172261717]]","[15.528618973145003,7.233609207540175,0.3866162554794467,0.22356536787950024]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@25.5,25.5,24.78039548,4,0.5,23.010000000000002;23.510000000000002;24.010000000000002;24.510000000000002,23;23.5;24;24.5,575000000;587500000;600000000;612500000,250000;250000;250000;250000,"[[15.523947379545461,7.231122409381778,0.38738637468410436,0.22408486547689727],[15.526325555549798,7.233803762757626,0.3864147493619487,0.22324566495375936],[15.539531218534066,7.236706712157451,0.3857943187046304,0.2239510172261717],[15.541096951461872,7.243344142732391,0.3879412725840312,0.22309922090504952]]","[15.5327252762728,7.2362442567573115,0.38688417883367865,0.22359519214046947]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@26,26.0,25.28039548,4,0.5,23.510000000000002;24.010000000000002;24.510000000000002;25.010000000000002,23.5;24;24.5;25,587500000;600000000;612500000;625000000,250000;250000;250000;250000,"[[15.526325555549798,7.233803762757626,0.3864147493619487,0.22324566495375936],[15.539531218534066,7.236706712157451,0.3857943187046304,0.2239510172261717],[15.541096951461872,7.243344142732391,0.3879412725840312,0.22309922090504952],[15.539893665858537,7.232482266043355,0.38615937558231966,0.22651100645019656]]","[15.536711847851068,7.236584220922706,0.38657742905823245,0.2242017273837943]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
