case_id,dataset,mode,status,attempts,reason
OAKBAT.cleanStatic.r1.36,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.37,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.38,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.39,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.40,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.41,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.00,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.01,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.02,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.03,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.04,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.05,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.06,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.07,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.08,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.09,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.10,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.11,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.12,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.13,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.14,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.15,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.16,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.17,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.18,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.19,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.20,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.21,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.22,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.23,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.24,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.25,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.26,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.27,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.28,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.29,TEXBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.30,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.31,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.32,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.33,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.34,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.35,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.36,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.37,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.38,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.39,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.40,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
TEXBAT.cleanStatic.r1.41,TEXBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
