dataset,prn,subframe_start_bit,tow_s,subframe_id,preamble_valid,all_ten_words_parity_valid
OAKBAT.cleanStatic,10,20424,382056,1,True,True
OAKBAT.cleanStatic,10,20724,382062,2,True,True
OAKBAT.cleanStatic,10,21024,382068,3,True,True
OAKBAT.cleanStatic,10,21324,382074,4,True,True
OAKBAT.cleanStatic,11,291,381654,4,True,True
OAKBAT.cleanStatic,11,591,381660,5,True,True
OAKBAT.cleanStatic,11,891,381666,1,True,True
OAKBAT.cleanStatic,11,1191,381672,2,True,True
OAKBAT.cleanStatic,11,1491,381678,3,True,True
OAKBAT.cleanStatic,11,1791,381684,4,True,True
OAKBAT.cleanStatic,11,2091,381690,5,True,True
OAKBAT.cleanStatic,11,2391,381696,1,True,True
OAKBAT.cleanStatic,11,2691,381702,2,True,True
OAKBAT.cleanStatic,11,2991,381708,3,True,True
OAKBAT.cleanStatic,11,3291,381714,4,True,True
OAKBAT.cleanStatic,11,3591,381720,5,True,True
OAKBAT.cleanStatic,11,3891,381726,1,True,True
OAKBAT.cleanStatic,11,4191,381732,2,True,True
OAKBAT.cleanStatic,11,4491,381738,3,True,True
OAKBAT.cleanStatic,11,4791,381744,4,True,True
OAKBAT.cleanStatic,11,5091,381750,5,True,True
OAKBAT.cleanStatic,11,5391,381756,1,True,True
OAKBAT.cleanStatic,11,5691,381762,2,True,True
OAKBAT.cleanStatic,11,5991,381768,3,True,True
OAKBAT.cleanStatic,11,6291,381774,4,True,True
OAKBAT.cleanStatic,11,6591,381780,5,True,True
OAKBAT.cleanStatic,11,6891,381786,1,True,True
OAKBAT.cleanStatic,11,7191,381792,2,True,True
OAKBAT.cleanStatic,11,7491,381798,3,True,True
OAKBAT.cleanStatic,11,7791,381804,4,True,True
OAKBAT.cleanStatic,11,8091,381810,5,True,True
OAKBAT.cleanStatic,11,8391,381816,1,True,True
OAKBAT.cleanStatic,11,8691,381822,2,True,True
OAKBAT.cleanStatic,11,8991,381828,3,True,True
OAKBAT.cleanStatic,11,9291,381834,4,True,True
OAKBAT.cleanStatic,11,9591,381840,5,True,True
OAKBAT.cleanStatic,11,9891,381846,1,True,True
OAKBAT.cleanStatic,11,10191,381852,2,True,True
OAKBAT.cleanStatic,11,10491,381858,3,True,True
OAKBAT.cleanStatic,11,10791,381864,4,True,True
OAKBAT.cleanStatic,11,11091,381870,5,True,True
OAKBAT.cleanStatic,11,11391,381876,1,True,True
OAKBAT.cleanStatic,11,11691,381882,2,True,True
OAKBAT.cleanStatic,11,11991,381888,3,True,True
OAKBAT.cleanStatic,11,12291,381894,4,True,True
OAKBAT.cleanStatic,11,12591,381900,5,True,True
OAKBAT.cleanStatic,11,12891,381906,1,True,True
OAKBAT.cleanStatic,11,13191,381912,2,True,True
OAKBAT.cleanStatic,11,13491,381918,3,True,True
OAKBAT.cleanStatic,11,13791,381924,4,True,True
OAKBAT.cleanStatic,11,14091,381930,5,True,True
OAKBAT.cleanStatic,11,14391,381936,1,True,True
OAKBAT.cleanStatic,11,14691,381942,2,True,True
OAKBAT.cleanStatic,11,14991,381948,3,True,True
OAKBAT.cleanStatic,11,15291,381954,4,True,True
OAKBAT.cleanStatic,11,15591,381960,5,True,True
OAKBAT.cleanStatic,11,15891,381966,1,True,True
OAKBAT.cleanStatic,11,16191,381972,2,True,True
OAKBAT.cleanStatic,11,16491,381978,3,True,True
OAKBAT.cleanStatic,11,16791,381984,4,True,True
OAKBAT.cleanStatic,11,17091,381990,5,True,True
OAKBAT.cleanStatic,11,17391,381996,1,True,True
OAKBAT.cleanStatic,11,17691,382002,2,True,True
OAKBAT.cleanStatic,11,17991,382008,3,True,True
OAKBAT.cleanStatic,11,18291,382014,4,True,True
OAKBAT.cleanStatic,11,18591,382020,5,True,True
OAKBAT.cleanStatic,11,18891,382026,1,True,True
OAKBAT.cleanStatic,11,19191,382032,2,True,True
OAKBAT.cleanStatic,11,19491,382038,3,True,True
OAKBAT.cleanStatic,11,19791,382044,4,True,True
OAKBAT.cleanStatic,11,20091,382050,5,True,True
OAKBAT.cleanStatic,11,20391,382056,1,True,True
OAKBAT.cleanStatic,11,20691,382062,2,True,True
OAKBAT.cleanStatic,11,20991,382068,3,True,True
OAKBAT.cleanStatic,11,21291,382074,4,True,True
OAKBAT.cleanStatic,21,35,381648,3,True,True
OAKBAT.cleanStatic,21,335,381654,4,True,True
OAKBAT.cleanStatic,21,635,381660,5,True,True
OAKBAT.cleanStatic,21,935,381666,1,True,True
OAKBAT.cleanStatic,21,1235,381672,2,True,True
OAKBAT.cleanStatic,21,1535,381678,3,True,True
OAKBAT.cleanStatic,21,1835,381684,4,True,True
OAKBAT.cleanStatic,21,2135,381690,5,True,True
OAKBAT.cleanStatic,21,2435,381696,1,True,True
OAKBAT.cleanStatic,21,2735,381702,2,True,True
OAKBAT.cleanStatic,21,3035,381708,3,True,True
OAKBAT.cleanStatic,21,3335,381714,4,True,True
OAKBAT.cleanStatic,21,3635,381720,5,True,True
OAKBAT.cleanStatic,21,3935,381726,1,True,True
OAKBAT.cleanStatic,21,4235,381732,2,True,True
OAKBAT.cleanStatic,21,4535,381738,3,True,True
OAKBAT.cleanStatic,21,4835,381744,4,True,True
OAKBAT.cleanStatic,21,5135,381750,5,True,True
OAKBAT.cleanStatic,21,5435,381756,1,True,True
OAKBAT.cleanStatic,21,5735,381762,2,True,True
OAKBAT.cleanStatic,21,6035,381768,3,True,True
OAKBAT.cleanStatic,21,6335,381774,4,True,True
OAKBAT.cleanStatic,21,6635,381780,5,True,True
OAKBAT.cleanStatic,21,6935,381786,1,True,True
OAKBAT.cleanStatic,21,7235,381792,2,True,True
OAKBAT.cleanStatic,21,7535,381798,3,True,True
OAKBAT.cleanStatic,21,7835,381804,4,True,True
OAKBAT.cleanStatic,21,8135,381810,5,True,True
OAKBAT.cleanStatic,21,8435,381816,1,True,True
OAKBAT.cleanStatic,21,8735,381822,2,True,True
OAKBAT.cleanStatic,21,9035,381828,3,True,True
OAKBAT.cleanStatic,21,9335,381834,4,True,True
OAKBAT.cleanStatic,21,9635,381840,5,True,True
OAKBAT.cleanStatic,21,9935,381846,1,True,True
OAKBAT.cleanStatic,21,10235,381852,2,True,True
OAKBAT.cleanStatic,21,10535,381858,3,True,True
OAKBAT.cleanStatic,21,10835,381864,4,True,True
OAKBAT.cleanStatic,21,11135,381870,5,True,True
OAKBAT.cleanStatic,21,11435,381876,1,True,True
OAKBAT.cleanStatic,21,11735,381882,2,True,True
OAKBAT.cleanStatic,21,12035,381888,3,True,True
OAKBAT.cleanStatic,21,12335,381894,4,True,True
OAKBAT.cleanStatic,21,12635,381900,5,True,True
OAKBAT.cleanStatic,21,12935,381906,1,True,True
OAKBAT.cleanStatic,21,13235,381912,2,True,True
OAKBAT.cleanStatic,21,13535,381918,3,True,True
OAKBAT.cleanStatic,21,13835,381924,4,True,True
OAKBAT.cleanStatic,21,14135,381930,5,True,True
OAKBAT.cleanStatic,21,14435,381936,1,True,True
OAKBAT.cleanStatic,21,14735,381942,2,True,True
OAKBAT.cleanStatic,21,15035,381948,3,True,True
OAKBAT.cleanStatic,21,15335,381954,4,True,True
OAKBAT.cleanStatic,21,15635,381960,5,True,True
OAKBAT.cleanStatic,21,15935,381966,1,True,True
OAKBAT.cleanStatic,21,16235,381972,2,True,True
OAKBAT.cleanStatic,21,16535,381978,3,True,True
OAKBAT.cleanStatic,21,16835,381984,4,True,True
OAKBAT.cleanStatic,21,17135,381990,5,True,True
OAKBAT.cleanStatic,21,17435,381996,1,True,True
OAKBAT.cleanStatic,21,17735,382002,2,True,True
OAKBAT.cleanStatic,21,18035,382008,3,True,True
OAKBAT.cleanStatic,21,18335,382014,4,True,True
OAKBAT.cleanStatic,21,18635,382020,5,True,True
OAKBAT.cleanStatic,21,18935,382026,1,True,True
OAKBAT.cleanStatic,21,19235,382032,2,True,True
OAKBAT.cleanStatic,21,19535,382038,3,True,True
OAKBAT.cleanStatic,21,19835,382044,4,True,True
OAKBAT.cleanStatic,21,20135,382050,5,True,True
OAKBAT.cleanStatic,21,20435,382056,1,True,True
OAKBAT.cleanStatic,21,20735,382062,2,True,True
OAKBAT.cleanStatic,21,21035,382068,3,True,True
OAKBAT.cleanStatic,21,21335,382074,4,True,True
OAKBAT.cleanStatic,24,291,381654,4,True,True
OAKBAT.cleanStatic,24,591,381660,5,True,True
OAKBAT.cleanStatic,24,891,381666,1,True,True
OAKBAT.cleanStatic,24,1191,381672,2,True,True
OAKBAT.cleanStatic,24,1491,381678,3,True,True
OAKBAT.cleanStatic,24,1791,381684,4,True,True
OAKBAT.cleanStatic,24,2091,381690,5,True,True
OAKBAT.cleanStatic,24,2391,381696,1,True,True
OAKBAT.cleanStatic,24,2691,381702,2,True,True
OAKBAT.cleanStatic,24,2991,381708,3,True,True
OAKBAT.cleanStatic,24,3291,381714,4,True,True
OAKBAT.cleanStatic,24,3591,381720,5,True,True
OAKBAT.cleanStatic,24,3891,381726,1,True,True
OAKBAT.cleanStatic,24,4191,381732,2,True,True
OAKBAT.cleanStatic,24,4491,381738,3,True,True
OAKBAT.cleanStatic,24,4791,381744,4,True,True
OAKBAT.cleanStatic,24,5091,381750,5,True,True
OAKBAT.cleanStatic,24,5391,381756,1,True,True
OAKBAT.cleanStatic,24,5691,381762,2,True,True
OAKBAT.cleanStatic,24,5991,381768,3,True,True
OAKBAT.cleanStatic,24,6291,381774,4,True,True
OAKBAT.cleanStatic,24,6591,381780,5,True,True
OAKBAT.cleanStatic,24,6891,381786,1,True,True
OAKBAT.cleanStatic,24,7191,381792,2,True,True
OAKBAT.cleanStatic,24,7491,381798,3,True,True
OAKBAT.cleanStatic,24,7791,381804,4,True,True
OAKBAT.cleanStatic,24,8091,381810,5,True,True
OAKBAT.cleanStatic,24,8391,381816,1,True,True
OAKBAT.cleanStatic,24,8691,381822,2,True,True
OAKBAT.cleanStatic,24,8991,381828,3,True,True
OAKBAT.cleanStatic,24,9291,381834,4,True,True
OAKBAT.cleanStatic,24,9591,381840,5,True,True
OAKBAT.cleanStatic,24,9891,381846,1,True,True
OAKBAT.cleanStatic,24,10191,381852,2,True,True
OAKBAT.cleanStatic,24,10491,381858,3,True,True
OAKBAT.cleanStatic,24,10791,381864,4,True,True
OAKBAT.cleanStatic,24,11091,381870,5,True,True
OAKBAT.cleanStatic,24,11391,381876,1,True,True
OAKBAT.cleanStatic,24,11691,381882,2,True,True
OAKBAT.cleanStatic,24,11991,381888,3,True,True
OAKBAT.cleanStatic,24,12291,381894,4,True,True
OAKBAT.cleanStatic,24,12591,381900,5,True,True
OAKBAT.cleanStatic,24,12891,381906,1,True,True
OAKBAT.cleanStatic,24,13191,381912,2,True,True
OAKBAT.cleanStatic,24,13491,381918,3,True,True
OAKBAT.cleanStatic,24,13791,381924,4,True,True
OAKBAT.cleanStatic,24,14091,381930,5,True,True
OAKBAT.cleanStatic,24,14391,381936,1,True,True
OAKBAT.cleanStatic,24,14691,381942,2,True,True
OAKBAT.cleanStatic,24,14991,381948,3,True,True
OAKBAT.cleanStatic,24,15291,381954,4,True,True
OAKBAT.cleanStatic,24,15591,381960,5,True,True
OAKBAT.cleanStatic,24,15891,381966,1,True,True
OAKBAT.cleanStatic,24,16191,381972,2,True,True
OAKBAT.cleanStatic,24,16491,381978,3,True,True
OAKBAT.cleanStatic,24,16791,381984,4,True,True
OAKBAT.cleanStatic,24,17091,381990,5,True,True
OAKBAT.cleanStatic,24,17391,381996,1,True,True
OAKBAT.cleanStatic,24,17691,382002,2,True,True
OAKBAT.cleanStatic,24,17991,382008,3,True,True
OAKBAT.cleanStatic,24,18291,382014,4,True,True
OAKBAT.cleanStatic,24,18591,382020,5,True,True
OAKBAT.cleanStatic,24,18891,382026,1,True,True
OAKBAT.cleanStatic,24,19191,382032,2,True,True
OAKBAT.cleanStatic,24,19491,382038,3,True,True
OAKBAT.cleanStatic,24,19791,382044,4,True,True
OAKBAT.cleanStatic,24,20091,382050,5,True,True
OAKBAT.cleanStatic,24,20391,382056,1,True,True
OAKBAT.cleanStatic,24,20691,382062,2,True,True
OAKBAT.cleanStatic,24,20991,382068,3,True,True
OAKBAT.cleanStatic,24,21291,382074,4,True,True
OAKBAT.cleanStatic,27,291,381654,4,True,True
OAKBAT.cleanStatic,27,591,381660,5,True,True
OAKBAT.cleanStatic,27,891,381666,1,True,True
OAKBAT.cleanStatic,27,1191,381672,2,True,True
OAKBAT.cleanStatic,27,1491,381678,3,True,True
OAKBAT.cleanStatic,27,1791,381684,4,True,True
OAKBAT.cleanStatic,27,2091,381690,5,True,True
OAKBAT.cleanStatic,27,2391,381696,1,True,True
OAKBAT.cleanStatic,27,2691,381702,2,True,True
OAKBAT.cleanStatic,27,2991,381708,3,True,True
OAKBAT.cleanStatic,27,3291,381714,4,True,True
OAKBAT.cleanStatic,27,3591,381720,5,True,True
OAKBAT.cleanStatic,27,3891,381726,1,True,True
OAKBAT.cleanStatic,27,4191,381732,2,True,True
OAKBAT.cleanStatic,27,4491,381738,3,True,True
OAKBAT.cleanStatic,27,4791,381744,4,True,True
OAKBAT.cleanStatic,27,5091,381750,5,True,True
OAKBAT.cleanStatic,27,5391,381756,1,True,True
OAKBAT.cleanStatic,27,5691,381762,2,True,True
OAKBAT.cleanStatic,27,5991,381768,3,True,True
OAKBAT.cleanStatic,27,6291,381774,4,True,True
OAKBAT.cleanStatic,27,6591,381780,5,True,True
OAKBAT.cleanStatic,27,6891,381786,1,True,True
OAKBAT.cleanStatic,27,7191,381792,2,True,True
OAKBAT.cleanStatic,27,7491,381798,3,True,True
OAKBAT.cleanStatic,27,7791,381804,4,True,True
OAKBAT.cleanStatic,27,8091,381810,5,True,True
OAKBAT.cleanStatic,27,8391,381816,1,True,True
OAKBAT.cleanStatic,27,8691,381822,2,True,True
OAKBAT.cleanStatic,27,8991,381828,3,True,True
OAKBAT.cleanStatic,27,9291,381834,4,True,True
OAKBAT.cleanStatic,27,9591,381840,5,True,True
OAKBAT.cleanStatic,27,9891,381846,1,True,True
OAKBAT.cleanStatic,27,10191,381852,2,True,True
OAKBAT.cleanStatic,27,10491,381858,3,True,True
OAKBAT.cleanStatic,27,10791,381864,4,True,True
OAKBAT.cleanStatic,27,11091,381870,5,True,True
OAKBAT.cleanStatic,27,11391,381876,1,True,True
OAKBAT.cleanStatic,27,11691,381882,2,True,True
OAKBAT.cleanStatic,27,11991,381888,3,True,True
OAKBAT.cleanStatic,27,12291,381894,4,True,True
OAKBAT.cleanStatic,27,12591,381900,5,True,True
OAKBAT.cleanStatic,27,12891,381906,1,True,True
OAKBAT.cleanStatic,27,13191,381912,2,True,True
OAKBAT.cleanStatic,27,13491,381918,3,True,True
OAKBAT.cleanStatic,27,13791,381924,4,True,True
OAKBAT.cleanStatic,27,14091,381930,5,True,True
OAKBAT.cleanStatic,27,14391,381936,1,True,True
OAKBAT.cleanStatic,27,14691,381942,2,True,True
OAKBAT.cleanStatic,27,14991,381948,3,True,True
OAKBAT.cleanStatic,27,15291,381954,4,True,True
OAKBAT.cleanStatic,27,15591,381960,5,True,True
OAKBAT.cleanStatic,27,15891,381966,1,True,True
OAKBAT.cleanStatic,27,16191,381972,2,True,True
OAKBAT.cleanStatic,27,16491,381978,3,True,True
OAKBAT.cleanStatic,27,16791,381984,4,True,True
OAKBAT.cleanStatic,27,17091,381990,5,True,True
OAKBAT.cleanStatic,27,17391,381996,1,True,True
OAKBAT.cleanStatic,27,17691,382002,2,True,True
OAKBAT.cleanStatic,27,17991,382008,3,True,True
OAKBAT.cleanStatic,27,18291,382014,4,True,True
OAKBAT.cleanStatic,27,18591,382020,5,True,True
OAKBAT.cleanStatic,27,18891,382026,1,True,True
OAKBAT.cleanStatic,27,19191,382032,2,True,True
OAKBAT.cleanStatic,27,19491,382038,3,True,True
OAKBAT.cleanStatic,27,19791,382044,4,True,True
OAKBAT.cleanStatic,27,20091,382050,5,True,True
OAKBAT.cleanStatic,27,20391,382056,1,True,True
OAKBAT.cleanStatic,27,20691,382062,2,True,True
OAKBAT.cleanStatic,27,20991,382068,3,True,True
OAKBAT.cleanStatic,27,21291,382074,4,True,True
TEXBAT.cleanStatic,3,159,477930,5,True,True
TEXBAT.cleanStatic,3,459,477936,1,True,True
TEXBAT.cleanStatic,3,759,477942,2,True,True
TEXBAT.cleanStatic,3,1059,477948,3,True,True
TEXBAT.cleanStatic,3,1359,477954,4,True,True
TEXBAT.cleanStatic,3,1659,477960,5,True,True
TEXBAT.cleanStatic,3,1959,477966,1,True,True
TEXBAT.cleanStatic,3,2259,477972,2,True,True
TEXBAT.cleanStatic,3,2559,477978,3,True,True
TEXBAT.cleanStatic,3,2859,477984,4,True,True
TEXBAT.cleanStatic,3,3159,477990,5,True,True
TEXBAT.cleanStatic,3,3459,477996,1,True,True
TEXBAT.cleanStatic,3,3759,478002,2,True,True
TEXBAT.cleanStatic,3,4059,478008,3,True,True
TEXBAT.cleanStatic,3,4359,478014,4,True,True
TEXBAT.cleanStatic,3,4659,478020,5,True,True
TEXBAT.cleanStatic,3,4959,478026,1,True,True
TEXBAT.cleanStatic,3,5259,478032,2,True,True
TEXBAT.cleanStatic,3,5559,478038,3,True,True
TEXBAT.cleanStatic,3,5859,478044,4,True,True
TEXBAT.cleanStatic,3,6159,478050,5,True,True
TEXBAT.cleanStatic,3,6459,478056,1,True,True
TEXBAT.cleanStatic,3,6759,478062,2,True,True
TEXBAT.cleanStatic,3,7059,478068,3,True,True
TEXBAT.cleanStatic,3,7359,478074,4,True,True
TEXBAT.cleanStatic,3,7659,478080,5,True,True
TEXBAT.cleanStatic,3,7959,478086,1,True,True
TEXBAT.cleanStatic,3,8259,478092,2,True,True
TEXBAT.cleanStatic,3,8559,478098,3,True,True
TEXBAT.cleanStatic,3,8859,478104,4,True,True
TEXBAT.cleanStatic,3,9159,478110,5,True,True
TEXBAT.cleanStatic,3,9459,478116,1,True,True
TEXBAT.cleanStatic,3,9759,478122,2,True,True
TEXBAT.cleanStatic,3,10059,478128,3,True,True
TEXBAT.cleanStatic,3,10359,478134,4,True,True
TEXBAT.cleanStatic,3,10659,478140,5,True,True
TEXBAT.cleanStatic,3,10959,478146,1,True,True
TEXBAT.cleanStatic,3,11259,478152,2,True,True
TEXBAT.cleanStatic,3,11559,478158,3,True,True
TEXBAT.cleanStatic,3,11859,478164,4,True,True
TEXBAT.cleanStatic,3,12159,478170,5,True,True
TEXBAT.cleanStatic,3,12459,478176,1,True,True
TEXBAT.cleanStatic,3,12759,478182,2,True,True
TEXBAT.cleanStatic,3,13059,478188,3,True,True
TEXBAT.cleanStatic,3,13359,478194,4,True,True
TEXBAT.cleanStatic,3,13659,478200,5,True,True
TEXBAT.cleanStatic,3,13959,478206,1,True,True
TEXBAT.cleanStatic,3,14259,478212,2,True,True
TEXBAT.cleanStatic,3,14559,478218,3,True,True
TEXBAT.cleanStatic,3,14859,478224,4,True,True
TEXBAT.cleanStatic,3,15159,478230,5,True,True
TEXBAT.cleanStatic,3,15459,478236,1,True,True
TEXBAT.cleanStatic,3,15759,478242,2,True,True
TEXBAT.cleanStatic,3,16059,478248,3,True,True
TEXBAT.cleanStatic,3,16359,478254,4,True,True
TEXBAT.cleanStatic,3,16659,478260,5,True,True
TEXBAT.cleanStatic,3,16959,478266,1,True,True
TEXBAT.cleanStatic,3,17259,478272,2,True,True
TEXBAT.cleanStatic,3,17559,478278,3,True,True
TEXBAT.cleanStatic,3,17859,478284,4,True,True
TEXBAT.cleanStatic,3,18159,478290,5,True,True
TEXBAT.cleanStatic,3,18459,478296,1,True,True
TEXBAT.cleanStatic,3,18759,478302,2,True,True
TEXBAT.cleanStatic,3,19059,478308,3,True,True
TEXBAT.cleanStatic,3,19359,478314,4,True,True
TEXBAT.cleanStatic,3,19659,478320,5,True,True
TEXBAT.cleanStatic,3,19959,478326,1,True,True
TEXBAT.cleanStatic,3,20259,478332,2,True,True
TEXBAT.cleanStatic,3,20559,478338,3,True,True
TEXBAT.cleanStatic,3,20859,478344,4,True,True
TEXBAT.cleanStatic,3,21159,478350,5,True,True
TEXBAT.cleanStatic,3,21459,478356,1,True,True
TEXBAT.cleanStatic,13,159,477930,5,True,True
TEXBAT.cleanStatic,13,459,477936,1,True,True
TEXBAT.cleanStatic,13,759,477942,2,True,True
TEXBAT.cleanStatic,13,1059,477948,3,True,True
TEXBAT.cleanStatic,13,1359,477954,4,True,True
TEXBAT.cleanStatic,13,1659,477960,5,True,True
TEXBAT.cleanStatic,13,1959,477966,1,True,True
TEXBAT.cleanStatic,13,2259,477972,2,True,True
TEXBAT.cleanStatic,13,2559,477978,3,True,True
TEXBAT.cleanStatic,13,2859,477984,4,True,True
TEXBAT.cleanStatic,13,3159,477990,5,True,True
TEXBAT.cleanStatic,13,3459,477996,1,True,True
TEXBAT.cleanStatic,13,3759,478002,2,True,True
TEXBAT.cleanStatic,13,4059,478008,3,True,True
TEXBAT.cleanStatic,13,4359,478014,4,True,True
TEXBAT.cleanStatic,13,4659,478020,5,True,True
TEXBAT.cleanStatic,13,4959,478026,1,True,True
TEXBAT.cleanStatic,13,5259,478032,2,True,True
TEXBAT.cleanStatic,13,5559,478038,3,True,True
TEXBAT.cleanStatic,13,5859,478044,4,True,True
TEXBAT.cleanStatic,13,6159,478050,5,True,True
TEXBAT.cleanStatic,13,6459,478056,1,True,True
TEXBAT.cleanStatic,13,6759,478062,2,True,True
TEXBAT.cleanStatic,13,7059,478068,3,True,True
TEXBAT.cleanStatic,13,7359,478074,4,True,True
TEXBAT.cleanStatic,13,7659,478080,5,True,True
TEXBAT.cleanStatic,13,7959,478086,1,True,True
TEXBAT.cleanStatic,13,8259,478092,2,True,True
TEXBAT.cleanStatic,13,8559,478098,3,True,True
TEXBAT.cleanStatic,13,8859,478104,4,True,True
TEXBAT.cleanStatic,13,9159,478110,5,True,True
TEXBAT.cleanStatic,13,9459,478116,1,True,True
TEXBAT.cleanStatic,13,9759,478122,2,True,True
TEXBAT.cleanStatic,13,10059,478128,3,True,True
TEXBAT.cleanStatic,13,10359,478134,4,True,True
TEXBAT.cleanStatic,13,10659,478140,5,True,True
TEXBAT.cleanStatic,13,10959,478146,1,True,True
TEXBAT.cleanStatic,13,11259,478152,2,True,True
TEXBAT.cleanStatic,13,11559,478158,3,True,True
TEXBAT.cleanStatic,13,11859,478164,4,True,True
TEXBAT.cleanStatic,13,12159,478170,5,True,True
TEXBAT.cleanStatic,13,12459,478176,1,True,True
TEXBAT.cleanStatic,13,12759,478182,2,True,True
TEXBAT.cleanStatic,13,13059,478188,3,True,True
TEXBAT.cleanStatic,13,13359,478194,4,True,True
TEXBAT.cleanStatic,13,13659,478200,5,True,True
TEXBAT.cleanStatic,13,13959,478206,1,True,True
TEXBAT.cleanStatic,13,14259,478212,2,True,True
TEXBAT.cleanStatic,13,14559,478218,3,True,True
TEXBAT.cleanStatic,13,14859,478224,4,True,True
TEXBAT.cleanStatic,13,15159,478230,5,True,True
TEXBAT.cleanStatic,13,15459,478236,1,True,True
TEXBAT.cleanStatic,13,15759,478242,2,True,True
TEXBAT.cleanStatic,13,16059,478248,3,True,True
TEXBAT.cleanStatic,13,16359,478254,4,True,True
TEXBAT.cleanStatic,13,16659,478260,5,True,True
TEXBAT.cleanStatic,13,16959,478266,1,True,True
TEXBAT.cleanStatic,13,17259,478272,2,True,True
TEXBAT.cleanStatic,13,17559,478278,3,True,True
TEXBAT.cleanStatic,13,17859,478284,4,True,True
TEXBAT.cleanStatic,13,18159,478290,5,True,True
TEXBAT.cleanStatic,13,18459,478296,1,True,True
TEXBAT.cleanStatic,13,18759,478302,2,True,True
TEXBAT.cleanStatic,13,19059,478308,3,True,True
TEXBAT.cleanStatic,13,19359,478314,4,True,True
TEXBAT.cleanStatic,13,19659,478320,5,True,True
TEXBAT.cleanStatic,13,19959,478326,1,True,True
TEXBAT.cleanStatic,13,20259,478332,2,True,True
