regime,target_domain,split,model,alpha,validation_mse,parameter_count,train_support,validation_support,s0_base_coef_hash,correction_coef_hash,correction_nonzero,mse,mae,samples,support_sha256,target_dimensions,improvement_vs_P1,incremental_r2_vs_P1,tap_E4_mse,tap_E3_mse,tap_E2_mse,tap_E_mse,tap_P_mse,tap_L_mse,tap_L2_mse,tap_L3_mse,tap_L4_mse,na_reason
S1,SYN-OAK,clean_validation,P2,,,,,,,,,0.000421953318504,0.0155938761061082,1694.0,1b5f2c2dbf8f85bc8e5ef38fa5d0f11f14458c604b3ff1b61017af7948f7f6e6,9.0,,0.9200513092983852,0.0009340226322104,0.0007045148247524,0.0004556875518507,0.0002046605305843,0.000118369123002,0.000147241080701,0.0002233783974255,0.000443737799771,0.0005659679262385,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-OAK,clean_validation,P3,,,,,,,,,0.0051822802359133,0.0617109647301087,1694.0,1b5f2c2dbf8f85bc8e5ef38fa5d0f11f14458c604b3ff1b61017af7948f7f6e6,9.0,9.55212490271022e-05,0.0180986816763876,0.006564297449461,0.0077805463865945,0.0080221466233827,0.0014234757112817,0.0005981851784053,0.0020386324738498,0.003735445990177,0.0077138199605997,0.0087639723494676,
S1,SYN-OAK,independent_clean_test,P0,,,,,,,,,0.0132806009497911,0.1035694146248024,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,,,0.0060702306436425,0.0329138499793582,0.0263347807045201,0.0026926376616545,0.0004825573615176,0.0070261883705208,0.0138859313844609,0.0154173434251297,0.0147018890173156,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-OAK,independent_clean_test,P1,,,,,,,,,0.0054063083926004,0.0630178066991278,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,,,0.0068285589385777,0.0082858948365397,0.0084059951919539,0.001508405353447,0.0006423676229477,0.0021441518062113,0.0037803209103216,0.0078935573790925,0.0091675234943118,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-OAK,independent_clean_test,P2,,,,,,,,,0.000432166457442,0.0156479134468759,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,,0.9200625591330456,0.0009469878789829,0.0007221365729074,0.0004489858817885,0.0001694830162903,9.283083891334696e-05,0.0001550645122772,0.0002272590062524,0.0005029395852933,0.0006238108242723,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-OAK,independent_clean_test,P3,,,,,,,,,0.0053538349315783,0.0626560419341337,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,5.247346102208849e-05,0.0097059688814475,0.0068691977976177,0.0081930526515913,0.0084129867761001,0.0015258391057648,0.0006428066770676,0.0021157952914248,0.0037122442196434,0.0077697913054017,0.0089428005595929,
S0,SYN-TEX,fit_audit,P1,0.1,0.0006674930048272,495.0,24883.0,2741.0,,2ceb94c8b485e47abaee5cc11bd87b7b8e294f1bad7b2909b0a1bcf42619a356,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S0,SYN-TEX,fit_audit,P2,100.0,0.0609197730316837,513.0,24883.0,2741.0,,713bb27bd47c9aacad381a13a69add8dcae6c322d706e3f6bcd99c904a4c542e,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S0,SYN-TEX,fit_audit,P3,0.1,0.0006693634434273,999.0,24883.0,2741.0,,b40a9f40c5e6332902e806589bbbde53218d6cb68b00802447c8e2466c869f99,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S0,SYN-TEX,clean_validation,P0,,,,,,,,,0.0605933516985101,0.1722861120666913,2741.0,ab36c1a75a7d086e737315f42edf1953beded518fcd55a7d3570b12ea6fc1f66,9.0,,,0.1389670402572015,0.0717732519250059,0.0456853749731969,0.0124774949191263,0.0235056045022674,0.0095492842586367,0.0331657086799089,0.0963721598806216,0.1138442458906255,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-TEX,clean_validation,P1,,,,,,,,,0.0006674930048272,0.0130036570639991,2741.0,ab36c1a75a7d086e737315f42edf1953beded518fcd55a7d3570b12ea6fc1f66,9.0,,,0.0011781672261386,0.000837150546603,0.0006027103850558,0.0003134956322394,4.723764926668431e-06,0.0003286271219819,0.0007284385647703,0.0007654051709367,0.0012487186307925,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-TEX,clean_validation,P2,,,,,,,,,0.0609197730316837,0.1608334467045347,2741.0,ab36c1a75a7d086e737315f42edf1953beded518fcd55a7d3570b12ea6fc1f66,9.0,,-90.26653401776132,0.1408160761261689,0.0707656566835228,0.0466191221700484,0.0127181959197971,0.020410641971551,0.0097298233056996,0.0333553346432869,0.0981511831832981,0.1157119232817802,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-TEX,clean_validation,P3,,,,,,,,,0.0006693634434273,0.0130440345173797,2741.0,ab36c1a75a7d086e737315f42edf1953beded518fcd55a7d3570b12ea6fc1f66,9.0,-1.8704386001074664e-06,-0.0028021845720938,0.001180414599615,0.0008388239254742,0.0006041408639593,0.0003144919605808,4.736018942700487e-06,0.0003295990869828,0.0007321148100175,0.000767496238328,0.0012524534869456,
S0,SYN-TEX,independent_clean_test,P0,,,,,,,,,0.0187106384490387,0.1125042288954468,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,,0.0553147673380916,0.0125636722108746,0.0154737304897234,0.0034735699855463,0.0018347639362064,0.0032672597682749,0.0068508774994263,0.0265712790680403,0.0430458257451645,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-TEX,independent_clean_test,P1,,,,,,,,,0.0011618066140796,0.0188167661462229,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,,0.0025402102509749,0.0016781674427581,0.000992387829992,0.0003667307730648,3.034463650450271e-06,0.0004179111686904,0.0009042236229729,0.0014673324229962,0.0020862615516167,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-TEX,independent_clean_test,P2,,,,,,,,,0.1008619982107118,0.2846530207894367,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,-85.81479085106838,0.2304025965891301,0.1120955269178525,0.071153313840391,0.0174179750674945,0.0365361193169823,0.0139730706960725,0.0602797989083796,0.1667576336865596,0.1991419488735444,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-TEX,independent_clean_test,P3,,,,,,,,,0.0012171756250843,0.0196969542408388,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,-5.536901100472685e-05,-0.0476576827276793,0.0026526688490943,0.0017308936926942,0.0010154781737014,0.0003882905909994,3.1606258921393324e-06,0.0004320839554665,0.0010138295964707,0.0015805810781973,0.002137594063243,
S1,SYN-TEX,fit_audit,P1,1.0,0.0003856006980396,495.0,4710.0,1639.0,2ceb94c8b485e47abaee5cc11bd87b7b8e294f1bad7b2909b0a1bcf42619a356,cc5cf5a9dd43069e4db6e728244c1e7f2a41c0fc5b9d5ac045eed15806c08a7d,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S1,SYN-TEX,fit_audit,P2,100.0,0.0008830699038402,513.0,4710.0,1639.0,713bb27bd47c9aacad381a13a69add8dcae6c322d706e3f6bcd99c904a4c542e,4cec534bb4fba903b07b4fca325e02ca8b9c91844fe554fe999fd9e50b7cecac,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S1,SYN-TEX,fit_audit,P3,0.1,0.0003902471708738,999.0,4710.0,1639.0,b40a9f40c5e6332902e806589bbbde53218d6cb68b00802447c8e2466c869f99,64179554afa7638bf89ff2a8c5c6af77de09dfc52a6dad13e87bdd98d4224487,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S1,SYN-TEX,clean_validation,P0,,,,,,,,,0.0148453248582231,0.1026477435024526,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,,,0.0448643204041646,0.0078494421950409,0.0127779252679758,0.0029290542106261,0.0003035850145634,0.0028818869215201,0.0054249403157537,0.0207892884655884,0.0357874809287753,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-TEX,clean_validation,P1,,,,,,,,,0.0092301626465803,0.0686736518795756,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,,,0.0208882816662724,0.0109248700756576,0.0061339783291539,0.0022610080396441,0.0022955365893666,0.0022085968979611,0.0056542931990652,0.0141597789033509,0.0185451201187507,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-TEX,clean_validation,P2,,,,,,,,,0.0010361839437948,0.0213641282017386,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,,0.8877393624067081,0.0027532379675044,0.0013004647380725,0.0006688679501756,0.0002031158392241,0.0002839719501369,0.0001837778074637,0.000529457408588,0.001366404002802,0.0020363578301865,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-TEX,clean_validation,P3,,,,,,,,,0.0092691738848701,0.0689473849977067,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,-3.90112382897944e-05,-0.0042264952182882,0.0210334448706493,0.0110235442297011,0.0062029060424154,0.0022622571598502,0.0023017006176358,0.0022183041051584,0.005687385957293,0.0141713276842106,0.018521694296917,
S1,SYN-TEX,independent_clean_test,P0,,,,,,,,,0.0177367355579889,0.1087438257964942,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,,0.0528133789687034,0.0117095661389042,0.0145522152847878,0.0032506713253523,0.0015974184789125,0.0030153857684763,0.0066740891232758,0.0248825392672705,0.041135355666217,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-TEX,independent_clean_test,P1,,,,,,,,,0.0202830866833396,0.0733241233804446,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,,0.0464221971189954,0.0247913420862668,0.0159281890890979,0.0049252450448655,0.0058197140395969,0.0043705334101364,0.0117717511420305,0.0315278464331929,0.0369909617858741,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-TEX,independent_clean_test,P2,,,,,,,,,0.0044941975415332,0.0231684030833301,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,0.7784263504023392,0.0114167746679262,0.0054447935281771,0.0030451479226888,0.0006818669625784,0.0015847969625116,0.0005211409423903,0.0022207275750151,0.0067026148035655,0.008829914508946,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-TEX,independent_clean_test,P3,,,,,,,,,0.0202924630693486,0.0734365694775071,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,-9.376386009025269e-06,-0.0004622760901933,0.0464923722810511,0.0247984767808028,0.0159246028081272,0.0049117422960853,0.0058190202086748,0.0043841752271923,0.0117750234203555,0.0315212156406944,0.0370055389611543,
R0,SYN-TEX,fit_audit,P1,10.0,0.0003728891065225,495.0,4710.0,1639.0,,1b8f0142f73df84ce20a2647f35ad11dfe5006a400ee9103e20530f360ce3cc2,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
R0,SYN-TEX,fit_audit,P2,100.0,0.0008532389032064,513.0,4710.0,1639.0,,d017d2f157d305d933a4714b8d32fea83cd75080cc5599ccf33f8559452eb27a,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
R0,SYN-TEX,fit_audit,P3,10.0,0.0003787411314321,999.0,4710.0,1639.0,,a7b74e197dcb4f13d6843e360ea9949460ffa92f4090a052dbc7b92953965278,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
R0,SYN-TEX,clean_validation,P0,,,,,,,,,0.0008988144306895,0.0197503886888103,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,,,0.0018809872277192,0.0014181670515309,0.0005420419443198,0.0001743507513204,0.0008569480421017,0.000159341293758,0.0006699398940169,0.0007354448592642,0.0016521088121742,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
R0,SYN-TEX,clean_validation,P1,,,,,,,,,0.0003728891065225,0.0117057673003086,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,,,0.0006950375146745,0.0004715062140962,0.0002755162317802,0.0001253398109791,1.6871478278393457e-05,0.0001424950458524,0.0003154420789345,0.0005630082591582,0.0007507853249492,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
R0,SYN-TEX,clean_validation,P2,,,,,,,,,0.0008532389032064,0.0185605668038081,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,,-1.2881840426057165,0.0019461002883784,0.0009679137091003,0.0005358212778721,0.0001559496827507,0.0008032917500301,0.0001670310848972,0.0005221736426904,0.0007792466722787,0.0018016220208595,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
R0,SYN-TEX,clean_validation,P3,,,,,,,,,0.0003787411314321,0.0118570841541148,1639.0,85c4fff0e2a2f6b2c7ac4ecb3ab7a1ba3970f68e37afe0ee3a67ee12ee97aec9,9.0,-5.852024909561106e-06,-0.0156937405979356,0.0007076982544986,0.0004794812479182,0.000279184462678,0.0001265688629551,1.713746624047756e-05,0.0001440250162582,0.0003196216572876,0.0005728789650578,0.0007620742499949,
R0,SYN-TEX,independent_clean_test,P0,,,,,,,,,0.0042094570112165,0.0235551230434155,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,,0.0095402237361603,0.0060582094915997,0.0028676275193871,0.0007339351627476,0.0008026928996457,0.0007468841598651,0.0032850215296639,0.0044371906780665,0.0094133279238126,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
R0,SYN-TEX,independent_clean_test,P1,,,,,,,,,0.0003657653777104,0.0114320550962716,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,,0.0008089000496056,0.0005391386447424,0.0003173529561059,0.0001088856906126,2.182043928049904e-05,0.0001152565371354,0.0002782730760557,0.0004514988591985,0.0006507621466568,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
R0,SYN-TEX,independent_clean_test,P2,,,,,,,,,0.0041780711075127,0.0221584123575386,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,,-10.4228173635954,0.0096335194183435,0.0057237233242037,0.0028610414543627,0.000728444605118,0.0007793129622827,0.0007536716162554,0.0032157845271246,0.0043528440052516,0.0095542980546721,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
R0,SYN-TEX,independent_clean_test,P3,,,,,,,,,0.000368431296982,0.0115481301454601,2938.0,af97624282f43b066ddf1ade2a25e465a50bda7c9d8278acb79b1bb7d681a400,9.0,-2.665919271660857e-06,-0.0072886047562745,0.0008123313983774,0.0005398412659306,0.0003164402087881,0.0001095875191285,2.2043570039399763e-05,0.0001163528560868,0.0002810612758025,0.0004579989686255,0.0006602246100598,
