regime,target_domain,scenario,model,roc_auc,pr_auc,stable_pre_fpr,independent_clean_fpr,post_detection_rate,first_alarm_delay_s,persistent_detection_rate,threshold,threshold_source,transition_excluded,na_reason,independent_test_fpr,attack_detection_rate,persistent_delay_s,threshold_q99,threshold_q995,target_fpr_1pct_threshold,onset_time_basis
S0,SYN-OAK,os3,Full,0.9866666666666667,0.9980145237409828,1.0,1.0,1.0,0.1516222000000056,0.9972972972972973,1.4119063214443395,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os4,Full,0.9719369369369368,0.9957728951425475,1.0,1.0,1.0,0.18164899999999307,0.9972972972972973,1.4119063214443395,synthetic_validation,90--110 s,,,,,,,,
S1,SYN-OAK,os1,B0,0.47510135135135134,0.869606699403185,0.0,0.021897810218978103,0.03918918918918919,10.7152696,0.01756756756756757,0.12743091821670532,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os2,B0,0.024065315315315316,0.6850178311820958,0.025,0.021897810218978103,0.0,NA,0.0,0.12743091821670532,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os3,B0,0.21351351351351355,0.7435266242504183,0.008333333333333333,0.021897810218978103,0.0,NA,0.0,0.12743091821670532,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os4,B0,0.4273198198198198,0.8814985935068969,0.008333333333333333,0.021897810218978103,0.21891891891891893,12.681648999999993,0.024324324324324326,0.12743091821670532,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os1,M1,0.7240990990990992,0.9447347155555088,0.0,0.010948905109489052,0.1,10.7152696,0.006756756756756757,2.337449939784701,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os2,M1,0.985427927927928,0.99785479091849,0.025,0.010948905109489052,0.972972972972973,10.233264199999994,0.9702702702702702,2.337449939784701,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os3,M1,0.9904617117117117,0.9985737359595461,0.0,0.010948905109489052,0.9702702702702702,11.151622200000006,0.9675675675675676,2.337449939784701,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os4,M1,0.9879617117117118,0.9982167237318782,0.0,0.010948905109489052,0.9716216216216216,10.681648999999993,0.9689189189189189,2.337449939784701,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os1,cal_mean,0.6908445945945947,0.9326631033821186,0.008333333333333333,0.014598540145985401,0.08108108108108109,10.2152696,0.021621621621621623,1.2799558868222924,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os2,cal_mean,0.9854166666666666,0.9978242878962577,0.041666666666666664,0.014598540145985401,0.972972972972973,10.233264199999994,0.9702702702702702,1.2799558868222924,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os3,cal_mean,0.9888063063063064,0.9983106157762954,0.0,0.014598540145985401,0.9716216216216216,10.651622200000006,0.9689189189189189,1.2799558868222924,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os4,cal_mean,0.9875112612612612,0.9981504945907418,0.016666666666666666,0.014598540145985401,0.9716216216216216,10.681648999999993,0.9689189189189189,1.2799558868222924,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os1,cal_max,0.6983783783783784,0.935980616597827,0.0,0.0,0.06486486486486487,10.2152696,0.02027027027027027,2.900871939539467,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os2,cal_max,0.9858783783783783,0.9978917613160214,0.008333333333333333,0.0,0.972972972972973,10.233264199999994,0.9702702702702702,2.900871939539467,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os3,cal_max,0.9888288288288289,0.9983074826913485,0.0,0.0,0.9702702702702702,11.151622200000006,0.9675675675675676,2.900871939539467,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os4,cal_max,0.9874099099099098,0.9981331041438042,0.008333333333333333,0.0,0.9716216216216216,10.681648999999993,0.9689189189189189,2.900871939539467,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os1,P3,0.5442342342342343,0.8842217795575248,0.008333333333333333,0.0072992700729927005,0.033783783783783786,10.2152696,0.021621621621621623,0.00015434634249667352,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os2,P3,0.9896058558558559,0.9984332326325716,0.0,0.0072992700729927005,0.972972972972973,10.233264199999994,0.9702702702702702,0.00015434634249667352,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os3,P3,0.9878265765765766,0.9981551130827002,0.0,0.0072992700729927005,0.9635135135135136,12.651622200000006,0.9581081081081081,0.00015434634249667352,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os4,P3,0.988795045045045,0.9983293482707125,0.008333333333333333,0.0072992700729927005,0.9716216216216216,10.681648999999993,0.9689189189189189,0.00015434634249667352,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os1,Full,0.7015990990990991,0.9392368252810349,0.0,0.0036496350364963502,0.07972972972972973,10.2152696,0.021621621621621623,1.4814257266929338,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os2,Full,0.9860022522522522,0.9979070898822248,0.025,0.0036496350364963502,0.972972972972973,10.233264199999994,0.9702702702702702,1.4814257266929338,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os3,Full,0.9894594594594595,0.9984028561252393,0.0,0.0036496350364963502,0.9702702702702702,11.151622200000006,0.9675675675675676,1.4814257266929338,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-OAK,os4,Full,0.9872635135135135,0.9981121518956197,0.0,0.0036496350364963502,0.9716216216216216,10.681648999999993,0.9689189189189189,1.4814257266929338,real_clean_validation_250_330,90--110 s,,,,,,,,
S0,SYN-TEX,DS1,B0,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS1,M1,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS1,cal_mean,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS1,cal_max,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS1,P3,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS1,Full,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS2,B0,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS2,M1,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS2,cal_mean,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS2,cal_max,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS2,P3,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS2,Full,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS3,B0,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS3,M1,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS3,cal_mean,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS3,cal_max,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS3,P3,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS3,Full,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S0,SYN-TEX,DS4,B0,0.4891891891891892,0.38246324084066685,0.0,0.01818181818181818,0.0,NA,0.0,0.10064276307821274,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-TEX,DS4,M1,0.9101351351351351,0.8799523904946718,1.0,1.0,1.0,0.12581316000000697,0.9459459459459459,1.6988230514742786,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-TEX,DS4,cal_mean,0.9391891891891893,0.895933718865674,1.0,1.0,1.0,0.12581316000000697,0.9459459459459459,1.5616868296293946,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-TEX,DS4,cal_max,0.9101351351351351,0.8799523904946718,1.0,1.0,1.0,0.12581316000000697,0.9459459459459459,2.660774045100593,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-TEX,DS4,P3,0.8950450450450451,0.8579991718162598,0.0,0.7454545454545455,0.7297297297297297,5.125813160000007,0.6756756756756757,0.00025900332530957523,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-TEX,DS4,Full,0.9117117117117117,0.8802011649480028,1.0,1.0,1.0,0.12581316000000697,0.9459459459459459,1.448357269479481,synthetic_validation,90--110 s,,,,,,,,
S1,SYN-TEX,DS1,B0,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS1,M1,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS1,cal_mean,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS1,cal_max,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS1,P3,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS1,Full,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS2,B0,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS2,M1,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS2,cal_mean,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS2,cal_max,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS2,P3,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS2,Full,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS3,B0,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS3,M1,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS3,cal_mean,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS3,cal_max,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS3,P3,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS3,Full,,,,,,,,,,,Method-A nine-tap node rows unavailable; no values fabricated,,,,,,,
S1,SYN-TEX,DS4,B0,0.48243243243243245,0.385586076973036,0.0,0.02181818181818182,0.0,NA,0.0,0.09651156954467296,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-TEX,DS4,M1,0.1752252252252252,0.18407914706923978,1.0,0.014545454545454545,1.0,0.12581316000000697,0.9459459459459459,2.061649121790439,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-TEX,DS4,cal_mean,0.14594594594594593,0.1975310993826792,1.0,0.025454545454545455,1.0,0.12581316000000697,0.9459459459459459,1.2275946653528325,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-TEX,DS4,cal_max,0.1752252252252252,0.18407914706923978,1.0,0.014545454545454545,1.0,0.12581316000000697,0.9459459459459459,3.106130045247244,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-TEX,DS4,P3,0.15495495495495493,0.184035723764785,1.0,0.01090909090909091,1.0,0.12581316000000697,0.9459459459459459,0.0002944267723289813,real_clean_validation_250_330,90--110 s,,,,,,,,
S1,SYN-TEX,DS4,Full,0.13918918918918918,0.192981440193541,1.0,0.025454545454545455,1.0,0.12581316000000697,0.9459459459459459,1.2280075161987365,real_clean_validation_250_330,90--110 s,,,,,,,,
R0,SYN-OAK,os1,B0,0.5691106442577031,0.7927728886616539,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0037735849056603,0.0542857142857142,0.2152695999999991,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os1,M1,0.6907352941176472,0.879481058229439,,,,0.7152695999999992,,,,,exact immutable R3 result,0.0113207547169811,0.1071428571428571,2.215269599999999,4.555510946591642,4.804958050883534,4.555510946591642,available_s
R0,SYN-OAK,os1,mean_fusion,0.6679026610644258,0.8654176300417513,,,,0.7152695999999992,,,,,exact immutable R3 result,0.0150943396226415,0.0957142857142857,0.7152695999999992,3.0117325337969416,3.6997625306988815,3.0117325337969416,available_s
R0,SYN-OAK,os1,max_fusion,0.6542507002801121,0.8403415085610028,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0,0.0357142857142857,0.2152695999999991,4.973757951997409,4.976733742420574,4.973757951997409,available_s
R0,SYN-OAK,os1,fisher_fusion,0.6678851540616246,0.8654085690435421,,,,0.7152695999999992,,,,,exact immutable R3 result,0.0150943396226415,0.0957142857142857,0.7152695999999992,12.046930135187766,14.79905012279553,12.046930135187766,available_s
R0,SYN-OAK,os1,P0_median,0.5691106442577031,0.7927728886616539,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0037735849056603,0.0542857142857142,0.2152695999999991,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os1,P1_median,0.5985224089635854,0.8125282287253096,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0490566037735849,0.1028571428571428,0.2152695999999991,3.2170236393901592,3.2567807741038064,3.2170236393901592,available_s
R0,SYN-OAK,os1,P2_median,0.5784243697478991,0.7975289623656163,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0075471698113207,0.0628571428571428,0.2152695999999991,3.2756382026275936,3.302527711566101,3.2756382026275936,available_s
R0,SYN-OAK,os1,P3_median,0.6060924369747898,0.8148772294886486,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0339622641509433,0.0728571428571428,0.2152695999999991,3.271966808103284,3.29969227292343,3.271966808103284,available_s
R0,SYN-OAK,os1,Full,0.5823179271708683,0.8336444790155835,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0226415094339622,0.1171428571428571,0.2152695999999991,4.433275344401849,7.618483183329536,4.433275344401849,available_s
R0,SYN-OAK,os1,minus_M1,0.4445518207282913,0.7391251592819342,,,,0.2152695999999991,,,,,exact immutable R3 result,0.030188679245283,0.0714285714285714,0.2152695999999991,2.7949562540853834,2.8333648865460077,2.7949562540853834,available_s
R0,SYN-OAK,os1,minus_B0history,0.541687675070028,0.8009548372824696,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0113207547169811,0.1157142857142857,0.2152695999999991,2.748851224257468,3.149090656244588,2.748851224257468,available_s
R0,SYN-OAK,os1,minus_concordance,0.5269747899159664,0.7772941763193242,,,,0.2152695999999991,,,,,exact immutable R3 result,0.0150943396226415,0.08,0.2152695999999991,3.343051960538943,3.628297012023245,3.343051960538943,available_s
R0,SYN-OAK,os2,B0,0.999404761904762,0.9998154820685992,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0037735849056603,1.0,0.2332641999999936,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os2,M1,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0113207547169811,1.0,0.2332641999999936,4.555510946591642,4.804958050883534,4.555510946591642,available_s
R0,SYN-OAK,os2,mean_fusion,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0150943396226415,1.0,0.2332641999999936,3.0117325337969416,3.6997625306988815,3.0117325337969416,available_s
R0,SYN-OAK,os2,max_fusion,0.9877450980392156,0.9929078014184396,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0,1.0,0.2332641999999936,4.973757951997409,4.976733742420574,4.973757951997409,available_s
R0,SYN-OAK,os2,fisher_fusion,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0150943396226415,1.0,0.2332641999999936,12.046930135187766,14.79905012279553,12.046930135187766,available_s
R0,SYN-OAK,os2,P0_median,0.999404761904762,0.9998154820685992,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0037735849056603,1.0,0.2332641999999936,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os2,P1_median,0.9951190476190476,0.9927898524060266,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0490566037735849,1.0,0.2332641999999936,3.2170236393901592,3.2567807741038064,3.2170236393901592,available_s
R0,SYN-OAK,os2,P2_median,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0075471698113207,1.0,0.2332641999999936,3.2756382026275936,3.302527711566101,3.2756382026275936,available_s
R0,SYN-OAK,os2,P3_median,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0339622641509433,1.0,0.2332641999999936,3.271966808103284,3.29969227292343,3.271966808103284,available_s
R0,SYN-OAK,os2,Full,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0226415094339622,1.0,0.2332641999999936,4.433275344401849,7.618483183329536,4.433275344401849,available_s
R0,SYN-OAK,os2,minus_M1,0.9951470588235294,0.9936963149910606,,,,0.2332641999999936,,,,,exact immutable R3 result,0.030188679245283,1.0,0.2332641999999936,2.7949562540853834,2.8333648865460077,2.7949562540853834,available_s
R0,SYN-OAK,os2,minus_B0history,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0113207547169811,1.0,0.2332641999999936,2.748851224257468,3.149090656244588,2.748851224257468,available_s
R0,SYN-OAK,os2,minus_concordance,1.0,1.0,,,,0.2332641999999936,,,,,exact immutable R3 result,0.0150943396226415,1.0,0.2332641999999936,3.343051960538943,3.628297012023245,3.343051960538943,available_s
R0,SYN-OAK,os3,B0,0.8227591036414567,0.8757423059134445,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0037735849056603,0.4528571428571428,5.651622200000006,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os3,M1,1.0,1.0,,,,1.1516222000000056,,,,,exact immutable R3 result,0.0113207547169811,1.0,1.1516222000000056,4.555510946591642,4.804958050883534,4.555510946591642,available_s
R0,SYN-OAK,os3,mean_fusion,0.9907387955182072,0.996988218393114,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0150943396226415,0.9042857142857142,2.1516222000000056,3.0117325337969416,3.6997625306988815,3.0117325337969416,available_s
R0,SYN-OAK,os3,max_fusion,0.9485294117647058,0.970873786407767,,,,1.1516222000000056,,,,,exact immutable R3 result,0.0,1.0,1.1516222000000056,4.973757951997409,4.976733742420574,4.973757951997409,available_s
R0,SYN-OAK,os3,fisher_fusion,0.9907387955182072,0.996988218393114,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0150943396226415,0.9042857142857142,2.1516222000000056,12.046930135187766,14.79905012279553,12.046930135187766,available_s
R0,SYN-OAK,os3,P0_median,0.8227591036414567,0.8757423059134445,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0037735849056603,0.4528571428571428,5.651622200000006,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os3,P1_median,0.799607843137255,0.8671292614502834,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0490566037735849,0.5,18.15162219999999,3.2170236393901592,3.2567807741038064,3.2170236393901592,available_s
R0,SYN-OAK,os3,P2_median,0.9373179271708684,0.9300621153762536,,,,1.1516222000000056,,,,,exact immutable R3 result,0.0075471698113207,1.0,1.1516222000000056,3.2756382026275936,3.302527711566101,3.2756382026275936,available_s
R0,SYN-OAK,os3,P3_median,0.930343137254902,0.9264913398878086,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0339622641509433,1.0,0.6516222000000056,3.271966808103284,3.29969227292343,3.271966808103284,available_s
R0,SYN-OAK,os3,Full,0.9948809523809524,0.991177853978796,,,,0.6516222000000056,,,,,exact immutable R3 result,0.0226415094339622,1.0,0.6516222000000056,4.433275344401849,7.618483183329536,4.433275344401849,available_s
R0,SYN-OAK,os3,minus_M1,0.6466386554621849,0.7881338648603043,,,,1.1516222000000056,,,,,exact immutable R3 result,0.030188679245283,0.3985714285714286,7.151622200000006,2.7949562540853834,2.8333648865460077,2.7949562540853834,available_s
R0,SYN-OAK,os3,minus_B0history,0.9950980392156864,0.9912422333584076,,,,1.1516222000000056,,,,,exact immutable R3 result,0.0113207547169811,1.0,1.1516222000000056,2.748851224257468,3.149090656244588,2.748851224257468,available_s
R0,SYN-OAK,os3,minus_concordance,0.9950980392156864,0.9912422333584076,,,,1.1516222000000056,,,,,exact immutable R3 result,0.0150943396226415,1.0,1.1516222000000056,3.343051960538943,3.628297012023245,3.343051960538943,available_s
R0,SYN-OAK,os4,B0,1.0,1.0,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0037735849056603,1.0,0.6816489999999931,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os4,M1,1.0,1.0,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0113207547169811,1.0,0.6816489999999931,4.555510946591642,4.804958050883534,4.555510946591642,available_s
R0,SYN-OAK,os4,mean_fusion,1.0,1.0,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0150943396226415,1.0,0.6816489999999931,3.0117325337969416,3.6997625306988815,3.0117325337969416,available_s
R0,SYN-OAK,os4,max_fusion,0.9975490196078431,0.9985734664764622,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0,1.0,0.6816489999999931,4.973757951997409,4.976733742420574,4.973757951997409,available_s
R0,SYN-OAK,os4,fisher_fusion,1.0,1.0,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0150943396226415,1.0,0.6816489999999931,12.046930135187766,14.79905012279553,12.046930135187766,available_s
R0,SYN-OAK,os4,P0_median,1.0,1.0,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0037735849056603,1.0,0.6816489999999931,3.307344291200325,3.3665812998789963,3.307344291200325,available_s
R0,SYN-OAK,os4,P1_median,1.0,1.0,,,,0.181648999999993,,,,,exact immutable R3 result,0.0490566037735849,1.0,0.181648999999993,3.2170236393901592,3.2567807741038064,3.2170236393901592,available_s
R0,SYN-OAK,os4,P2_median,1.0,1.0,,,,0.6816489999999931,,,,,exact immutable R3 result,0.0075471698113207,1.0,0.6816489999999931,3.2756382026275936,3.302527711566101,3.2756382026275936,available_s
