dataset,scenario,channel,prn,time_s,dt_s,cadence,reason
TEXBAT,DS3,7,20,192.688292,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,8,13,35.25736908,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,8,13,35.27736904,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,9,20,18.5079638,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,9,20,18.52796384,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,9,20,124.84816412,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,9,5,133.77296956,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,9,7,174.66372904,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,9,7,174.683729,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,10,10,12.6680688,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,10,10,12.6880688,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,10,10,176.26800664,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,10,18,180.37468996,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,10,8,216.67367496,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,10,8,216.69367496,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,0,19,12.98557356,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,0,19,13.00557352,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,1,30,32.87261248,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,1,30,32.89261252,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,2,23,12.8986048,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,2,23,12.91860484,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,3,3,12.98156284,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,3,3,13.00156284,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,4,20,20.71128464,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,4,20,20.73128468,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,5,16,12.98522628,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,5,16,13.00522632,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,6,6,12.98464592,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,6,6,13.00464596,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,7,7,12.90724236,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,7,7,12.92724232,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,8,8,100.01715724,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,8,8,100.0371572,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,8,8,153.59708408,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,8,29,179.93146024,0.00099996,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,9,13,12.98071844,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,9,13,13.00071844,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,10,10,12.99139044,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS7,10,10,13.0113904,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,0,31,30.2166144,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,0,31,30.2366144,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,1,21,11.3264364,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,1,21,11.3464366,0.0200002,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,2,11,12.213746,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,2,11,12.233746,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,3,25,15.3949186,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,3,25,15.4149186,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,4,15,34.1156872,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,4,15,34.1356872,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,5,24,12.2035658,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,5,24,12.2235658,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,6,14,30.2082838,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,6,14,30.2282838,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,7,32,30.2027844,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,7,32,30.2227844,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,8,8,11.555787,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,8,8,11.575787,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,9,20,12.198947,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,9,20,12.218947,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,10,10,11.5404776,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,cleanStatic,10,10,11.5604776,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,0,18,30.2418482,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,0,18,30.2618484,0.0200002,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,1,21,11.3550562,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,1,21,11.3750562,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,2,11,30.2423402,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,2,11,30.2623402,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,3,15,12.2442638,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,3,15,12.2642638,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,3,15,138.2445096,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,3,15,138.2645096,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,4,12,30.242207,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,4,12,30.262207,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,4,12,138.2420372,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,4,12,138.2620372,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,5,14,11.4969292,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,5,14,11.5169292,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,5,14,138.2367582,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,5,14,138.2567582,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,6,31,30.2452342,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,6,31,30.265234,0.0199998,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,6,31,137.364966,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,6,31,137.384966,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,7,20,12.2275666,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,7,20,12.2475666,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,8,8,11.5844066,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,8,8,11.6044066,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,8,8,136.3044912,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,8,8,136.3244912,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,9,32,30.231404,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,9,32,30.251404,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,10,10,11.5690972,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS1,10,10,11.5890972,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,0,24,30.232193,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,0,24,30.252193,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,1,15,30.2442818,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,1,15,30.264282,0.0200002,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,2,11,36.2423144,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,2,11,36.2623144,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,3,14,30.2368862,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,3,14,30.2568862,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,4,18,30.2418308,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,4,18,30.261831,0.0200002,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,5,25,30.2434934,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,5,25,30.2634934,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,6,27,30.2436618,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,6,27,30.2636618,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,7,21,11.3550388,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,7,21,11.3750388,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,8,8,11.5843892,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,8,8,11.6043892,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,9,20,12.2275492,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,9,20,12.2475492,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,10,10,11.56908,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS3,10,10,11.5890798,0.0199998,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,0,21,30.235099,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,0,21,30.2550992,0.0200002,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,1,20,12.227576,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,1,20,12.247576,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,2,11,30.2423496,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,2,11,30.2623496,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,3,31,30.2452434,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,3,31,30.2652434,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,4,15,12.2442732,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,4,15,12.2642732,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,5,18,30.2418576,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,5,18,30.2618576,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,6,12,30.2422164,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,6,12,30.2622162,0.0199998,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,7,24,12.2321948,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,7,24,12.252195,0.0200002,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,8,8,30.2444282,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,8,8,30.2644282,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,9,14,30.2369128,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,9,14,30.2569128,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,10,10,11.5691066,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
OAKBAT,OS4,10,10,11.5891066,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
