channel,cur_to_next_samples,next_sample_count,prev_to_cur_samples,previous_sample_count,prn,role,sample_count,tracker_row
epl_tracking_ch_5,25000,1516044,25000,1466044,6,train,1491044,19
epl_tracking_ch_6,25000,1531439,25000,1481439,7,train,1506439,20
epl_tracking_ch_2,25000,1539232,25000,1489232,3,train,1514232,20
epl_tracking_ch_5,25000,1541044,25000,1491044,6,train,1516044,20
epl_tracking_ch_6,25000,1556439,25000,1506439,7,train,1531439,21
epl_tracking_ch_2,25000,1564232,25000,1514232,3,train,1539232,21
epl_tracking_ch_5,25000,1566044,25000,1516044,6,train,1541044,21
epl_tracking_ch_6,25000,1581439,25000,1531439,7,train,1556439,22
epl_tracking_ch_2,25000,1589232,25000,1539232,3,train,1564232,22
epl_tracking_ch_5,25000,1591044,25000,1541044,6,train,1566044,22
epl_tracking_ch_6,25000,1606439,25000,1556439,7,train,1581439,23
epl_tracking_ch_2,25000,1614232,25000,1564232,3,train,1589232,23
epl_tracking_ch_5,25000,1616044,25000,1566044,6,train,1591044,23
epl_tracking_ch_6,25000,1631439,25000,1581439,7,train,1606439,24
epl_tracking_ch_2,25000,1639232,25000,1589232,3,train,1614232,24
epl_tracking_ch_5,25000,1641044,25000,1591044,6,train,1616044,24
epl_tracking_ch_6,24999,1656438,25000,1606439,7,train,1631439,25
epl_tracking_ch_2,25000,1664232,25000,1614232,3,train,1639232,25
epl_tracking_ch_5,25000,1666044,25000,1616044,6,train,1641044,25
epl_tracking_ch_6,25000,1681438,24999,1631439,7,train,1656438,26
epl_tracking_ch_2,25000,1689232,25000,1639232,3,train,1664232,26
epl_tracking_ch_5,25000,1691044,25000,1641044,6,train,1666044,26
epl_tracking_ch_6,25000,1706438,25000,1656438,7,train,1681438,27
epl_tracking_ch_2,25000,1714232,25000,1664232,3,train,1689232,27
epl_tracking_ch_5,25000,1716044,25000,1666044,6,train,1691044,27
epl_tracking_ch_6,25000,1731438,25000,1681438,7,train,1706438,28
epl_tracking_ch_2,25000,1739232,25000,1689232,3,train,1714232,28
epl_tracking_ch_5,25000,1741044,25000,1691044,6,train,1716044,28
epl_tracking_ch_6,25000,1756438,25000,1706438,7,train,1731438,29
epl_tracking_ch_2,25000,1764232,25000,1714232,3,train,1739232,29
epl_tracking_ch_5,25000,1766044,25000,1716044,6,train,1741044,29
epl_tracking_ch_6,25000,1781438,25000,1731438,7,train,1756438,30
epl_tracking_ch_2,25000,1789232,25000,1739232,3,train,1764232,30
epl_tracking_ch_5,25000,1791044,25000,1741044,6,train,1766044,30
epl_tracking_ch_6,25000,1806438,25000,1756438,7,train,1781438,31
epl_tracking_ch_2,25000,1814232,25000,1764232,3,train,1789232,31
epl_tracking_ch_5,25000,1816044,25000,1766044,6,train,1791044,31
epl_tracking_ch_6,25000,1831438,25000,1781438,7,train,1806438,32
epl_tracking_ch_2,25000,1839232,25000,1789232,3,train,1814232,32
epl_tracking_ch_5,25000,1841044,25000,1791044,6,train,1816044,32
epl_tracking_ch_6,25000,1856438,25000,1806438,7,train,1831438,33
epl_tracking_ch_2,25000,1864232,25000,1814232,3,train,1839232,33
epl_tracking_ch_5,25000,1866044,25000,1816044,6,train,1841044,33
epl_tracking_ch_6,25000,1881438,25000,1831438,7,train,1856438,34
epl_tracking_ch_2,25000,1889232,25000,1839232,3,train,1864232,34
epl_tracking_ch_5,25000,1891044,25000,1841044,6,train,1866044,34
epl_tracking_ch_6,25000,1906438,25000,1856438,7,train,1881438,35
epl_tracking_ch_2,25000,1914232,25000,1864232,3,train,1889232,35
epl_tracking_ch_5,25000,1916044,25000,1866044,6,train,1891044,35
epl_tracking_ch_6,25000,1931438,25000,1881438,7,train,1906438,36
epl_tracking_ch_2,25000,1939232,25000,1889232,3,train,1914232,36
epl_tracking_ch_5,25000,1941044,25000,1891044,6,train,1916044,36
epl_tracking_ch_6,25000,1956438,25000,1906438,7,train,1931438,37
epl_tracking_ch_2,25000,1964232,25000,1914232,3,train,1939232,37
epl_tracking_ch_5,25000,1966044,25000,1916044,6,train,1941044,37
epl_tracking_ch_6,25000,1981438,25000,1931438,7,train,1956438,38
epl_tracking_ch_2,25000,1989232,25000,1939232,3,train,1964232,38
epl_tracking_ch_5,25000,1991044,25000,1941044,6,train,1966044,38
epl_tracking_ch_6,25000,2006438,25000,1956438,7,train,1981438,39
epl_tracking_ch_2,25000,2014232,25000,1964232,3,train,1989232,39
epl_tracking_ch_5,25000,2016044,25000,1966044,6,train,1991044,39
epl_tracking_ch_6,25000,2031438,25000,1981438,7,train,2006438,40
epl_tracking_ch_2,25000,2039232,25000,1989232,3,train,2014232,40
epl_tracking_ch_5,25000,2041044,25000,1991044,6,train,2016044,40
epl_tracking_ch_6,25000,2056438,25000,2006438,7,train,2031438,41
epl_tracking_ch_2,25000,2064232,25000,2014232,3,train,2039232,41
epl_tracking_ch_5,25000,2066044,25000,2016044,6,train,2041044,41
epl_tracking_ch_6,25000,2081438,25000,2031438,7,train,2056438,42
epl_tracking_ch_2,25000,2089232,25000,2039232,3,train,2064232,42
epl_tracking_ch_5,25000,2091044,25000,2041044,6,train,2066044,42
epl_tracking_ch_6,25000,2106438,25000,2056438,7,train,2081438,43
epl_tracking_ch_2,25000,2114232,25000,2064232,3,train,2089232,43
epl_tracking_ch_5,25000,2116044,25000,2066044,6,train,2091044,43
epl_tracking_ch_7,25000,2118341,25000,2068341,13,train,2093341,1
epl_tracking_ch_6,25000,2131438,25000,2081438,7,train,2106438,44
epl_tracking_ch_2,25000,2139232,25000,2089232,3,train,2114232,44
epl_tracking_ch_1,25000,2139878,25000,2089878,19,train,2114878,1
epl_tracking_ch_5,25000,2141044,25000,2091044,6,train,2116044,44
epl_tracking_ch_7,25000,2143341,25000,2093341,13,train,2118341,2
epl_tracking_ch_4,25000,2155083,25000,2105083,16,train,2130083,1
epl_tracking_ch_6,25000,2156438,25000,2106438,7,train,2131438,45
epl_tracking_ch_2,25000,2164232,25000,2114232,3,train,2139232,45
epl_tracking_ch_1,25000,2164878,25000,2114878,19,train,2139878,2
epl_tracking_ch_5,25000,2166044,25000,2116044,6,train,2141044,45
epl_tracking_ch_7,25000,2168341,25000,2118341,13,train,2143341,3
epl_tracking_ch_4,25000,2180083,25000,2130083,16,train,2155083,2
epl_tracking_ch_6,25000,2181438,25000,2131438,7,train,2156438,46
epl_tracking_ch_2,25000,2189232,25000,2139232,3,train,2164232,46
epl_tracking_ch_1,25000,2189878,25000,2139878,19,train,2164878,3
epl_tracking_ch_5,25000,2191044,25000,2141044,6,train,2166044,46
epl_tracking_ch_7,25000,2193341,25000,2143341,13,train,2168341,4
epl_tracking_ch_4,25000,2205083,25000,2155083,16,train,2180083,3
epl_tracking_ch_6,25000,2206438,25000,2156438,7,train,2181438,47
epl_tracking_ch_2,25000,2214232,25000,2164232,3,train,2189232,47
epl_tracking_ch_1,25000,2214878,25000,2164878,19,train,2189878,4
epl_tracking_ch_5,25000,2216044,25000,2166044,6,train,2191044,47
epl_tracking_ch_7,25000,2218341,25000,2168341,13,train,2193341,5
epl_tracking_ch_4,25000,2230083,25000,2180083,16,train,2205083,4
epl_tracking_ch_6,25000,2231438,25000,2181438,7,train,2206438,48
epl_tracking_ch_2,25000,2239232,25000,2189232,3,train,2214232,48
epl_tracking_ch_1,25000,2239878,25000,2189878,19,train,2214878,5
epl_tracking_ch_5,25000,2241044,25000,2191044,6,train,2216044,48
epl_tracking_ch_7,25000,2243341,25000,2193341,13,train,2218341,6
epl_tracking_ch_4,25000,2255083,25000,2205083,16,train,2230083,5
epl_tracking_ch_6,25000,2256438,25000,2206438,7,train,2231438,49
epl_tracking_ch_2,24999,2264231,25000,2214232,3,train,2239232,49
epl_tracking_ch_1,25000,2264878,25000,2214878,19,train,2239878,6
epl_tracking_ch_5,25000,2266044,25000,2216044,6,train,2241044,49
epl_tracking_ch_7,25000,2268341,25000,2218341,13,train,2243341,7
epl_tracking_ch_4,25000,2280083,25000,2230083,16,train,2255083,6
epl_tracking_ch_6,25000,2281438,25000,2231438,7,train,2256438,50
epl_tracking_ch_2,25000,2289231,24999,2239232,3,train,2264231,50
epl_tracking_ch_1,25000,2289878,25000,2239878,19,train,2264878,7
epl_tracking_ch_5,25000,2291044,25000,2241044,6,train,2266044,50
epl_tracking_ch_7,25000,2293341,25000,2243341,13,train,2268341,8
epl_tracking_ch_4,25000,2305083,25000,2255083,16,train,2280083,7
epl_tracking_ch_1,25000,2314878,25000,2264878,19,train,2289878,8
epl_tracking_ch_7,25000,2318341,25000,2268341,13,train,2293341,9
epl_tracking_ch_4,25000,2330083,25000,2280083,16,train,2305083,8
epl_tracking_ch_1,25000,2339878,25000,2289878,19,train,2314878,9
epl_tracking_ch_7,25000,2343341,25000,2293341,13,train,2318341,10
epl_tracking_ch_4,25000,2355083,25000,2305083,16,train,2330083,9
epl_tracking_ch_1,25000,2364878,25000,2314878,19,train,2339878,10
epl_tracking_ch_7,25000,2368341,25000,2318341,13,train,2343341,11
epl_tracking_ch_4,25000,2380083,25000,2330083,16,train,2355083,10
epl_tracking_ch_1,25000,2389878,25000,2339878,19,train,2364878,11
epl_tracking_ch_7,25000,2393341,25000,2343341,13,train,2368341,12
epl_tracking_ch_4,25000,2405083,25000,2355083,16,train,2380083,11
epl_tracking_ch_1,25000,2414878,25000,2364878,19,train,2389878,12
epl_tracking_ch_7,25000,2418341,25000,2368341,13,train,2393341,13
epl_tracking_ch_4,25000,2430083,25000,2380083,16,train,2405083,12
epl_tracking_ch_1,25000,2439878,25000,2389878,19,train,2414878,13
epl_tracking_ch_7,25000,2443341,25000,2393341,13,train,2418341,14
epl_tracking_ch_4,25000,2455083,25000,2405083,16,train,2430083,13
epl_tracking_ch_1,25000,2464878,25000,2414878,19,train,2439878,14
epl_tracking_ch_7,25000,2468341,25000,2418341,13,train,2443341,15
epl_tracking_ch_4,25000,2480083,25000,2430083,16,train,2455083,14
epl_tracking_ch_1,25000,2489878,25000,2439878,19,train,2464878,15
epl_tracking_ch_7,25000,2493341,25000,2443341,13,train,2468341,16
epl_tracking_ch_4,25000,2505083,25000,2455083,16,train,2480083,15
epl_tracking_ch_1,25000,2514878,25000,2464878,19,train,2489878,16
epl_tracking_ch_7,25000,2518341,25000,2468341,13,train,2493341,17
epl_tracking_ch_4,25000,2530083,25000,2480083,16,train,2505083,16
epl_tracking_ch_1,25000,2539878,25000,2489878,19,train,2514878,17
epl_tracking_ch_7,25000,2543341,25000,2493341,13,train,2518341,18
epl_tracking_ch_4,25000,2555083,25000,2505083,16,train,2530083,17
epl_tracking_ch_1,24999,2564877,25000,2514878,19,train,2539878,18
epl_tracking_ch_7,25000,2568341,25000,2518341,13,train,2543341,19
epl_tracking_ch_4,25001,2580084,25000,2530083,16,train,2555083,18
epl_tracking_ch_1,25000,2589877,24999,2539878,19,train,2564877,19
epl_tracking_ch_7,25000,2593341,25000,2543341,13,train,2568341,20
epl_tracking_ch_4,25000,2605084,25001,2555083,16,train,2580084,19
epl_tracking_ch_1,25000,2614877,25000,2564877,19,train,2589877,20
epl_tracking_ch_7,25000,2618341,25000,2568341,13,train,2593341,21
epl_tracking_ch_4,25000,2630084,25000,2580084,16,train,2605084,20
epl_tracking_ch_1,25000,2639877,25000,2589877,19,train,2614877,21
epl_tracking_ch_7,25000,2643341,25000,2593341,13,train,2618341,22
epl_tracking_ch_4,25000,2655084,25000,2605084,16,train,2630084,21
epl_tracking_ch_1,25000,2664877,25000,2614877,19,train,2639877,22
epl_tracking_ch_7,24999,2668340,25000,2618341,13,train,2643341,23
epl_tracking_ch_4,25000,2680084,25000,2630084,16,train,2655084,22
epl_tracking_ch_1,25000,2689877,25000,2639877,19,train,2664877,23
epl_tracking_ch_7,25000,2693340,24999,2643341,13,train,2668340,24
epl_tracking_ch_4,25000,2705084,25000,2655084,16,train,2680084,23
epl_tracking_ch_1,25000,2714877,25000,2664877,19,train,2689877,24
epl_tracking_ch_7,25000,2718340,25000,2668340,13,train,2693340,25
epl_tracking_ch_4,25000,2730084,25000,2680084,16,train,2705084,24
epl_tracking_ch_1,25000,2739877,25000,2689877,19,train,2714877,25
epl_tracking_ch_7,25000,2743340,25000,2693340,13,train,2718340,26
epl_tracking_ch_4,25000,2755084,25000,2705084,16,train,2730084,25
epl_tracking_ch_1,25000,2764877,25000,2714877,19,train,2739877,26
epl_tracking_ch_7,25000,2768340,25000,2718340,13,train,2743340,27
epl_tracking_ch_4,25000,2780084,25000,2730084,16,train,2755084,26
epl_tracking_ch_1,25000,2789877,25000,2739877,19,train,2764877,27
epl_tracking_ch_7,25000,2793340,25000,2743340,13,train,2768340,28
epl_tracking_ch_4,25000,2805084,25000,2755084,16,train,2780084,27
epl_tracking_ch_1,25000,2814877,25000,2764877,19,train,2789877,28
epl_tracking_ch_7,25000,2818340,25000,2768340,13,train,2793340,29
epl_tracking_ch_4,25000,2830084,25000,2780084,16,train,2805084,28
epl_tracking_ch_1,25000,2839877,25000,2789877,19,train,2814877,29
epl_tracking_ch_7,25000,2843340,25000,2793340,13,train,2818340,30
epl_tracking_ch_4,25000,2855084,25000,2805084,16,train,2830084,29
epl_tracking_ch_1,25000,2864877,25000,2814877,19,train,2839877,30
epl_tracking_ch_7,25000,2868340,25000,2818340,13,train,2843340,31
epl_tracking_ch_4,25000,2880084,25000,2830084,16,train,2855084,30
epl_tracking_ch_1,25000,2889877,25000,2839877,19,train,2864877,31
epl_tracking_ch_7,25000,2893340,25000,2843340,13,train,2868340,32
epl_tracking_ch_4,25000,2905084,25000,2855084,16,train,2880084,31
epl_tracking_ch_1,25000,2914877,25000,2864877,19,train,2889877,32
epl_tracking_ch_7,25000,2918340,25000,2868340,13,train,2893340,33
epl_tracking_ch_4,25000,2930084,25000,2880084,16,train,2905084,32
epl_tracking_ch_1,25000,2939877,25000,2889877,19,train,2914877,33
epl_tracking_ch_7,25000,2943340,25000,2893340,13,train,2918340,34
epl_tracking_ch_4,25000,2955084,25000,2905084,16,train,2930084,33
epl_tracking_ch_1,25000,2964877,25000,2914877,19,train,2939877,34
epl_tracking_ch_7,25000,2968340,25000,2918340,13,train,2943340,35
epl_tracking_ch_4,25000,2980084,25000,2930084,16,train,2955084,34
epl_tracking_ch_1,25000,2989877,25000,2939877,19,train,2964877,35
epl_tracking_ch_7,25000,2993340,25000,2943340,13,train,2968340,36
epl_tracking_ch_4,25000,3005084,25000,2955084,16,train,2980084,35
epl_tracking_ch_1,25000,3014877,25000,2964877,19,train,2989877,36
epl_tracking_ch_7,25000,3018340,25000,2968340,13,train,2993340,37
epl_tracking_ch_4,25000,3030084,25000,2980084,16,train,3005084,36
epl_tracking_ch_1,24999,3039876,25000,2989877,19,train,3014877,37
epl_tracking_ch_7,25000,3043340,25000,2993340,13,train,3018340,38
epl_tracking_ch_4,25000,3055084,25000,3005084,16,train,3030084,37
epl_tracking_ch_1,25000,3064876,24999,3014877,19,train,3039876,38
epl_tracking_ch_7,25000,3068340,25000,3018340,13,train,3043340,39
epl_tracking_ch_4,25000,3080084,25000,3030084,16,train,3055084,38
epl_tracking_ch_1,25000,3089876,25000,3039876,19,train,3064876,39
epl_tracking_ch_7,25000,3093340,25000,3043340,13,train,3068340,40
epl_tracking_ch_4,25001,3105085,25000,3055084,16,train,3080084,39
epl_tracking_ch_1,25000,3114876,25000,3064876,19,train,3089876,40
epl_tracking_ch_7,25000,3118340,25000,3068340,13,train,3093340,41
epl_tracking_ch_4,25000,3130085,25001,3080084,16,train,3105085,40
epl_tracking_ch_1,25000,3139876,25000,3089876,19,train,3114876,41
epl_tracking_ch_8,25000,3140036,25000,3090036,23,train,3115036,1
epl_tracking_ch_7,25000,3143340,25000,3093340,13,train,3118340,42
epl_tracking_ch_4,25000,3155085,25000,3105085,16,train,3130085,41
epl_tracking_ch_1,25000,3164876,25000,3114876,19,train,3139876,42
epl_tracking_ch_8,25000,3165036,25000,3115036,23,train,3140036,2
epl_tracking_ch_7,25000,3168340,25000,3118340,13,train,3143340,43
epl_tracking_ch_4,25000,3180085,25000,3130085,16,train,3155085,42
epl_tracking_ch_1,25000,3189876,25000,3139876,19,train,3164876,43
epl_tracking_ch_8,25000,3190036,25000,3140036,23,train,3165036,3
epl_tracking_ch_7,25000,3193340,25000,3143340,13,train,3168340,44
epl_tracking_ch_4,25000,3205085,25000,3155085,16,train,3180085,43
epl_tracking_ch_1,25000,3214876,25000,3164876,19,train,3189876,44
epl_tracking_ch_8,25000,3215036,25000,3165036,23,train,3190036,4
epl_tracking_ch_7,25000,3218340,25000,3168340,13,train,3193340,45
epl_tracking_ch_4,25000,3230085,25000,3180085,16,train,3205085,44
epl_tracking_ch_1,25000,3239876,25000,3189876,19,train,3214876,45
epl_tracking_ch_8,25000,3240036,25000,3190036,23,train,3215036,5
epl_tracking_ch_7,25000,3243340,25000,3193340,13,train,3218340,46
epl_tracking_ch_4,25000,3255085,25000,3205085,16,train,3230085,45
epl_tracking_ch_1,25000,3264876,25000,3214876,19,train,3239876,46
epl_tracking_ch_8,25000,3265036,25000,3215036,23,train,3240036,6
epl_tracking_ch_7,25000,3268340,25000,3218340,13,train,3243340,47
epl_tracking_ch_4,25000,3280085,25000,3230085,16,train,3255085,46
epl_tracking_ch_1,25000,3289876,25000,3239876,19,train,3264876,47
epl_tracking_ch_8,25000,3290036,25000,3240036,23,train,3265036,7
epl_tracking_ch_7,24999,3293339,25000,3243340,13,train,3268340,48
epl_tracking_ch_4,25000,3305085,25000,3255085,16,train,3280085,47
epl_tracking_ch_1,25000,3314876,25000,3264876,19,train,3289876,48
epl_tracking_ch_8,25000,3315036,25000,3265036,23,train,3290036,8
epl_tracking_ch_7,25000,3318339,24999,3268340,13,train,3293339,49
epl_tracking_ch_4,25000,3330085,25000,3280085,16,train,3305085,48
epl_tracking_ch_1,25000,3339876,25000,3289876,19,train,3314876,49
epl_tracking_ch_8,25000,3340036,25000,3290036,23,train,3315036,9
epl_tracking_ch_7,25000,3343339,25000,3293339,13,train,3318339,50
epl_tracking_ch_4,25000,3355085,25000,3305085,16,train,3330085,49
epl_tracking_ch_1,25000,3364876,25000,3314876,19,train,3339876,50
epl_tracking_ch_8,25000,3365036,25000,3315036,23,train,3340036,10
epl_tracking_ch_4,25000,3380085,25000,3330085,16,train,3355085,50
epl_tracking_ch_8,25000,3390036,25000,3340036,23,train,3365036,11
epl_tracking_ch_8,25000,3415036,25000,3365036,23,train,3390036,12
epl_tracking_ch_8,25000,3440036,25000,3390036,23,train,3415036,13
epl_tracking_ch_8,25000,3465036,25000,3415036,23,train,3440036,14
epl_tracking_ch_8,25000,3490036,25000,3440036,23,train,3465036,15
epl_tracking_ch_8,25000,3515036,25000,3465036,23,train,3490036,16
epl_tracking_ch_8,25000,3540036,25000,3490036,23,train,3515036,17
epl_tracking_ch_8,25000,3565036,25000,3515036,23,train,3540036,18
epl_tracking_ch_8,25000,3590036,25000,3540036,23,train,3565036,19
epl_tracking_ch_8,25000,3615036,25000,3565036,23,train,3590036,20
epl_tracking_ch_8,25000,3640036,25000,3590036,23,train,3615036,21
epl_tracking_ch_8,25000,3665036,25000,3615036,23,train,3640036,22
epl_tracking_ch_8,25000,3690036,25000,3640036,23,train,3665036,23
epl_tracking_ch_8,25000,3715036,25000,3665036,23,train,3690036,24
epl_tracking_ch_8,25000,3740036,25000,3690036,23,train,3715036,25
epl_tracking_ch_8,25000,3765036,25000,3715036,23,train,3740036,26
epl_tracking_ch_8,25000,3790036,25000,3740036,23,train,3765036,27
epl_tracking_ch_8,25000,3815036,25000,3765036,23,train,3790036,28
epl_tracking_ch_8,25000,3840036,25000,3790036,23,train,3815036,29
epl_tracking_ch_8,25000,3865036,25000,3815036,23,train,3840036,30
epl_tracking_ch_8,25000,3890036,25000,3840036,23,train,3865036,31
epl_tracking_ch_8,25000,3915036,25000,3865036,23,train,3890036,32
epl_tracking_ch_8,25000,3940036,25000,3890036,23,train,3915036,33
epl_tracking_ch_8,25000,3965036,25000,3915036,23,train,3940036,34
epl_tracking_ch_8,25000,3990036,25000,3940036,23,train,3965036,35
epl_tracking_ch_8,25000,4015036,25000,3965036,23,train,3990036,36
epl_tracking_ch_8,25000,4040036,25000,3990036,23,train,4015036,37
epl_tracking_ch_8,25000,4065036,25000,4015036,23,train,4040036,38
epl_tracking_ch_8,25000,4090036,25000,4040036,23,train,4065036,39
epl_tracking_ch_8,25000,4115036,25000,4065036,23,train,4090036,40
epl_tracking_ch_8,25000,4140036,25000,4090036,23,train,4115036,41
epl_tracking_ch_8,25000,4165036,25000,4115036,23,train,4140036,42
epl_tracking_ch_8,25000,4190036,25000,4140036,23,train,4165036,43
epl_tracking_ch_8,25000,4215036,25000,4165036,23,train,4190036,44
epl_tracking_ch_8,25000,4240036,25000,4190036,23,train,4215036,45
epl_tracking_ch_8,25000,4265036,25000,4215036,23,train,4240036,46
epl_tracking_ch_8,25000,4290036,25000,4240036,23,train,4265036,47
epl_tracking_ch_8,25000,4315036,25000,4265036,23,train,4290036,48
epl_tracking_ch_8,25000,4340036,25000,4290036,23,train,4315036,49
epl_tracking_ch_8,25000,4365036,25000,4315036,23,train,4340036,50
epl_tracking_ch_9,25000,19559887,25000,19509887,10,train,19534887,1
epl_tracking_ch_9,25000,19584887,25000,19534887,10,train,19559887,2
epl_tracking_ch_9,25000,19609887,25000,19559887,10,train,19584887,3
epl_tracking_ch_9,25000,19634887,25000,19584887,10,train,19609887,4
epl_tracking_ch_9,25000,19659887,25000,19609887,10,train,19634887,5
epl_tracking_ch_9,25000,19684887,25000,19634887,10,train,19659887,6
epl_tracking_ch_9,25000,19709887,25000,19659887,10,train,19684887,7
epl_tracking_ch_9,25000,19734887,25000,19684887,10,train,19709887,8
epl_tracking_ch_9,25000,19759887,25000,19709887,10,train,19734887,9
epl_tracking_ch_9,25000,19784887,25000,19734887,10,train,19759887,10
epl_tracking_ch_9,25000,19809887,25000,19759887,10,train,19784887,11
epl_tracking_ch_9,25000,19834887,25000,19784887,10,train,19809887,12
epl_tracking_ch_9,25000,19859887,25000,19809887,10,train,19834887,13
epl_tracking_ch_9,25000,19884887,25000,19834887,10,train,19859887,14
epl_tracking_ch_9,25000,19909887,25000,19859887,10,train,19884887,15
epl_tracking_ch_9,25000,19934887,25000,19884887,10,train,19909887,16
epl_tracking_ch_9,25000,19959887,25000,19909887,10,train,19934887,17
epl_tracking_ch_9,25000,19984887,25000,19934887,10,train,19959887,18
epl_tracking_ch_9,25000,20009887,25000,19959887,10,train,19984887,19
epl_tracking_ch_9,25000,20034887,25000,19984887,10,train,20009887,20
epl_tracking_ch_9,25000,20059887,25000,20009887,10,train,20034887,21
epl_tracking_ch_9,25000,20084887,25000,20034887,10,train,20059887,22
epl_tracking_ch_9,25000,20109887,25000,20059887,10,train,20084887,23
epl_tracking_ch_9,25000,20134887,25000,20084887,10,train,20109887,24
epl_tracking_ch_9,25000,20159887,25000,20109887,10,train,20134887,25
epl_tracking_ch_9,25000,20184887,25000,20134887,10,train,20159887,26
epl_tracking_ch_9,25000,20209887,25000,20159887,10,train,20184887,27
epl_tracking_ch_9,25000,20234887,25000,20184887,10,train,20209887,28
epl_tracking_ch_9,25000,20259887,25000,20209887,10,train,20234887,29
epl_tracking_ch_9,25000,20284887,25000,20234887,10,train,20259887,30
epl_tracking_ch_9,25000,20309887,25000,20259887,10,train,20284887,31
epl_tracking_ch_9,25000,20334887,25000,20284887,10,train,20309887,32
epl_tracking_ch_9,25000,20359887,25000,20309887,10,train,20334887,33
epl_tracking_ch_9,25000,20384887,25000,20334887,10,train,20359887,34
epl_tracking_ch_9,25000,20409887,25000,20359887,10,train,20384887,35
