scenario,channel,prn,rows,row_delta_min,row_delta_median,row_delta_max,row_delta_in_range_ratio,l20_window_count,l20_sample_coverage_s,cn0_ok_ratio,lock_ok_ratio,dat_rows_match,dat_rows,dat_row_bytes,dominant_l20_prn,dominant_l20_fraction,bin_sample_window_count
cleanStatic,6,7,36230,24999,499999.0,500000,0.3551574705346546,5629,112.58,0.9994479712945074,0.9404637041126138,True,36230,148,7,1.0,5629
cleanStatic,7,13,36258,24999,499999.0,500000,0.35573820227818076,5668,113.36,0.9994483975950135,0.938854873407248,True,36258,148,13,1.0,5668
cleanStatic,8,23,36139,25000,500000.0,500001,0.3535060047595329,11161,223.22,0.9994465812557072,0.9554774620216386,True,36139,148,23,1.0,11161
cleanStatic,9,10,35570,24999,500000.0,500000,0.34330456296212997,9799,195.98000000000002,0.9994377284228282,0.6566207478211976,True,35570,148,10,1.0,9799
ds3,0,16,54874,25000,25000.0,1125002,0.6136533449966286,5211,104.22,0.9992710573313409,0.7911214782957321,True,54874,148,16,1.0,5211
ds3,1,9,15962,24999,25000.0,25001,1.0,5519,110.38,0.6107630622728981,0.001252975817566721,True,61001,148,9,1.0,5519
ds3,1,30,45039,25000,25000.0,1007302138,0.5694524623651139,204,4.08,0.9991118808144053,0.6409334132640601,True,61001,148,30,1.0,204
ds3,10,1,15962,24999,25000.0,25001,1.0,9652,193.04,0.6089462473374264,0.001252975817566721,True,74140,148,1,1.0,9652
ds3,10,4,15960,24999,25000.0,25001,1.0,2054,41.08,0.5903508771929824,0.0012531328320802004,True,74140,148,4,1.0,2054
ds3,10,8,17046,24999,25000.0,500000,0.7064241713112349,4163,83.26,0.9988267042121319,0.2713833157338965,True,74140,148,8,1.0,4163
ds3,10,10,25172,24999,499999.0,500000,0.48528068014778913,10411,208.22,0.9992054663912283,0.8742253297314476,True,74140,148,10,1.0,10411
ds3,2,3,34875,24999,500000.0,500000,0.361788151631588,9635,192.70000000000002,0.999426523297491,0.9552114695340502,True,34875,148,3,1.0,9635
ds3,3,19,53565,24999,25000.0,1124999,0.6029236054066164,6733,134.66,0.9992532437225801,0.7596378232054514,True,53565,148,19,1.0,6733
ds3,4,23,34790,25000,500000.0,500001,0.360228807956538,10937,218.74,0.9994251221615407,0.9527737855705662,True,34790,148,23,1.0,10937
ds3,5,6,46316,25000,25000.0,139650054,0.5387887293533412,20701,414.02,0.9991363675619657,0.9382502806805424,True,46316,148,6,1.0,20701
ds3,6,7,18233,24999,25000.0,500000,0.6922444054409829,5517,110.34,0.998903087807821,0.8557560467284594,True,73923,148,7,1.0,5517
ds3,6,20,26667,25000,25001.0,500001,0.5028875721893047,1458,29.16,0.9992500093748828,0.561817977275284,True,73923,148,20,1.0,1458
ds3,6,24,15961,25000,25000.0,25001,1.0,0,0.0,0.628907963160203,0.0012530543199047678,True,73923,148,24,0.0,0
ds3,6,32,13062,25000,25000.0,500002,0.9139422708827808,960,19.2,0.9984688409125708,0.7387842596845813,True,73923,148,32,1.0,960
ds3,7,13,56286,24999,25000.0,1225000,0.6246246779781469,15589,311.78000000000003,0.9992893437089152,0.8514550687559962,True,56286,148,13,1.0,15589
ds3,8,5,15960,24999,25000.0,25001,1.0,169,3.38,0.6255012531328321,0.0015664160401002505,True,63266,148,5,1.0,169
ds3,8,7,27193,24999,499999.0,500000,0.4794057075610474,5684,113.68,0.9992645166035377,0.8088846394292649,True,63266,148,7,1.0,5684
ds3,8,20,20113,25000,25000.0,500002,0.7356304693715194,1555,31.1,0.9990056182568489,0.8833093024412072,True,63266,148,20,1.0,1555
ds3,9,8,26794,24999,25000.0,500000,0.5500317247042138,5462,109.24000000000001,0.9992535642307979,0.15705008584011346,True,63563,148,8,1.0,5462
ds3,9,10,20808,24999,25000.0,500000,0.6068630749267073,10134,202.68,0.999038831218762,0.8533737024221453,True,63563,148,10,1.0,10134
ds3,9,18,15961,25000,25000.0,25001,1.0,0,0.0,0.6260885909404172,0.0012530543199047678,True,63563,148,18,0.0,0
ds4,0,23,17764,25000,25000.0,500001,0.673253391882002,10439,208.78,0.9988741274487728,0.9175298356226075,True,17764,112,23,1.0,10439
ds4,1,13,17808,24999,25000.0,500000,0.6741169203122368,5298,105.96000000000001,0.9988769092542678,0.8841531895777179,True,17808,112,13,1.0,5298
ds4,10,19,17773,24999,25000.0,500000,0.6734751294170606,2455,49.1,0.9988746975749733,0.898779046868846,True,17773,112,19,1.0,2455
ds4,2,3,17851,24999,25000.0,500000,0.6748459383753501,9178,183.56,0.998879614587418,0.9214609825780068,True,17851,112,3,1.0,9178
ds4,3,30,16986,25000,25000.0,500002,0.6583455990579924,85,1.7,0.9988225597550924,0.8734840456846815,True,16986,112,30,1.0,85
ds4,4,16,17813,25000,25000.0,500001,0.6742083988322479,1864,37.28,0.9988772244989614,0.9997193061247404,True,17813,112,16,1.0,1864
ds4,5,6,17854,25000,25000.0,500001,0.6749565899288635,10189,203.78,0.9988798028453008,0.9390612747843621,True,17854,112,6,1.0,10189
ds4,6,7,17857,24999,25000.0,500000,0.6750112007168458,5266,105.32000000000001,0.9988799910399283,0.8764630117040937,True,17857,112,7,1.0,5266
ds4,7,20,20355,25000,25000.0,500002,0.7292424093544266,1557,31.14,0.9990174404323262,0.8191599115696389,True,20355,112,20,1.0,1557
ds4,8,8,15900,24999,25000.0,500000,0.889804390213221,4941,98.82000000000001,0.9987421383647799,0.5871698113207547,True,37012,112,8,1.0,4941
ds4,8,11,5151,25000,25000.0,25001,1.0,0,0.0,0.5779460298971073,0.0077654824305960005,True,37012,112,11,0.0,0
ds4,8,18,15961,24999,25000.0,25001,1.0,2745,54.9,0.6087964413257315,0.0012530543199047678,True,37012,112,18,1.0,2745
ds4,9,10,17859,24999,25000.0,500000,0.6750475977153096,9700,194.0,0.9988801164678873,0.6304944285794277,True,17859,112,10,1.0,9700
ds4,0,23,17764,25000,25000.0,500001,0.673253391882002,10439,208.78,0.9988741274487728,0.9175298356226075,False,,,23,1.0,10439
ds4,1,13,17808,24999,25000.0,500000,0.6741169203122368,5298,105.96000000000001,0.9988769092542678,0.8841531895777179,False,,,13,1.0,5298
ds4,10,10,17859,24999,25000.0,500000,0.6750475977153096,9700,194.0,0.9988801164678873,0.6304944285794277,False,,,10,1.0,9700
ds4,2,19,17773,24999,25000.0,500000,0.6734751294170606,2455,49.1,0.9988746975749733,0.898779046868846,False,,,19,1.0,2455
ds4,3,3,17851,24999,25000.0,500000,0.6748459383753501,9178,183.56,0.998879614587418,0.9214609825780068,False,,,3,1.0,9178
ds4,4,30,16986,25000,25000.0,500002,0.6583455990579924,85,1.7,0.9988225597550924,0.8734840456846815,False,,,30,1.0,85
ds4,5,16,17813,25000,25000.0,500001,0.6742083988322479,1864,37.28,0.9988772244989614,0.9997193061247404,False,,,16,1.0,1864
ds4,6,6,17854,25000,25000.0,500001,0.6749565899288635,10189,203.78,0.9988798028453008,0.9390612747843621,False,,,6,1.0,10189
ds4,7,7,17857,24999,25000.0,500000,0.6750112007168458,5266,105.32000000000001,0.9988799910399283,0.8764630117040937,False,,,7,1.0,5266
ds4,8,20,20355,25000,25000.0,500002,0.7292424093544266,1557,31.14,0.9990174404323262,0.8191599115696389,False,,,20,1.0,1557
ds4,9,8,15900,24999,25000.0,500000,0.889804390213221,4941,98.82000000000001,0.9987421383647799,0.5871698113207547,False,,,8,1.0,4941
ds4,9,11,5151,25000,25000.0,25001,1.0,0,0.0,0.5779460298971073,0.0077654824305960005,False,,,11,0.0,0
ds4,9,18,15961,24999,25000.0,25001,1.0,2745,54.9,0.6087964413257315,0.0012530543199047678,False,,,18,1.0,2745
ds7,0,19,25780,24999,25000.0,500000,0.5004848908025913,2644,52.88,0.9992242048099301,0.9380139643134212,True,25780,148,19,1.0,2644
ds7,1,30,39186,24999,25000.0,12760420,0.6967206839351793,96,1.92,0.8400193946817741,0.4514622569284949,True,39186,148,30,1.0,96
ds7,10,23,25658,25000,500000.0,500001,0.49791479908017305,11161,223.22,0.9992205160183958,0.9372905136799439,True,25658,148,23,1.0,11161
ds7,2,3,25817,24999,25000.0,500000,0.5012008057018903,9862,197.24,0.9992253166518186,0.8096603013518224,True,25817,148,3,1.0,9862
ds7,3,20,25638,25000,25001.0,500002,0.5127745055973788,1367,27.34,0.999219907949138,0.9034246041032842,True,25638,148,20,1.0,1367
ds7,4,16,25779,25000,25001.0,500001,0.5004655132283342,1991,39.82,0.999224174715854,0.9728461150548896,True,25779,148,16,1.0,1991
ds7,5,6,25820,25000,25001.0,500001,0.5012587629265269,10948,218.96,0.9992254066615027,0.9630131680867544,True,25820,148,6,1.0,10948
ds7,6,7,25748,24999,499999.0,500000,0.49970870392667105,5628,112.56,0.9992232406400497,0.9161488270933664,True,25748,148,7,1.0,5628
ds7,7,8,14896,24999,25000.0,500000,0.8201409869083585,4256,85.12,0.998657357679914,0.12110633727175081,True,81462,148,8,1.0,4256
ds7,7,11,18683,24999,25000.0,6226519204,0.9999464725404132,1070,21.400000000000002,0.6587807097361238,0.002140983782047851,True,81462,148,11,1.0,1070
ds7,7,25,15960,25000,25000.0,25001,1.0,40,0.8,0.587468671679198,0.0012531328320802004,True,81462,148,25,1.0,40
ds7,7,29,15962,24999,25000.0,25001,1.0,6823,136.46,0.6126425259992482,0.001252975817566721,True,81462,148,29,1.0,6823
ds7,7,32,15961,25000,25000.0,25001,1.0,0,0.0,0.6158761982331934,0.0012530543199047678,True,81462,148,32,0.0,0
ds7,8,13,25776,24999,25000.0,500000,0.500368574199806,5667,113.34,0.9992240844196152,0.9124767225325885,True,25776,148,13,1.0,5667
ds7,9,10,25082,24999,499999.0,500000,0.48658346955863,9811,196.22,0.9992026154214178,0.7452754963719002,True,25082,148,10,1.0,9811
ds8,0,16,35752,25000,500001.0,500001,0.3609129814550642,1993,39.86,0.9994405907361826,0.9882803759230253,True,35752,148,16,1.0,1993
ds8,1,8,16198,24999,25000.0,500000,0.694140890288325,3820,76.4,0.9987652796641561,0.2757130509939499,True,95634,148,8,1.0,3820
ds8,1,11,15677,24999,25000.0,500000,0.7186782342434295,4522,90.44,0.9987242457102762,0.028321745231868343,True,95634,148,11,1.0,4522
ds8,1,14,15960,25000,25000.0,25001,1.0,0,0.0,0.6031954887218045,0.0012531328320802004,True,95634,148,14,0.0,0
ds8,1,25,15962,24999,25000.0,25001,1.0,25,0.5,0.5672848014033329,0.002505951635133442,True,95634,148,25,1.0,25
ds8,1,32,31837,24999,25000.0,4602008897,0.9102902374670184,2320,46.4,0.980588623299934,0.0022301096208813646,True,95634,148,32,1.0,2320
ds8,10,23,35647,25000,500000.0,500001,0.3589182516972451,11180,223.6,0.9994389429685527,0.9546665918590624,True,35647,148,23,1.0,11180
ds8,2,3,35791,24999,500000.0,500000,0.36160938809723386,9865,197.3,0.9994412003017519,0.8110698220222962,True,35791,148,3,1.0,9865
ds8,3,19,35756,24999,499999.0,500000,0.3609844776954272,2649,52.980000000000004,0.9994406533169258,0.9501622105380915,True,35756,148,19,1.0,2649
ds8,4,20,48433,25000,25000.0,391425737,0.5611579121242154,2813,56.26,0.9991741168211756,0.6013668366609544,True,48433,148,20,1.0,2813
ds8,5,6,35793,25000,500000.0,500001,0.36164506034868127,10950,219.0,0.9994412315257173,0.9686810270164558,True,35793,148,6,1.0,10950
ds8,6,7,35719,24999,499999.0,500000,0.3602105381040372,5628,112.56,0.9994400739102438,0.9395559786108234,True,35719,148,7,1.0,5628
ds8,7,30,34944,25000,500001.0,500002,0.34885384769481725,106,2.12,0.9994276556776557,0.8158482142857143,True,34944,148,30,1.0,106
ds8,8,13,35761,24999,499999.0,500000,0.3610738255033557,5701,114.02,0.9994407315231677,0.9379771259192976,True,35761,148,13,1.0,5701
ds8,9,10,35462,24999,500000.0,500000,0.35571472885705424,10145,202.9,0.9994360160171452,0.9227623935480233,True,35462,148,10,1.0,10145
